gene	contexts_tested	contexts_with_token_ge_3_cells	support_contexts	strong_support_contexts	opposing_contexts	strong_opposing_contexts	best_context	best_n_nonremission_cells_with_token	best_cosine_shift_z_vs_random	best_projection_minus_random	most_negative_context	most_negative_n_nonremission_cells_with_token	most_negative_cosine_shift_z_vs_random	most_negative_projection_minus_random	supporting_contexts	strong_supporting_contexts	opposing_context_names	strong_opposing_context_names	geneformer_direction_priority_score	gene_norm
LILRB4	6	1	0	0	1	0	GSE282122_DC_post_nonremission_to_remission_UC_only	1	2.7784685775087596	-0.0126163972282989	GSE282122_Mono_macro_post_nonremission_to_remission	3	-0.3215363365038493	-0.0021379342891224			GSE282122_Mono_macro_post_nonremission_to_remission		1.75	LILRB4
PTPN11	6	1	0	0	1	0	GSE282122_Mono_macro_post_nonremission_to_remission	1	0.5682610300470993	-0.0268293514039315	GSE282122_DC_post_nonremission_to_remission	3	-0.1370544403834355	-0.0014977981226467			GSE282122_DC_post_nonremission_to_remission		1.75	PTPN11
BTK	6	2	0	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	2	0.3020180042474878	-0.0071603715769015	GSE282122_DC_post_nonremission_to_remission_UC_only	1	-0.1647768674642932	-0.0628926496694071					0.5	BTK
AXL	6	1	0	0	0	0	GSE282122_DC_post_nonremission_to_remission_CD_only	2	0.8534747740906484	0.0273771782185778	GSE282122_DC_post_nonremission_to_remission_UC_only	2	-0.6575733142522343	-0.0136183205733282					0.25	AXL
LAIR1	6	1	0	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	6	0.3653391075667433	-0.021735310961958	GSE282122_DC_post_nonremission_to_remission_CD_only	1	-0.4694761588936056	0.0227576077695832					0.25	LAIR1
MERTK	6	0	0	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission	1	2.2335929119711304	0.0714904230896435	GSE282122_Mono_macro_post_nonremission_to_remission	1	2.2335929119711304	0.0714904230896435					0.0	MERTK
GAS6	6	0	0	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission	2	1.752695255507842	-0.0676848280366458	GSE282122_DC_post_nonremission_to_remission	2	-0.5145356819822053	-0.0149635363958724					0.0	GAS6
CD300LF	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	2	0.784182956913811	0.0354924198498742	GSE282122_DC_post_nonremission_to_remission	2	-0.9129826659630688	0.0053672810427896					0.0	CD300LF
SYK	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission	1	0.704743772311171	-0.0212960372336157	GSE282122_DC_post_nonremission_to_remission_UC_only	1	-0.39565853607067	0.0518494542946832					0.0	SYK
CD300A	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	2	0.4830101284613797	0.0249587741007821	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	1	-0.0845006953391114	0.0115959826507605					0.0	CD300A
PROS1	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission	0			GSE282122_DC_post_nonremission_to_remission	0							0.0	PROS1
SH2D1B	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission	0			GSE282122_DC_post_nonremission_to_remission	0							0.0	SH2D1B
TYRO3	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission	0			GSE282122_DC_post_nonremission_to_remission	0							0.0	TYRO3
