gene_symbol	n_sgrna	median_efficient_lfc	median_noneater_lfc	median_efficient_minus_noneater_lfc	s1_median_efficient_lfc	s3_median_efficient_lfc	s1_median_noneater_lfc	s3_median_noneater_lfc	efficient_consistent_positive	noneater_consistent_positive	efficient_p_wilcoxon	noneater_p_wilcoxon	contrast_p_wilcoxon	modules	tracked_candidate	efficient_fdr	noneater_fdr	contrast_fdr	screen_call	gene_norm
ZFP598	3	0.6285603709275949	0.1812872375497021	0.8846439794835519	0.581204137960853	1.1788829852169376	-7.077926491438902e-05	0.3626452543643186	True	False	0.25	1.0	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	ZFP598
YTHDF2	4	0.6786846572530001	-0.3624344603975971	0.8747315389922106	0.4928233867590346	0.6125924075511315	-0.3961822360723626	-0.6574411191465714	True	False	0.25	0.125	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	YTHDF2
ABTB2	4	0.5352876822513474	-0.4070857420182476	0.8670671833295949	0.6123282971752857	0.3436913892139339	-0.2721079328109961	-0.1862487458676871	True	False	0.625	0.125	0.25		False	0.9600924529799222	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	ABTB2
RECQL4	3	0.5425021710610904	-0.3120632646951526	0.8545654357562431	0.7967783283516621	0.2882260137705188	-0.2148785413149294	0.0430899281379844	True	False	0.75	0.5	0.5		False	1.0	0.9889744952178532	0.9971256078463696	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	RECQL4
CHST11	3	0.5998529742537517	0.0148847252626025	0.8502554113258909	0.7762067498856018	0.4234991986219016	0.0600894315510314	-0.0303199810258263	True	False	0.5	1.0	0.5		False	0.9600924529799222	1.0	0.9971256078463696	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	CHST11
SLC38A9	4	0.8012111854175215	-0.0153841717972558	0.839036932213384	0.622856568807493	0.8341737966312701	0.0028227149684791	-0.135841836326281	True	False	0.125	1.0	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	SLC38A9
TPX2	4	0.5186302340775455	-0.2539902244298024	0.832988507912001	0.7465870228101625	0.3090778549168604	-0.159688705281523	-0.325828819130141	True	False	0.125	0.375	0.125		False	0.8221627590893646	0.9645063778899814	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	TPX2
TRIM46	4	0.7120115073368067	-0.1519755216965482	0.8291055128406355	0.4053176083768448	0.7121666846215347	-0.2880640921202588	-0.247249040384391	True	False	0.25	0.375	0.125		False	0.8221627590893646	0.9645063778899814	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	TRIM46
MGST2	4	0.6185385409301466	-0.316532110311619	0.8277298867867664	0.4927438924978622	0.744333189362431	0.0052563862795493	-0.5131933185606576	True	False	0.375	0.875	0.25		False	0.9052095024317248	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	MGST2
TAS2R106	4	0.8258168893523876	-0.2193746268226347	0.8127042676625387	0.5459696482660659	0.9173227358463724	0.3572545366993747	-0.4919001370089402	True	False	0.25	0.375	0.125		False	0.8221627590893646	0.9645063778899814	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	TAS2R106
VMN2R98	3	0.5133510330180597	-0.2987237397440627	0.8120747727621225	0.3548817710159233	0.6718202950201961	-0.2708785181404405	-0.3171342079905699	True	False	1.0	0.75	0.75		False	1.0	1.0	1.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	VMN2R98
POC5	3	0.5732662276008096	-0.0597702888435534	0.804487896071381	0.533590039475969	0.6129424157256502	0.0958607907681106	-0.1446706230032624	True	False	0.25	1.0	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	POC5
PLLP	3	0.6840998586112639	-0.1163672179614907	0.8004670765727546	0.7058011942127869	0.6694739578616877	-0.0247934058950494	-0.1221170028778226	True	False	0.25	0.5	0.25		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	PLLP
SLC39A3	4	0.6172106704907449	0.0739992428757275	0.7973819035726755	0.4852784610419702	0.4610467041308703	-0.0192082344256716	-0.0355540312941402	True	False	0.25	0.875	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	SLC39A3
ZCCHC6	4	0.5857518035375697	-0.3633458445341025	0.7954482334386943	0.4652646898563708	0.7473754488819	0.0159948626477555	-0.6732920614301421	True	False	0.125	0.25	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	ZCCHC6
FAM49B	4	0.8303292742060054	-0.4052069832833535	0.7903403938506244	0.6232189443573029	0.8219007118067845	0.0230479371905629	-0.6291401309098584	True	False	0.25	0.375	0.125		False	0.8221627590893646	0.9645063778899814	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	FAM49B
SCGB1C1	3	0.6249764515161906	-0.1279429341504201	0.7884808330220432	0.8585457882031027	0.3914071148292786	0.5623983662883387	-0.368377021940284	True	False	0.25	1.0	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	SCGB1C1
FBXO16	4	0.5791858117767177	-0.1128103961713308	0.783729666809502	0.8684494582092779	0.6790706048488104	-0.0376986409191757	-0.2873645306252139	True	False	0.25	0.125	0.25		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	FBXO16
TIAL1	3	0.7580542648297914	-0.0232296652683772	0.7822771961462163	0.5386031230357688	0.7948505068412892	-0.1653032454004614	0.1168573827676118	True	False	0.5	0.25	0.5		False	0.9600924529799222	0.8757238508867174	0.9971256078463696	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	TIAL1
AHCTF1	3	0.6285581133603666	-0.1374839909205905	0.768308361290408	0.4856663604269888	0.8024300443571053	0.1877962309203447	-0.4192132260001164	True	False	0.25	0.75	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	AHCTF1
LRRC7	4	0.5962201836103749	-0.1947748618720661	0.7569214561782507	0.5603622702340854	0.8161138769673228	-0.3990534288652754	0.1592235302906344	True	False	0.125	0.625	0.125		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	LRRC7
GM20604	4	0.5439717720941469	-0.1453478753027723	0.7478157959370991	0.6303001101307246	0.2628851841280049	-0.0427574186953954	0.1194475275780286	True	False	0.125	0.625	0.125		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	GM20604
CD9	4	0.648199136136992	-0.0379788957781506	0.7466880318269618	0.6581535851623066	0.4917880771527365	0.0103372113875006	-0.0149494417462989	True	False	0.875	0.625	0.875		False	1.0	0.9889744952178532	1.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	CD9
PCDHB12	4	0.515551873297621	-0.135083627269436	0.7421700762203622	0.5620723539922261	0.3243932942561083	-0.3271834667115409	0.0088207245838887	True	False	0.125	0.375	0.125		False	0.8221627590893646	0.9645063778899814	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	PCDHB12
COQ4	4	0.5191567922119027	-0.0883249161801449	0.7390299162587112	0.2871914616648299	0.7511221227589755	0.0091971438920757	-0.0141636254082082	True	False	0.375	0.875	0.25		False	0.9052095024317248	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	COQ4
IFT52	3	0.5632940637302515	-0.1756527936527068	0.7389468573829583	0.429387826017181	0.5676998233733981	0.2660479964136883	-0.7779575004594506	True	False	0.25	1.0	0.5		False	0.8221627590893646	1.0	0.9971256078463696	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	IFT52
PLIN4	3	0.7719203306050704	0.0529310857500544	0.7387369483265096	0.8192780303354286	0.2797467954185517	0.1564211491446632	-0.0505589776445543	True	False	0.25	1.0	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	PLIN4
MREG	3	0.5412799937070207	0.0015512036572216	0.7381558563486115	0.3103929064195769	0.7721670809944645	0.1377418404633426	-0.1346394331488993	True	False	0.5	1.0	0.5		False	0.9600924529799222	1.0	0.9971256078463696	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	MREG
TAGAP1	3	0.6934939204446955	-0.1460047471850141	0.7333646644709861	0.5887785798630096	1.2360366443608537	-0.3474861099366757	0.0554766155666475	True	False	0.25	0.75	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	TAGAP1
SEMA4G	4	0.896898461777427	0.1556372168619089	0.7332074846621264	0.8357244257224505	0.9580724978324036	-0.0350713474428101	0.1254136464788402	True	False	0.125	1.0	0.125		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	SEMA4G
GABPA	4	0.8202733951801418	0.1163962567504611	0.7326181804475197	0.6390909706469303	1.30123510585297	-0.1413233979726491	0.3439805377256213	True	False	0.125	0.625	0.125		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	GABPA
BC048403	4	0.6607557720504716	-0.2307612302701979	0.7319362981813718	0.5347260328551893	0.4156845779252924	0.1370490027854229	-0.5248794299121153	True	False	0.25	0.625	0.125		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	BC048403
A4GNT	4	0.5609582642111298	-0.0139848963507609	0.7307118748476977	0.3259342064578729	0.7342225275086176	-0.2243416079293392	0.321094170089383	True	False	0.25	1.0	0.875		False	0.8221627590893646	1.0	1.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	A4GNT
KIF24	2	0.5826905901023329	-0.136707819710717	0.7193984098130499	0.3900732639616624	0.7753079162430034	-0.4202899750253126	0.1468743356038786	True	False					False				KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	KIF24
ICAM2	4	0.6423229637216714	-0.0343650439279303	0.7149611729355311	0.402746749563754	0.7440904435925324	-0.2942325774390477	0.0001033870888167	True	False	0.25	0.875	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	ICAM2
ZFP385A	4	0.5147650561279198	-0.1248714902971286	0.7141892442557852	0.5249544080270245	0.504575704228815	0.0650203242481737	-0.2971793673082807	True	False	0.25	0.625	0.25		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	ZFP385A
IL12RB1	3	0.5950720764583739	-0.0546348048413602	0.7130900092706136	0.6001806944299402	0.5759709535359545	0.0396477884836858	-0.0127087990314773	True	False	0.25	1.0	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	IL12RB1
ANKUB1	4	0.5133454797721521	-0.2494916479101505	0.7092927600471219	0.4885406936331113	0.5381502659111927	-0.2332723045045088	-0.2657109913157922	True	False	0.375	0.125	0.25		False	0.9052095024317248	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	ANKUB1
TBX6	4	0.5228114670613794	-0.2555324217497805	0.7058020963375626	0.4571549691387655	0.6341581010161188	-0.0453441862746581	-0.196956317840194	True	False	0.125	0.25	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	TBX6
DNAH9	3	0.5702024941102832	-0.1579706204428344	0.6986723504031553	0.6455836707200313	0.4948213175005351	-0.2493535043756503	-0.061520093292509	True	False	0.25	0.75	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	DNAH9
OBFC1	3	0.7674388900189721	0.0776338836592429	0.6898050063597292	0.3624747728501987	0.9575812559674964	0.0671746848102605	-0.0242878315262351	True	False	0.25	0.75	0.5		False	0.8221627590893646	1.0	0.9971256078463696	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	OBFC1
PLSCR4	3	0.5670760989555359	-0.0006958567086909	0.6893870135379143	0.7782035014060202	0.458592260846665	-0.1478874213687699	-0.2080588067348769	True	False	0.5	0.75	0.5		False	0.9600924529799222	1.0	0.9971256078463696	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	PLSCR4
BPIFB2	4	0.5252705936067218	-0.289471094194454	0.6841443263343	0.5745448524538372	0.3343913322512073	0.1825268129375141	-0.493189466148775	True	False	0.125	0.375	0.125		False	0.8221627590893646	0.9645063778899814	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	BPIFB2
CCDC121	4	0.6599562719645746	-0.1934270415891927	0.6827272084298491	0.5665245637192033	0.7533879802099459	-0.0860108379600836	-0.6668322081509164	True	False	0.25	0.625	0.125		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	CCDC121
LRRC61	2	0.6433061788842683	-0.0367176148914675	0.6800237937757359	0.7629736925495922	0.5236386652189444	0.0710198397949744	-0.1444550695779094	True	False					False				KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	LRRC61
NDST4	4	0.7243616588298085	0.0404016895440283	0.678671127146643	0.6004266370441123	0.8812720349253873	0.094768506654377	0.1754637847356555	True	False	0.125	0.625	0.125		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	NDST4
4732456N10RIK	3	0.6613940821006923	-0.0132818322744356	0.674675914375128	0.6519511632234867	0.5368274872041554	0.000543996431241	-0.0882948966618601	True	False	0.5	0.75	0.5		False	0.9600924529799222	1.0	0.9971256078463696	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	4732456N10RIK
LARP4B	3	0.546430616996072	-0.1226333682356159	0.669063985231688	0.254190271915458	0.807487130719795	-0.2121679901541346	-0.249841899284255	True	False	1.0	0.5	1.0		False	1.0	0.9889744952178532	1.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	LARP4B
TDRD1	4	0.6142711045704015	-0.1283496874420393	0.667572709720756	0.4628273046203937	0.4752530148507456	-0.277850900184416	0.3297775226570925	True	False	0.25	0.375	0.25		False	0.8221627590893646	0.9645063778899814	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	TDRD1
CLEC7A	4	0.5720025779254587	0.1330911874397602	0.6670469582228472	0.5472134656088881	0.3501724523715195	-0.0134252508230547	0.2690348541900502	True	False	0.375	0.875	0.625		False	0.9052095024317248	1.0	0.9971256078463696	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	CLEC7A
KLHL33	3	0.7642227020290462	0.104170947307737	0.6600517547213092	0.7512423757192179	0.7772030283388744	-0.0831846976406844	0.2915265922561585	True	False	0.5	0.5	0.75		False	0.9600924529799222	0.9889744952178532	1.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	KLHL33
HADHB	4	0.5374394778547797	-0.1246368876797245	0.6585797676778689	0.809333905240949	0.3368940394645354	-0.0181902707034589	-0.001173834295181	True	False	0.125	0.625	0.125		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	HADHB
CRTC2	4	0.7058290983084972	0.0181845623348221	0.6561086787603776	0.5456229436768503	1.010392213205376	0.1740763515361658	0.0180730271535183	True	False	0.125	0.875	0.125		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	CRTC2
DAB2	4	0.5406226648479175	0.0816235422573664	0.6555390813258746	0.4391072949141041	0.5933553183944733	0.2171884861384601	-0.0171344462612075	True	False	0.375	0.625	0.375		False	0.9052095024317248	0.9889744952178532	0.9965506589785832	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	DAB2
BLK	4	0.7918055298306178	0.2681238320344083	0.3763039238517932	0.9081152221260892	0.6321800317697983	0.2714624394224372	-0.0074490956417563	True	False	0.25	0.875	0.625		False	0.8221627590893646	1.0	0.9971256078463696	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	BLK
PTGES3	4	0.7307471312308245	0.4733057991595015	0.2756019370495204	1.1156227419739857	0.5034597424189986	0.3158056906348434	0.639002285890091	True	True	0.125	0.25	0.375		False	0.8221627590893646	0.8757238508867174	0.9965506589785832	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	PTGES3
CEBPB	3	-0.1876502526266439	0.6401027508259962	-1.3624283542748117	-1.1098489805545655	0.0024995549354485	0.5750386367474434	0.9674396742654392	False	True	0.25	0.25	0.25		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_IMPAIRS_EFFEROCYTOSIS_POSITIVE_REGULATOR	CEBPB
CD300A	4	0.6186853150435974	-0.6378981922843936	1.3382347566762522	0.0350897475492282	1.1404076646477543	-0.6064923079509064	-0.5479424230822401	False	False	0.125	0.125	0.125		True	0.8221627590893646	0.8757238508867174	0.920009505703422	UNRESOLVED	CD300A
SP140	4	0.4797996125517357	-0.5733526563236783	1.0553304433165922	0.6353445559339601	0.4219699410329478	-0.218933381908621	-1.010426362612658	True	False	0.125	0.375	0.125		False	0.8221627590893646	0.9645063778899814	0.920009505703422	UNRESOLVED	SP140
CD80	4	0.3113587951900635	-0.2371776461444187	0.6897024474259502	0.4997955952777941	0.4085107442986642	-0.2027042449245748	-0.1657828370215783	True	False	0.625	0.625	0.25		False	0.9600924529799222	0.9889744952178532	0.920009505703422	UNRESOLVED	CD80
CTSB	4	0.352350083114078	-0.173440044378987	0.6806693526076654	0.0429518143320915	0.728306731306285	-0.255830121718219	-0.0916979936196944	False	False	0.25	0.125	0.125	lipid_lysosomal_apc	False	0.8221627590893646	0.8757238508867174	0.920009505703422	UNRESOLVED	CTSB
ADAR	4	0.0037267494965531	-0.6927714766372529	0.6481674467312218	-0.0627367409044314	0.10645574929085	-0.4466176902685921	-0.9389252630059136	False	False	0.875	0.25	0.125		False	1.0	0.8757238508867174	0.920009505703422	UNRESOLVED	ADAR
RGS14	3	0.2477441189039859	-0.3355975641823507	0.6360901011615256	0.2976082358331382	0.2587073090133067	-0.290286878924002	-0.3809082494406994	True	False	0.5	0.25	0.5		False	0.9600924529799222	0.8757238508867174	0.9971256078463696	UNRESOLVED	RGS14
ID2	3	0.4137830624292338	-0.1934770592356822	0.607260121664916	0.6396387636706464	0.6269318612226433	-0.4361148806931161	0.2703022369117418	True	False	0.25	0.75	0.25		False	0.8221627590893646	1.0	0.920009505703422	UNRESOLVED	ID2
