gene	ibd_best_raw_p	ibd_best_raw_fdr	ibd_best_paired_p	ibd_best_paired_fdr	ibd_response_nominal	ibd_response_fdr10
CEBPE	0.2088717636164867	1.0	0.2616884032384315	1.0	0	0
CEBPG	0.920913564334591	1.0	0.235695634348326	1.0	0	0
CHST11	0.0286834207635979	0.8826348492705997	0.0558354837455287	1.0	1	0
CHUK	0.0791352947546743	0.997759090490934	0.3614981721124241	1.0	0	0
CIITA	0.3296005319425516	1.0	0.0143057949783088	0.7601636676423256	1	0
CLEC7A	0.7809113679400612	1.0	0.1517471095391492	1.0	0	0
CLK1	0.498485721777215	1.0	0.188919144106857	1.0	0	0
COQ4	0.435112356731501	1.0	0.1823733568140373	1.0	0	0
CREB1	0.1394366046763152	1.0	0.241833404859812	1.0	0	0
CRKL	0.121806383854634	1.0	0.020460211357194	0.8161815014913386	1	0
CRTC2	0.3099310780223309	1.0	0.4303015625559701	1.0	0	0
CSF1	0.0759647659857139	0.99465763830553	0.4799444620345061	1.0	0	0
CSF2	0.3685169635884009	1.0	0.7381453505644373	1.0	0	0
CTSB	0.0102044497783238	0.7417124806231342	0.9028360063742994	1.0	1	0
CTSD	0.1726159841258585	1.0	0.7092052453997353	1.0	0	0
CTSS	0.0002883660558297	0.4604516784712918	0.7086376703292996	1.0	1	0
CUL1	0.1197859540299236	1.0	0.1404298824223083	1.0	0	0
CXCR2	0.5273777298976565	1.0	0.1087679009611704	1.0	0	0
CYBA	0.0324877407732245	0.8685110805180418	0.4526932228287429	1.0	1	0
CYBB	0.0030371158321599	0.614840458715091	0.2320723843131152	1.0	1	0
DAB2	0.0836599691107984	1.0	0.047169838467308	1.0	1	0
DAP	0.2134800240461655	1.0	0.0022618786394186	0.4226646101625442	1	0
DNAH9		1.0	0.323037287602987	1.0	0	0
DNM1L	0.1890728304025565	1.0	0.0836785561895013	1.0	0	0
DRAP1	0.1039503967071533	1.0	0.0378413178162465	0.9453184190123528	1	0
DTX3L	0.0461458691267323	0.9210541149887996	0.0093821180260619	0.6820078103560384	1	0
EFR3A	0.3448904247044662	1.0	0.0335190919495988	1.0	1	0
EHF	9.812992077418471e-06	0.1484331739627949	0.081344151766075	1.0	1	0
ELK1	0.1162883238676452	1.0	0.3607042382210862	1.0	0	0
ETS1	0.063926483192517	0.9641442916518468	0.1053142890049553	1.0	0	0
ETS2	0.0648574571179849	0.9670511228671426	0.814685108912407	1.0	0	0
ETV7	0.0012635834296194	0.5600144427242525	0.5639891641021302	1.0	1	0
FADD	0.1294443041470564	1.0	0.2653173008300845	1.0	0	0
FAM49B	0.1118693613878562	1.0	0.1131935714113792	1.0	0	0
FBXO16	0.3409490802656812	1.0	0.0408745955070157	1.0	1	0
FBXO6	0.4624688052808433	1.0	0.0160011169031042	0.9328361468794664	1	0
FCGR2A	0.1250725872367639	1.0	0.0057164679186922	0.5890098953605836	1	0
FCGR2B	0.0945242491923628	1.0	0.0033559386410933	0.6910591719060241	1	0
FCGRT	0.0126437601737746	0.8794476656094706	0.5053734598169849	1.0	1	0
FMNL2	0.040573704730811	1.0	0.4109474290261283	1.0	1	0
FOS	0.7704068850956538	1.0	0.168327464543072	1.0	0	0
FOXN3	0.4283509348692963	1.0	0.0432258674412335	0.9779039436517096	1	0
FYN	0.1030523492883847	1.0	0.1272180712836355	1.0	0	0
FZD4	0.2865359645526377	1.0	0.0508171100774061	1.0	0	0
GABPA	0.2464311921775279	1.0	0.576021695230186	1.0	0	0
GALC	0.2481717470024268	1.0	0.3289829479169184	1.0	0	0
GAS6	0.2696525579094871	1.0	0.0803970577749538	1.0	0	0
GBA1					0	0
GLA	0.7837573919552259	1.0	0.701650284028135	1.0	0	0
GM20604					0	0
GM2825					0	0
GSK3B	0.0774499280834111	0.997014962124125	0.0751559765245069	1.0	0	0
GUK1	0.0360566587699458	0.8826348492705997	0.5422938658043893	1.0	1	0
H1F0	0.6310267105367663	1.0	0.1334312475987282	1.0	0	0
HADHB	0.0924057986042152	1.0	0.5183848900687735	1.0	0	0
HDAC7	0.0238867050423848	0.8394739024590774	0.4153669838102269	1.0	1	0
HERC5	0.2113311115558144	1.0	0.593810919733948	1.0	0	0
HERC6	0.3314225070910216	1.0	0.0344316844621426	1.0	1	0
HES4	0.4130907106285975	1.0	0.3433875236950838	1.0	0	0
HEXA	0.2452265677169609	1.0	0.0013822504255144	0.5416990453726748	1	0
HEXB	0.2747581303543149	1.0	0.0351922658670569	1.0	1	0
HLX	0.0386137008972594	0.8882389692368958	0.0098930402894759	0.8139609641154676	1	0
ICAM2	0.2715322189595905	1.0	0.6464972921136946	1.0	0	0
ID1	0.4028027543455472	1.0	0.1575940389666187	1.0	0	0
ID2	0.4757604469248351	1.0	0.0040368941038171	0.5379151090789472	1	0
ID3	0.1693444759471236	1.0	0.4094966158619325	1.0	0	0
IFI16	0.137691769833297	1.0	0.260136462172208	1.0	0	0
IFNAR1	0.0435449894658781	0.9098234533063304	0.2598085861497719	1.0	1	0
IFNAR2	0.0049216837549663	1.0	0.8596806980713788	1.0	1	0
IFNGR1	0.2460600764037063	1.0	0.1151401707150142	1.0	0	0
IFNGR2	0.5919264609124497	1.0	0.0059005560588487	0.7675364188046103	1	0
IFT52	0.0763006927589581	1.0	0.2767504532027986	1.0	0	0
IGLON5	0.016126241420636	1.0	0.1793065458001606	1.0	1	0
IKBKB	0.2272635701727774	1.0	0.4033848837011846	1.0	0	0
IKBKE	0.001707304416227	0.5984736235424485	0.0013581526733954	0.3756443204901507	1	0
IKBKG	0.3711833410815289	1.0	0.573338663974622	1.0	0	0
IL12RB1	0.0849779108508786	1.0	0.0815587174611811	1.0	0	0
IL7R	0.0100848644568361	1.0	0.0876092593316852	1.0	1	0
INPP5D	0.1661321531863286	1.0	0.0459563671652116	0.9925557906097598	1	0
INTS7	0.7390609091529962	1.0	0.5373576847198823	1.0	0	0
IRF1	0.0113159191230791	0.9210541149887996	0.2870068129651574	1.0	1	0
IRF2	0.0195127153451219	0.7929102500310091	0.1780837598852199	1.0	1	0
IRF3	0.9572325392030734	1.0	0.3099179101656739	1.0	0	0
IRF5	0.5723086322181442	1.0	0.1129607172658065	1.0	0	0
IRF7	0.1252051683268683	1.0	0.408437649591679	1.0	0	0
IRF9	0.0943276266752087	1.0	0.1966725048040802	1.0	0	0
ITCH	0.0761459471599804	1.0	0.6192328287636472	1.0	0	0
JAK1	0.0175164381968289	0.7746967971611716	0.2362846340002146	1.0	1	0
JAK2	0.031373412472624	0.868100821606974	0.2619998074255455	1.0	1	0
JUN	0.0486297851998972	0.9277093766219866	0.0160451047957288	0.9328361468794664	1	0
JUNB	0.121455722478893	1.0	0.0244523619138794	0.8427003665470157	1	0
KIF24	0.3197609633854016	1.0	0.2682340076037909	1.0	0	0
KIN	0.3454477379184744	1.0	0.4895974757815618	1.0	0	0
KLF4	0.8479761673057724	1.0	0.1873153233486614	1.0	0	0
KLF6	0.8532235565563349	1.0	3.5174240299400895e-06	0.032819922317945	1	1
KLHL33	0.4000379618231538	1.0	0.4198267790315282	1.0	0	0
LAIR1	0.0421950449800007	0.90663855872292	0.1568217467333518	1.0	1	0
LARP4B	0.2436361409628176	1.0	0.0888297651531582	1.0	0	0
LHX2	0.5530453866406022	1.0	0.4922715923174539	1.0	0	0
LILRB1	0.0037233108051895	0.6233257017163979	0.0217880838112669	0.9871932004204595	1	0
LILRB2	0.013416154978647	0.997014962124125	0.8417656750701903	1.0	1	0
LILRB3	0.005808891197096	0.6813192886233125	0.2617153577701847	1.0	1	0
LILRB4	0.0037283374420126	0.6233257017163979	0.1211241805622078	1.0	1	0
LIPA	0.3954374979213392	1.0	0.545651385259357	1.0	0	0
LRRC61	0.0652564458610574	0.9672146390869628	0.1023031928018479	1.0	0	0
LRRC7	0.1845596674133736	1.0	0.0659950832127191	1.0	0	0
LYN	0.0124701068861812	0.735902312729011	0.8536441932351698	1.0	1	0
MAFB	0.1988731021266807	1.0	0.1883958176225638	1.0	0	0
MAFF	0.2983924417837667	1.0	0.0123749134511222	0.8675203236196354	1	0
MAN1A2	0.0431786701499763	0.9097202556363426	0.2285901324128635	1.0	1	0
MAP2K3	0.449627244609582	1.0	0.0705133924648865	1.0	0	0
MAP3K14	0.701466730902588	1.0	0.6295527830322035	1.0	0	0
MAP3K7	0.2645071622492094	1.0	0.1228626200343781	1.0	0	0
MAPK14	0.2166064839962051	1.0	0.3408766938219282	1.0	0	0
MAPK8	0.0082159221861548	0.7107543455496845	0.1741795779959299	1.0	1	0
MAPK9	0.3123076961605037	1.0	0.6472350785763741	1.0	0	0
MCMBP	0.1095264772735221	1.0	0.6736680690989889	1.0	0	0
MCRS1	0.0503080327016103	1.0	0.0823554111991885	1.0	0	0
MED16	0.7309028728207149	1.0	0.8183398149887782	1.0	0	0
MEF2A	0.4986280834436227	1.0	0.0206474016412015	0.8166070326271792	1	0
MERTK	0.1712782116277761	1.0	0.1180285622963356	1.0	0	0
MGST2	0.2991003148988134	1.0	0.1296772243831807	1.0	0	0
MMP9	0.212996640339449	1.0	0.0019305890709398	0.4226646101625442	1	0
MMS22L	0.6144388077088623	1.0	0.3079366218221882	1.0	0	0
MREG	0.0027002276999491	0.6994804288380453	0.0243479815808615	0.8427003665470157	1	0
MTF1	0.1089223064357154	1.0	0.401178098159184	1.0	0	0
MTOR	0.1359665614541417	1.0	0.6632581071378117	1.0	0	0
MYC	0.0751238374090695	1.0	0.2818508560812968	1.0	0	0
NCF1	0.1304885126600804	1.0	0.0002153553881396	0.1621736418604976	1	0
NCF2	0.0079253253875309	0.7107543455496845	0.2814646068955652	1.0	1	0
NDST4		1.0		1.0	0	0
NFAT5	0.0446884444677184	0.9192297429264606	0.484383055903056	1.0	1	0
NFE2L3	0.1405040509830969	1.0	0.0002701570953889	0.1869520395964345	1	0
NFKB1	0.0744103848791498	1.0	0.1880269883394467	1.0	0	0
NFKBIA	0.3299123364229473	1.0	0.1260625939190897	1.0	0	0
NFKBIE	0.3502056723869045	1.0	0.1724642835405161	1.0	0	0
NKAIN2		1.0	0.3230372876029872	1.0	0	0
OBFC1					0	0
OLFR266					0	0
OLFR615					0	0
PARK7	0.6241174547054757	1.0	0.007300224821745	0.6155718115592173	1	0
PARP12	0.0524767782852911	0.9390386500000688	0.152478464866966	1.0	0	0
PCDHB12		1.0	0.323037287602987	1.0	0	0
PDCD5	0.4711422914962475	1.0	0.0004854023798385	0.2347162635293951	1	0
PDCD6IP	0.3006241197833323	1.0	0.185893512861936	1.0	0	0
PIK3CA	0.3853969707558471	1.0	0.0094396092855474	0.6846821866655294	1	0
PLEK	0.0028906991797165	0.614840458715091	0.2839410406558182	1.0	1	0
PLIN4	0.0387573464125323	1.0	0.5591874155867453	1.0	1	0
PLLP	0.2894083573378094	1.0	0.8462052247752729	1.0	0	0
PLSCR4	0.0365656121670816	0.8826348492705997	0.363277227876033	1.0	1	0
POC5	0.1754278327795193	1.0	0.5033540817648706	1.0	0	0
POU2F1	0.4710553077654217	1.0	0.2815083749975265	1.0	0	0
PPARG	0.0624421577400979	0.959500441023834	0.9190683956851886	1.0	0	0
PRDM1	0.4821454825465246	1.0	0.0912857340204098	1.0	0	0
PRKCB	0.0208887269068564	0.8101632783940687	0.8806729500520017	1.0	1	0
PRKDC	0.72947991020414	1.0	0.169879921963087	1.0	0	0
PROS1	0.360978054348305	1.0	0.6581742985491194	1.0	0	0
PSAP	0.355494913816343	1.0	0.3035476276872365	1.0	0	0
PTGES3	0.0664053767581851	1.0	0.0475763475118835	1.0	1	0
PTGS2	0.0952949192748955	1.0	0.0191036204677697	0.8031900823727912	1	0
PTPN11	0.5705016803445023	1.0	0.8007476004070379	1.0	0	0
PTPN2	0.025011849862158	0.8394739024590774	0.1329658844208972	1.0	1	0
PTPN6	0.0522182372928344	0.9381413353940796	0.2217448371059207	1.0	0	0
PYDC3					0	0
RAP1GAP	0.4220460866881932	1.0	0.1049012174531482	1.0	0	0
RAPGEF1	0.2093095944225019	1.0	0.7383431219209463	1.0	0	0
RARRES3	0.0738436436924864	0.9879652122355584	0.8469336016639419	1.0	0	0
RECQL4	0.0573851219660684	0.9482041888468083	0.0165158570389565	0.9385255584246988	1	0
RELB	0.0309495750160166	1.0	9.051948662460258e-05	0.3011381835980688	1	0
REPIN1	0.1135179185031646	1.0	0.6925550972382516	1.0	0	0
RFX5	0.41550679143792	1.0	0.5436811416241214	1.0	0	0
RGS14	0.0231153036723188	1.0	0.0287252207518441	1.0	1	0
RNF114	0.064789053371239	0.9670511228671426	0.8705341230145432	1.0	0	0
RNF14	0.0973682056457018	1.0	0.596303564566267	1.0	0	0
RUNX1	0.0956640923846492	1.0	0.3483659325780876	1.0	0	0
RYK	0.141839009559402	1.0	0.0975601420016067	1.0	0	0
SCGB1C1		1.0		1.0	0	0
SEMA4G	0.4622905735858097	1.0	0.0759303558411129	1.0	0	0
SH2D1B	0.1145441284735554	1.0	0.3691204764487997	1.0	0	0
SIGLEC10	0.2317781795152652	1.0	0.3896219359453885	1.0	0	0
SLC38A9	0.850146315210302	1.0	0.3311377063084598	1.0	0	0
SLC39A3	0.0152686507829148	0.8074382552314314	0.3301485978901627	1.0	1	0
SMARCA5	0.0640543981147568	1.0	0.0127872261322082	0.8792132949203245	1	0
SMPD1	0.2719868681889423	1.0	0.6309722060936188	1.0	0	0
SOCS1	0.0716368825318296	1.0	0.1633259509263802	1.0	0	0
SOX2		1.0	0.323037287602987	1.0	0	0
SOX4	0.0287955445570582	1.0	0.9724567945924592	1.0	1	0
SOX9	0.5262022260238076	1.0	0.0211525290096115	0.9820877494174092	1	0
SP100	0.0418192979592251	1.0	0.4250434097362606	1.0	1	0
SP110	0.057438053604851	0.9482041888468083	0.1671135184199033	1.0	0	0
SP140	0.0152328403374826	0.7417124806231342	0.6397325281783008	1.0	1	0
SRC	0.0225028319523238	0.8259210365314283	0.0541158553963073	1.0	1	0
STAT1	0.0085258434246952	0.7116587995678715	0.2835729908606935	1.0	1	0
STAT2	0.0220901795895865	0.8237121645158672	0.0977788873473748	1.0	1	0
STAT3	0.0675383835382332	0.9709188680683836	0.1046144626447833	1.0	0	0
STAT4	0.0015163184704909	0.5873562852590756	0.5808361587347401	1.0	1	0
STAT5A	0.1399364911287467	1.0	0.2192653831311092	1.0	0	0
STAT6	0.4296925811911002	1.0	0.0630677942294006	1.0	0	0
SYK	0.5969523930437549	1.0	0.0742955933211273	1.0	0	0
TAGAP1					0	0
TAPBPL	0.1249191062127193	1.0	0.0551528230910272	1.0	0	0
TAS2R106					0	0
TBX21	0.037201955682274	1.0	0.2789326675669013	1.0	1	0
TBX6	0.1097228824375204	1.0	0.5504635871158263	1.0	0	0
TDRD1	0.2305955602241558	1.0	0.2066934564066917	1.0	0	0
TIAL1	0.817802253359873	1.0	0.7411718807913419	1.0	0	0
TNFRSF1A	0.1826756676620703	1.0	0.247967697022624	1.0	0	0
TNFRSF1B	0.0203533461803816	0.8024676688107808	0.0470333727840534	0.99584655277598	1	0
TNFSF15	0.0014589831012795	1.0	0.1229668012920695	1.0	1	0
TPX2	0.3144964034754418	1.0	0.0724250628667541	1.0	0	0
TRAF1	0.0326433693188703	0.8685110805180418	0.0349002919431285	1.0	1	0
TRAF2	0.0667928519499078	1.0	0.0825748796801338	1.0	0	0
TRAF3	0.1388635334139005	1.0	0.119178695862513	1.0	0	0
TRAFD1	0.0135843560887617	0.9069513068102588	0.0427416147177182	0.974975847072823	1	0
TRIB2	0.052600177943128	0.9390386500000688	0.2240010195113643	1.0	0	0
TRIM21	0.0437433578199033	0.9128148642859948	0.0957889627143	1.0	1	0
TRIM22	0.0327133755681453	0.8685110805180418	0.3550617706813787	1.0	1	0
TRIM46	0.4670362666980932	1.0	0.3592821507623467	1.0	0	0
TSC1	0.3000661422294232	1.0	0.5349716678019837	1.0	0	0
TSC22D1	0.0096803249464949	0.7178207758121948	0.0332592787454801	0.909209809396069	1	0
TYK2	0.415571922943768	1.0	0.0178775668322478	0.9521764522989108	1	0
TYRO3	0.744399421538476	1.0	0.0521344769967319	1.0	0	0
UBA7	0.4683173645591031	1.0	0.2578999573942881	1.0	0	0
UBE2L6	0.0551192777441689	0.9405839299838088	0.2159841453955946	1.0	0	0
USP18	0.1428882694414992	1.0	0.9169731494064448	1.0	0	0
VAV1	0.0349110118117217	0.879564122319978	0.0976389506627993	1.0	1	0
VMN1R142					0	0
VMN2R87					0	0
VMN2R98					0	0
YTHDF2	0.1345464361732027	1.0	0.1343831792657351	1.0	0	0
YWHAE	0.1587484768843136	1.0	0.0222201904067818	0.9871932004204595	1	0
ZBP1	0.6125387488480784	1.0	0.0278419162812658	0.8712122809866287	1	0
ZC3H3	0.8460158725583315	1.0	0.5182191789667285	1.0	0	0
ZCCHC6					0	0
ZFP36	0.5280732806859414	1.0	0.1288788684637611	1.0	0	0
ZFP36L1	0.1468204232964006	1.0	0.020877665574952	0.9819981099437544	1	0
ZFP385A					0	0
ZFP598					0	0
ZFP775					0	0
ZNF22	0.2628686334789619	1.0	0.1769832709950816	1.0	0	0
ZNF267	0.2594907010036474	1.0	0.3109797755871022	1.0	0	0
ZNFX1	0.2709940683938446	1.0	0.6321010260897686	1.0	0	0
ZSWIM7	0.0877371728589766	1.0	0.6176554863828491	1.0	0	0
