gene	approved_name	wave62_score	wave62_call	manual_blocker	prior_context_blocker	max_l2g_score	best_l2g_disease	strong_l2g_disease_count	strong_l2g_diseases	supporting_l2g_disease_count	supporting_l2g_diseases	ms_max_l2g_score	ms_l2g_study_loci	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	relevant_qtl_coloc_disease_count	relevant_qtl_coloc_diseases	myeloid_qtl_coloc_disease_count	max_qtl_h4	ms_max_qtl_h4	ms_max_relevant_qtl_h4	ms_relevant_qtl_biosamples	direction_proxy_values	local_positive_disease_count	local_negative_disease_count	local_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	in_lipid_lysosomal_myeloid_neighborhood	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	wave34_call	gwas_catalog_trait_count	chembl_target_id	druggable_activity_count	wave34a_call	wave34a_direction	wave34a_route_reason	wave55_score	wave55_genetic_diseases_ge_0_25	wave61_best_call	wave61_best_manual_blocker	wave61_best_target_suppression	wave61_best_selectivity	gene_norm
CCDC88B	coiled-coil and HOOK domain protein 88B	3.2144475941059167	NO_GO_WAVE62_TARGET_RESOLUTION			0.7151768207550049	Psoriasis	1	Psoriasis	2	PBC;Psoriasis	0.0		4	Crohn;PBC;Psoriasis;RA	4	Crohn;PBC;Psoriasis;RA	4	0.999270773350912	0.0	0.0		Crohn:CD14-positive, CD16-negative classical monocyte:-0.0033;Crohn:CD4-positive, alpha-beta T cell:0.0033;Crohn:blood:-0.0033;Crohn:blood:0.0033;Crohn:dorsolateral prefrontal cortex:0.0033;Crohn:lymphoblastoid cell line:0.0033;Crohn:naive regulatory T cell:-0.0033;Crohn:naive regulatory T cell:0.0033;Crohn:neutrophil:0.0033;Crohn:spleen:0.0033;PBC:CD14-positive, CD16-negative classical monocyte:-0.0395;PBC:CD14-positive, CD16-negative classical monocyte:0.0395;PBC:CD4-positive, alpha-beta T cell:0.0395;PBC:blood:0.0395;PBC:dorsolateral prefrontal cortex:0.0395;PBC:lymphoblastoid cell line:-0;PBC:lymphoblastoid cell line:0.0395;PBC:naive regulatory T cell:-0;PBC:neutrophil:0.0395;PBC:spleen:0.0395;Psoriasis:CD14-positive, CD16-negative classical monocyte:-0.083;Psoriasis:CD14-positive, CD16-negative classical monocyte:0.0284;Psoriasis:CD4-positive, alpha-beta T cell:0.083;Psoriasis:blood:-0.0284;Psoriasis:blood:0.083;Psoriasis:dorsolateral prefrontal cortex:-0;Psoriasis:dorsolateral pr	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis	-0.4485293766780085	0.0137066414280347	0.8372898579012464	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	15.0		0.0				13.0	Crohn;PBC;Psoriasis;RA			0.0	0.0	CCDC88B
CD274	CD274 molecule	2.9596697863916814	NO_GO_WAVE62_TARGET_RESOLUTION			0.9614720344543456	UC	1	UC	1	UC	0.0		8	AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	8	AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	1	0.9981977519373356	0.0	0.0		AS:blood plasma:0.0253;Celiac:blood plasma:-0.0106;Celiac:blood plasma:-0.0556;Celiac:blood plasma:-0.192;Crohn:blood plasma:-0.00415;Crohn:blood plasma:0.0073;Psoriasis:blood plasma:-0.0176;Psoriasis:blood plasma:-0.0813;RA:blood plasma:0.017;SLE:blood plasma:0.053;SLE:blood plasma:0.171;T1D:blood plasma:-0.266;UC:CD14-positive, CD16-negative classical monocyte:0.0229;UC:blood plasma:0.00887;UC:blood plasma:0.0107;UC:blood plasma:0.0143;UC:blood plasma:0.0229;UC:blood plasma:0.0484;UC:blood plasma:0.0523;UC:blood plasma:0.0701;UC:blood plasma:0.16;UC:body of pancreas:-0.0229;UC:lymphoblastoid cell line:0.0229;UC:macrophage:0.0229	4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	0.3544765521359103	0.3282160655447695	0.9136659261486608	False	2.0	0.0		0.0		0.0				8.0	UC			0.0	0.0	CD274
CXCR2	C-X-C motif chemokine receptor 2	2.8515541457571705	NO_GO_WAVE62_TARGET_RESOLUTION			0.4894687831401825	UC	0		1	UC	0.0		1	UC	1	UC	0	0.8620853626169881	0.0	0.0		UC:blood:-0.00366	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis	0.8298247585525846	0.3775250672864965	0.9141270983319502	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	4.0		0.0				15.0	AS;Crohn;Psoriasis;RA;UC	NO_GO_L1000_MECHANISM_ONLY	NO_GO_PRIOR	0.0	2.0	CXCR2
SP110	SP110 nuclear body protein	2.740104612018293	NO_GO_WAVE62_TARGET_RESOLUTION			0.3049771785736084	Crohn	0		1	Crohn	0.159327745437622		2	Crohn;MS	2	Crohn;MS	0	0.9351274334446846	0.9351274334446846	0.9351274334446846	lymphoblastoid cell line	Crohn:lymphoblastoid cell line:-0.0361;MS:lymphoblastoid cell line:-0.154;MS:lymphoblastoid cell line:0	3.0	0.0	psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.2596999767507064	0.3344619735938268	0.9141270983319502	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	4.0		0.0				7.0	Crohn	NO_GO_WAVE61_GUARDRAIL		0.0	-0.0255415864604528	SP110
PARK7	Parkinsonism associated deglycase	2.591271549323195	NO_GO_WAVE62_TARGET_RESOLUTION			0.12831711769104	UC	0		0		0.0		1	UC	1	UC	1	0.9629544316321548	0.0	0.0		UC:CD4-positive, alpha-beta T cell:-0.0297;UC:anterior cingulate cortex:-0.00511;UC:dorsolateral prefrontal cortex:0.00511;UC:lymphoblastoid cell line:0.00593;UC:macrophage:-0.00511	3.0	0.0	Sjogren syndrome;psoriasis;ulcerative colitis	0.1710418567143854	0.4469378955677691	0.9220434300923256	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	5.0		0.0				21.0	AS;Crohn;Psoriasis;RA;UC			0.0	0.0	PARK7
IFNGR2	interferon gamma receptor 2	2.456410029382995	NO_GO_WAVE62_TARGET_RESOLUTION			0.9564929008483888	Crohn	2	Crohn;RA	2	Crohn;RA	0.0		3	Crohn;RA;T1D	3	Crohn;RA;T1D	2	0.9999171285346066	0.0	0.0		Crohn:blood plasma:0.038;Crohn:macrophage:-0.038;Crohn:neocortex:0.038;RA:CD14-positive, CD16-negative classical monocyte:0.0823;RA:blood plasma:-0;RA:blood:-0;RA:blood:0.0823;RA:fibroblast:-0;RA:fibroblast:-0.0823;T1D:blood plasma:-0.1;T1D:blood plasma:-0.186;T1D:blood plasma:0	1.0	0.0	type 1 diabetes mellitus	0.1589069164410972	0.3887701856855546	0.9157809859344704	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	9.0	CHEMBL2364171	0.0				19.0	AS;Crohn;MS;Psoriasis;RA;UC	NO_GO_WAVE61_GUARDRAIL	generic_IFN_blockade_host_defense	1.330709485184696	-0.1009923741845148	IFNGR2
NFKBIA	NFKB inhibitor alpha	2.4539586917691087	NO_GO_WAVE62_TARGET_RESOLUTION			0.9574451446533204	Psoriasis	1	Psoriasis	1	Psoriasis	0.0		1	Psoriasis	1	Psoriasis	0	0.9965135471157884	0.0	0.0		Psoriasis:T cell:0.0231;Psoriasis:blood:0.0231;Psoriasis:lymphoblastoid cell line:0.0231;Psoriasis:naive regulatory T cell:0.0231;Psoriasis:skin of body:0.0231	0.0	1.0		0.2903271300158536	0.3094393661733699	0.9088031205133466	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	7.0		0.0				12.0	Crohn;Psoriasis;RA	NO_GO_WAVE61_GUARDRAIL		0.0	-0.000407829735903	NFKBIA
IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon	2.4480231135209713	NO_GO_WAVE62_TARGET_RESOLUTION			0.9487642049789428	Psoriasis	2	Psoriasis;SLE	2	Psoriasis;SLE	0.0		2	Psoriasis;SLE	2	Psoriasis;SLE	1	0.9992589085420286	0.0	0.0		Psoriasis:fibroblast:0.111;Psoriasis:fibroblast:0.113;Psoriasis:fibroblast:0.122;Psoriasis:lymphoblastoid cell line:0;Psoriasis:skin of body:-0.111;Psoriasis:skin of body:-0.113;Psoriasis:skin of body:-0.122;Psoriasis:skin of body:0;Psoriasis:suprapubic skin:0;SLE:B cell:0.828;SLE:CD14-positive, CD16-negative classical monocyte:0;SLE:dorsolateral prefrontal cortex:0.828;SLE:neutrophil:0	1.0	0.0	psoriasis	-1.214474904672203	0.2063434541677045	0.8993702893651148	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0		0.0				9.0	Psoriasis;SLE	NO_GO_WAVE61_GUARDRAIL		0.0	-0.009157281735846	IKBKE
NFKBIE	NFKB inhibitor epsilon	2.422519563437715	NO_GO_WAVE62_TARGET_RESOLUTION			0.9340775012969972	RA	1	RA	1	RA	0.0		1	RA	1	RA	0	0.9884420621407178	0.0	0.0		RA:blood plasma:0	2.0	0.0	Sjogren syndrome;type 1 diabetes mellitus	0.1190368197553954	0.6235730195875038	0.9490245393797272	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0		0.0				6.0	RA	NO_GO_WAVE61_GUARDRAIL		0.0	-0.0125363290965485	NFKBIE
NCF2	neutrophil cytosolic factor 2	2.416815787494911	NO_GO_WAVE62_TARGET_RESOLUTION			0.9345495104789734	Celiac	2	Celiac;SLE	2	Celiac;SLE	0.0		1	SLE	1	SLE	1	0.9822662770159376	0.0	0.0		SLE:CD14-positive, CD16-negative classical monocyte:-0;SLE:CD14-positive, CD16-negative classical monocyte:-0.239;SLE:CD14-positive, CD16-negative classical monocyte:0.239;SLE:macrophage:-0;SLE:macrophage:-0.239;SLE:neutrophil:-0.239;SLE:skin of body:-0;SLE:skin of body:-0.239;SLE:suprapubic skin:-0	2.0	1.0	Crohn disease;ulcerative colitis	0.5993704440951095	0.0194216439823732	0.8372898579012464	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	6.0		0.0				15.0	Celiac;RA;SLE			0.0	0.0	NCF2
FCGR2A	Fc gamma receptor IIa	2.4112932356329155	NO_GO_WAVE62_TARGET_RESOLUTION	Fc_receptor_directionality_and_safety		0.9122352600097656	UC	4	AS;Crohn;SLE;UC	4	AS;Crohn;SLE;UC	0.0		7	AS;Celiac;Crohn;Psoriasis;RA;SLE;UC	7	AS;Celiac;Crohn;Psoriasis;RA;SLE;UC	1	0.99905797562315	0.0	0.0		AS:blood plasma:0;AS:blood plasma:0.0253;Celiac:blood plasma:-0.0106;Celiac:blood plasma:-0.176;Crohn:blood plasma:-0.0073;Crohn:blood plasma:0.0073;Psoriasis:CD14-positive, CD16-negative classical monocyte:-0.0635;Psoriasis:macrophage:-0.0635;Psoriasis:neutrophil:-0.0635;RA:blood plasma:-0.0161;SLE:blood plasma:-0.053;SLE:blood plasma:0;SLE:blood plasma:0.053;UC:blood plasma:-0;UC:blood plasma:-0.00887;UC:blood plasma:-0.0107;UC:blood plasma:-0.0143;UC:blood plasma:-0.0523;UC:blood plasma:-0.0701;UC:blood plasma:0.00887;UC:blood plasma:0.0107;UC:blood plasma:0.0143;UC:blood plasma:0.0701;UC:blood plasma:0.16	1.0	1.0	Sjogren syndrome	-0.1533819091799007	0.582735290071486	0.9460303616141402	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0		0.0				19.0	AS;Crohn;RA;SLE;UC			0.0	0.0	FCGR2A
