samplegroup	module	contrast	n_test	n_reference	mean_test	mean_reference	delta_test_minus_reference	hedges_g	welch_p
HEALTHY	regulatory_pregnancy	postpartum_6mo_vs_trimester_3	18	19	0.27883463843662193	-0.18747516308733278	0.46630980152395474	0.6287787366637934	0.05935924697596708
HEALTHY	regulatory_pregnancy	trimester_3_vs_trimester_1	19	19	-0.18747516308733278	-0.1176878660465973	-0.06978729704073548	-0.10892892885978323	0.7337605641874613
SLE	decoupling_hla_minus_cd64	postpartum_6wk_vs_trimester_3	17	16	-0.33346766415686213	-0.5363152930267658	0.2028476288699037	0.3201235675718002	0.3493017189917587
SLE	decoupling_hla_minus_cd64	postpartum_6mo_vs_trimester_3	17	16	-0.01494794621144013	-0.5363152930267658	0.5213673468153257	0.8896012949476978	0.013139602490947512
SLE	decoupling_hla_minus_cd64	postpartum_12mo_vs_trimester_3	12	16	-0.21140580710101983	-0.5363152930267658	0.324909485925746	0.4461583739403025	0.2817341310007723
SLE	decoupling_hla_minus_cd64	trimester_3_vs_trimester_1	16	16	-0.5363152930267658	-0.24731445748536	-0.2890008355414059	-0.4826819436988294	0.17216922535465823
SLE	hla_ii_only	postpartum_6wk_vs_trimester_3	17	16	-0.2555926058821109	0.008191287478474668	-0.2637838933605856	-0.2319463146626319	0.49529749461620315
SLE	hla_ii_only	postpartum_6mo_vs_trimester_3	17	16	-0.05726469436381521	0.008191287478474668	-0.06545598184228987	-0.06510117674204097	0.8483044235043684
SLE	hla_ii_only	postpartum_12mo_vs_trimester_3	12	16	-0.23469006974520457	0.008191287478474668	-0.24288135722367923	-0.23106305105305128	0.559669640648562
SLE	hla_ii_only	trimester_3_vs_trimester_1	16	16	0.008191287478474668	0.06467960607555936	-0.0564883185970847	-0.06334535110958223	0.8554065543783301
SLE	lysosomal_apc	postpartum_6wk_vs_trimester_3	17	16	-0.15743941184777607	0.25530326255846286	-0.4127426744062389	-0.4344237644258146	0.2095192587073244
SLE	lysosomal_apc	postpartum_6mo_vs_trimester_3	17	16	-0.1624731415395433	0.25530326255846286	-0.41777640409800615	-0.49325513028402956	0.15904468157047844
SLE	lysosomal_apc	postpartum_12mo_vs_trimester_3	12	16	-0.02189110675639791	0.25530326255846286	-0.27719436931486074	-0.32520296241657537	0.37553133468427474
