accessibility	axis_mentioned_disease_count	axis_mentioned_diseases	axis_mentions	best_expression_details	best_negative_p	best_positive_fdr	best_positive_p	blocked_status_note	broad_discovery_priority_score	broad_existing_priority_score	broad_ms_positive_nominal	broad_ms_wm_delta_log2	broad_ms_wm_p	broad_negative_disease_count	broad_negative_diseases	broad_opentargets_disease_count	broad_opentargets_max_genetic_association	broad_positive_disease_count	broad_positive_diseases	broad_rank	candidate_class	chembl_activity_records	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	chembl_url	class	clinical_trials_hit_count	clinical_trials_returned_count	clinical_trials_url	cross_negative_trend_diseases	cross_supporting_diseases	cross_trend_or_better_diseases	delta_log2	direct_negative_compartment_count	direct_negative_disease_count	direct_negative_diseases	direct_positive_compartment_count	direct_positive_disease_count	direct_positive_diseases	direct_top_negative_compartments	direct_top_positive_compartments	direction	direction_penalty	discovery_priority_score	druggability_access_score	europepmc_hit_count	europepmc_url	existing_ms_anchor_score	existing_negative_disease_count	existing_negative_diseases	existing_negative_rows	existing_positive_disease_count	existing_positive_diseases	existing_positive_rows	existing_prior_flag	existing_priority_score	existing_weighted_evidence_score	expression_supporting_diseases	fdr	gene	geneformer_contexts_with_token	geneformer_disease_cells_with_token	geneformer_mean_cosine_z_vs_random	geneformer_mean_projection_shift	geneformer_sources	geneformer_support_contexts	genetic_or_target_db_breadth	google_patents_url	hedges_g	in_lipid_lysosomal_myeloid_neighborhood	local_evidence_score	local_opentargets_disease_rows	local_opentargets_diseases	local_opentargets_max_genetic_association	local_opentargets_max_overall	local_recurrence_disease_count_union	local_recurrence_disease_union	local_state_coupled_disease_count_union	local_state_coupled_disease_union	manual_intervention_reason	manual_intervention_status	max_positive_delta_log2_cpm	mean_case	mean_control	median_positive_hedges_g	median_raw_spearman_r	median_resid_spearman_r	min_negative_delta_log2_cpm	modality	ms_positive_nominal	ms_positive_trend	ms_wm_delta_log2	ms_wm_fdr	ms_wm_hedges_g	ms_wm_p	n_expr_fdr10_positive_diseases	n_expr_negative_trend_diseases	n_expr_trend_or_better_diseases	n_expression_diseases_tested	n_raw_state_support_diseases	n_resid_state_support_diseases	negative_compartment_count	negative_disease_count	negative_diseases	negative_fdr10_compartment_count	non_ibd_retained_positive_analysis_count	non_ibd_retained_positive_disease_count	opentargets_channels_present	opentargets_disease_count	opentargets_diseases	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_max_overall	opentargets_url	orchestrator_class	orchestrator_expr_negative_diseases	orchestrator_expr_trend_diseases	orchestrator_expression_supporting_diseases	orchestrator_priority_score	orchestrator_raw_state_diseases	orchestrator_resid_state_diseases	orchestrator_resid_supporting_diseases	p	positive_compartment_count	positive_disease_count	positive_diseases	positive_fdr10_compartment_count	prior_art_saturation_penalty	priority_score	raw_negative_analysis_count	raw_positive_analyses	raw_positive_analysis_count	raw_positive_disease_count	raw_state_supporting_diseases	resid_state_supporting_diseases	residual_gate_priority_score	retained_positive_analysis_count	retained_positive_disease_count	routing_decision	routing_rationale	selection_reasons	source_table	strict_core_covariate_surviving_analyses	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_disease_count	surface_confounder_dominant_diseases	surface_delta_fdr10_diseases	surface_delta_supporting_diseases	surface_delta_trend_diseases	surface_local_call	surface_negative_delta_diseases	surface_rank_score	surface_raw_state_diseases	surface_reason	surface_resid_state_diseases	surface_resid_supporting_diseases	tested_compartment_count	top_positive_compartments	top_retained_tests	triage_score	wave18_call	wave18_call_reason	wave18_rescue_score	welch_t
				"[{""analysis"": ""ibd_crohn_myeloid"", ""disease_name"": ""Crohn disease"", ""compartment"": ""colon myeloid"", ""role"": ""myeloid_apc"", ""gene"": ""SIGLEC10"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 6.0, ""n_control_donors"": 6.0, ""mean_case"": 0.18759743176325472, ""mean_control"": 0.156042648744184, ""delta_case_minus_control"": 0.03155478301907072, ""hedges_g"": 0.33927665960389675, ""welch_t"": 0.6366147799442172, ""p"": 0.542506134330523, ""fdr"": 0.8397051470507225, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""GSE111972_MS_WM_microglia"", ""disease_name"": ""MS"", ""compartment"": ""white matter microglia"", ""role"": ""ms_anchor"", ""gene"": ""SIGLEC10"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""bulk_log2_expression"", ""n_case_donors"": NaN, ""n_control_donors"": NaN, ""mean_case"": 11.161476290281277, ""mean_control"": 11.784358679304376, ""delta_case_minus_control"": -0.6228823890231006, ""hedges_g"": -0.7889879995997997, ""welch_t"": -1.8638896983988729, ""p"": 0.0790960238639784, ""fdr"": 0.8989378106274888, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": true, ""score"": -1}, {""analysis"": ""sjogren_gland_epithelial"", ""disease_name"": ""Sjogren syndrome"", ""compartment"": ""salivary gland epithelial"", ""role"": ""tissue_resident"", ""gene"": ""SIGLEC10"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 11.0, ""n_control_donors"": 14.0, ""mean_case"": 0.0014512992032250545, ""mean_control"": 0.00019261342904717662, ""delta_case_minus_control"": 0.001258685774177878, ""hedges_g"": 0.4304729503691813, ""welch_t"": 0.9790091979197968, ""p"": 0.34989740132791824, ""fdr"": 0.5661976130579041, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""psoriasis_keratinocyte"", ""disease_name"": ""psoriasis"", ""compartment"": ""skin keratinocyte"", ""role"": ""tissue_resident"", ""gene"": ""SIGLEC10"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 3.0, ""n_control_donors"": 3.0, ""mean_case"": 0.000979290408456653, ""mean_control"": 0.00045353127668782913, ""delta_case_minus_control"": 0.0005257591317688237, ""hedges_g"": 1.4630013289805204, ""welch_t"": 2.239754218134964, ""p"": 0.0931664986538029, ""fdr"": 0.4150747210248332, ""positive_fdr10"": false, ""positive_trend"": true, ""negative_trend"": false, ""score"": 2}, {""analysis"": ""ra_blood_myeloid"", ""disease_name"": ""rheumatoid arthritis"", ""compartment"": ""blood myeloid/APC"", ""role"": ""myeloid_apc"", ""gene"": ""SIGLEC10"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 18.0, ""n_control_donors"": 18.0, ""mean_case"": 0.10731571651115279, ""mean_control"": 0.12175901723716127, ""delta_case_minus_control"": -0.014443300726008482, ""hedges_g"": -0.19095107686046486, ""welch_t"": -0.5858726221855173, ""p"": 0.5625005323598258, ""fdr"": 0.9958397379647306, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""t1d_ductal_cell"", ""disease_name"": ""type 1 diabetes mellitus"", ""compartment"": ""pancreatic ductal cell"", ""role"": ""tissue_resident"", ""gene"": ""SIGLEC10"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""detection_fraction"", ""n_case_donors"": 5.0, ""n_control_donors"": 19.0, ""mean_case"": 0.002082525795555723, ""mean_control"": 0.001173746626769225, ""delta_case_minus_control"": 0.0009087791687864978, ""hedges_g"": 0.19594245922565132, ""welch_t"": 0.6541289339635923, ""p"": 0.521119183007658, ""fdr"": 0.7517784935192443, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""ibd_uc_myeloid"", ""disease_name"": ""ulcerative colitis"", ""compartment"": ""colon myeloid"", ""role"": ""myeloid_apc"", ""gene"": ""SIGLEC10"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 6.0, ""n_control_donors"": 6.0, ""mean_case"": 0.24129433751520366, ""mean_control"": 0.156042648744184, ""delta_case_minus_control"": 0.08525168877101966, ""hedges_g"": 0.9445809503041618, ""welch_t"": 1.7724007142708762, ""p"": 0.1141197297038206, ""fdr"": 0.26750914710323775, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}]"																	glycan_checkpoint_surface																																						psoriasis		SIGLEC10																										0.15774519392317554	-0.07538157494679235									0	1	1	7	0	1			MS																									1.75						type 1 diabetes mellitus							wave15_orchestrator_dependency																						
																																		-0.6228823890231006																										0.8989378106274888	SIGLEC10									-0.7889879995997997														11.161476290281277	11.784358679304377																																							0.07909602386397847																			gse111972_ms_white_matter_signature																						-1.8638896983988726
						0.20062164946568795	0.006775751667176826																																						8.0																LILRB3							0.0			False												1.687098638235085			1.7636994557239893					False	False	-0.3769548589371787	0.9299116980283588	-0.2821420590732296	0.5039530830837081							0	0		0																			2	2	Crohn disease;ulcerative colitis	0															broad_h5ad_gene_rank															14	ibd_uc_myeloid:1.69,p=0.0068;ibd_crohn_myeloid:1.47,p=0.015						
																																		-0.3769548589371787																										0.9299116980283587	LILRB3									-0.28214205907322965														8.753504476081092	9.130459335018271																																							0.5039530830837081																			gse111972_ms_white_matter_signature																						-0.6815807015552351
					0.016988505744383906																																								-4.0																LILRB5							0.0			False																		-3.2371692085789165		False	False	-0.8824584607192891	0.9344601280416808	-0.2793101416090359	0.51569138646586							1	1	ulcerative colitis	0																			0	0		0															broad_h5ad_gene_rank															6							
																																		-0.8824584607192891																										0.9344601280416808	LILRB5									-0.27931014160903594														4.584360402373451	5.46681886309274																																							0.51569138646586																			gse111972_ms_white_matter_signature																						-0.6628285652282467
					0.028852122174233847																																								-4.0																HAVCR2							0.0			False																		-0.3928918860186326		False	False	0.1190427137902556	0.9214560346888634	0.335297452533713	0.4421644824402852							1	1	ulcerative colitis	0																			0	0		0															broad_h5ad_gene_rank															15							
																																		0.11904271379025566																										0.9214560346888634	HAVCR2									0.335297452533713														12.436142454912304	12.317099741122048																																							0.4421644824402852																			gse111972_ms_white_matter_signature																						0.7875360368027906
																																													0.0																TIGIT							0.0			False																				False	False											0	0		0																			0	0		0															broad_h5ad_gene_rank															10							
						0.16369460546482223	0.0038489575413278598																																						12.0																BTLA							0.0			False												2.07386252784668			1.4484552645596236					False	False											0	0		0																			3	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0															broad_h5ad_gene_rank															9	ibd_uc_myeloid:2.07,p=0.0038;sjogren_gland_apc:2.07,p=0.016;ibd_crohn_myeloid:1.09,p=0.042						
																																													0.11913551428229768				1.9413551428229767	0.0			1.0	MS			2.3827102856459534	0.4413551428229766			CD300A							0.0			False																				False	False	-0.3453443248914674	0.8989378106274888	-0.7766143203952453	0.0766109345414007							0	0		0																			0	0		0															broad_h5ad_gene_rank															13							
											False			0.0				0.0																											0.1191355142822976																CD300A										False																						-0.3453443248914674			0.0766109345414007											0	0																							0		0	0			0	0	0			mechanistic_scout	broad_residual_gate_summary		0	0																			
																																		-0.3453443248914674																										0.8989378106274888	CD300A									-0.7766143203952453														11.08594110735444	11.431285432245907																																							0.07661093454140079																			gse111972_ms_white_matter_signature																						-1.875089885308766
						0.7297013371935511	0.03292412623300176																																						4.0																CD300LF							0.0			False												2.2457988966876004			2.102009132988344					False	False	-0.0991212524448474	0.9669212366619434	-0.1661163850359562	0.7089814372180329							0	0		0																			1	1	psoriasis	0															broad_h5ad_gene_rank															8	psoriasis_skin_apc:2.25,p=0.033						
											False			0.0				1.0																											4.0																CD300LF										False																						-0.0991212524448474			0.7089814372180329											1	1																							0	psoriasis_skin_apc:0.514,p=0.0062	1	1			3	1	1			mechanistic_scout	broad_residual_gate_summary		0	0														psoriasis_skin_apc|c1q_phagocytic_myeloid:0.515,p=0.0008;psoriasis_skin_apc|complement_phagocytosis:0.514,p=0.0012;psoriasis_skin_apc|hif_nampt_metabolic:0.466,p=0.011;psoriasis_skin_apc|lipid_loader_repair:0.498,p=0.022;psoriasis_skin_apc|mif_cd74_receptor_state:0.493,p=0.024;psoriasis_skin_apc|lysosomal_apc:0.362,p=0.037					
									4.0							0																			0	0	nan	1	1	psoriasis		psoriasis_skin_apc:2.246,p=0.0329								0			0								CD300LF	2	7	0.0511967910464192	-0.0270478781312704	pivot_panel_delete	1														CD300F synonym candidate from prior-art scout; local symbol is CD300LF and MS anchor is weak	test_only_if_local_positive									False	False	-0.0991212524448474	0.9669212366619434	-0.1661163850359562	0.7089814372180329																																												demote	no MS white-matter positive anchor		pivot_panel_triage																		2.5				
																																		-0.09912125244484749																										0.9669212366619434	CD300LF									-0.16611638503595627														8.813813758010017	8.912935010454865																																							0.7089814372180329																			gse111972_ms_white_matter_signature																						-0.3823412381587903
						0.12679602590278752	0.0008872726176646171																																						17.0																CD274							0.0			False												2.9599403470978034			2.230849764195134					False	False	0.3544765521359103	0.9136659261486608	0.4144473827339546	0.3282160655447695							0	0		0																			5	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	0															broad_h5ad_gene_rank															17	sjogren_gland_apc:2.96,p=0.00089;ibd_crohn_myeloid:2.28,p=0.0023;ibd_crohn_epithelial:1.32,p=0.0033;psoriasis_keratinocyte:1.88,p=0.02;ibd_uc_myeloid:1.56,p=0.046						
											False			0.0				4.0																											17.0																CD274										False																						0.3544765521359103			0.3282160655447695											1	1																							0	ibd_crohn_myeloid:0.601,p=0.0045;sjogren_gland_apc:0.466,p=0.023	2	2			4	2	2			four_disease_low_contradiction;top_rank	broad_residual_gate_summary		0	0														ibd_crohn_myeloid|hla_ii_apc:0.567,p=0.0061;ibd_crohn_myeloid|complement_effector:0.518,p=0.0067;ibd_crohn_myeloid|lipid_loader_repair:0.548,p=0.0072;sjogren_gland_apc|lysosomal_apc:0.504,p=0.0076;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.512,p=0.0077;sjogren_gland_apc|hif_nampt_metabolic:0.498,p=0.0094;sjogren_gland_apc|mif_cd74_receptor_state:0.507,p=0.011;sjogren_gland_apc|hla_ii_apc:0.494,p=0.012					
				"[{""analysis"": ""ibd_crohn_myeloid"", ""disease_name"": ""Crohn disease"", ""compartment"": ""colon myeloid"", ""role"": ""myeloid_apc"", ""gene"": ""CD274"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 6.0, ""n_control_donors"": 6.0, ""mean_case"": 0.21508672855808697, ""mean_control"": 0.052216933410863524, ""delta_case_minus_control"": 0.16286979514722344, ""hedges_g"": 2.2604815690722413, ""welch_t"": 4.241541337806649, ""p"": 0.00454105622539459, ""fdr"": 0.13471800135337283, ""positive_fdr10"": false, ""positive_trend"": true, ""negative_trend"": false, ""score"": 2}, {""analysis"": ""GSE111972_MS_WM_microglia"", ""disease_name"": ""MS"", ""compartment"": ""white matter microglia"", ""role"": ""ms_anchor"", ""gene"": ""CD274"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""bulk_log2_expression"", ""n_case_donors"": NaN, ""n_control_donors"": NaN, ""mean_case"": 9.474951169561946, ""mean_control"": 9.120474617426035, ""delta_case_minus_control"": 0.3544765521359103, ""hedges_g"": 0.4144473827339546, ""welch_t"": 1.0051500362728103, ""p"": 0.3282160655447695, ""fdr"": 0.9136659261486608, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""sjogren_gland_apc"", ""disease_name"": ""Sjogren syndrome"", ""compartment"": ""salivary gland APC"", ""role"": ""myeloid_apc"", ""gene"": ""CD274"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 9.0, ""n_control_donors"": 13.0, ""mean_case"": 0.06364590650632682, ""mean_control"": 0.01282223811867368, ""delta_case_minus_control"": 0.050823668387653134, ""hedges_g"": 1.2695729804165035, ""welch_t"": 2.6668438728138373, ""p"": 0.023425554872913718, ""fdr"": 0.5839531152938922, ""positive_fdr10"": false, ""positive_trend"": true, ""negative_trend"": false, ""score"": 2}, {""analysis"": ""psoriasis_keratinocyte"", ""disease_name"": ""psoriasis"", ""compartment"": ""skin keratinocyte"", ""role"": ""tissue_resident"", ""gene"": ""CD274"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""detection_fraction"", ""n_case_donors"": 3.0, ""n_control_donors"": 3.0, ""mean_case"": 0.04992162601984634, ""mean_control"": 0.006306030790387146, ""delta_case_minus_control"": 0.04361559522945919, ""hedges_g"": 4.725285122991223, ""welch_t"": 7.234085900308093, ""p"": 0.003969126794154422, ""fdr"": 0.1956359115765964, ""positive_fdr10"": false, ""positive_trend"": true, ""negative_trend"": false, ""score"": 2}, {""analysis"": ""ra_blood_myeloid"", ""disease_name"": ""rheumatoid arthritis"", ""compartment"": ""blood myeloid/APC"", ""role"": ""myeloid_apc"", ""gene"": ""CD274"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 18.0, ""n_control_donors"": 18.0, ""mean_case"": 0.0012932833102890602, ""mean_control"": 0.0014197455386787776, ""delta_case_minus_control"": -0.00012646222838971744, ""hedges_g"": -0.03833424633382203, ""welch_t"": -0.11761643761513578, ""p"": 0.9070717570398638, ""fdr"": 0.9958397379647306, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""t1d_beta_cell"", ""disease_name"": ""type 1 diabetes mellitus"", ""compartment"": ""pancreatic beta cell"", ""role"": ""tissue_resident"", ""gene"": ""CD274"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 3.0, ""n_control_donors"": 19.0, ""mean_case"": 0.02583589381725634, ""mean_control"": 0.018987331895171444, ""delta_case_minus_control"": 0.0068485619220848976, ""hedges_g"": 0.4338274971001913, ""welch_t"": 0.7206814836042891, ""p"": 0.5292006563398123, ""fdr"": 0.933341245989964, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""ibd_uc_myeloid"", ""disease_name"": ""ulcerative colitis"", ""compartment"": ""colon myeloid"", ""role"": ""myeloid_apc"", ""gene"": ""CD274"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""detection_fraction"", ""n_case_donors"": 6.0, ""n_control_donors"": 6.0, ""mean_case"": 0.13473858741797626, ""mean_control"": 0.04187851556480197, ""delta_case_minus_control"": 0.0928600718531743, ""hedges_g"": 0.9281876332739198, ""welch_t"": 1.7416404847698326, ""p"": 0.1374413742262558, ""fdr"": 0.29854866321782403, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}]"																	glycan_checkpoint_surface																																						Crohn disease;Sjogren syndrome;psoriasis		CD274																										0.23354749013058923	-0.1155944055944056									0	0	3	7	1	3																												8.0					psoriasis	Crohn disease;psoriasis;type 1 diabetes mellitus							wave15_orchestrator_dependency																						
membrane_ligand	0								17.0			0.3544765521359103	0.3282160655447695	0				4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis			1875	CHEMBL3580522	Programmed cell death 1 ligand 1	SINGLE PROTEIN	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3580522	PD-L1 immune checkpoint	10	10	https://clinicaltrials.gov/search?term=PD-L1+autoimmune	0		0										agonism/tolerizing direction, not oncology-style blockade	0		3	32490	https://europepmc.org/search?query=%28%22PD-L1%22+OR+CD274%29+autoimmune				0			0						CD274								https://patents.google.com/?q=PD-L1+agonist+autoimmune+disease+CD274			11.1	0		0	0	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	3	Crohn disease;psoriasis;type 1 diabetes mellitus										checkpoint agonism/PD-L1-Fc or PD-1 pathway engagement																									https://platform.opentargets.org/search?q=CD274	glycan_checkpoint_surface	0	3	Crohn disease;Sjogren syndrome;psoriasis	8.0	1	3	Crohn disease;psoriasis;type 1 diabetes mellitus						5														wave18_accessible_target_rescue				0	0		0		0		0		0						PARK	state-coupled support below threshold (3<4 disease union); prior-art saturation high (EuropePMC=32490, ClinicalTrials=10)	9.1	
																																		0.35447655213591034																										0.9136659261486607	CD274									0.4144473827339546														9.474951169561946	9.120474617426035																																							0.3282160655447695																			gse111972_ms_white_matter_signature																						1.0051500362728105
																																													0.0																PDCD1LG2							0.0			False																				False	False	-1.831668177750024	0.8989378106274888	-0.7114718913977721	0.1368572957532143							0	0		0																			0	0		0															broad_h5ad_gene_rank															11							
