gene	status	error	target_chembl_id	pref_name	target_type	organism	gene_symbols	nM_activity_count	activity_error	target_search_url	activity_url	n_search_hits	search_hits
CD300LF	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD300LF		0	[]
CD274	ok		CHEMBL3580522	Programmed cell death 1 ligand 1	SINGLE PROTEIN	Homo sapiens	CD274	1875		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD274	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3580522	7	"[{""accessions"": ""Q9EP73"", ""gene_symbols"": ""Cd274"", ""organism"": ""Mus musculus"", ""pref_name"": ""Programmed cell death 1 ligand 1"", ""target_chembl_id"": ""CHEMBL4523448"", ""target_type"": ""SINGLE PROTEIN""}, {""accessions"": ""Q9NZQ7"", ""gene_symbols"": ""CD274"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Programmed cell death 1 ligand 1"", ""target_chembl_id"": ""CHEMBL3580522"", ""target_type"": ""SINGLE PROTEIN""}, {""accessions"": ""Q96SW2;Q9NZQ7"", ""gene_symbols"": ""CD274;CRBN"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Protein cereblon/Programmed cell death 1 ligand 1"", ""target_chembl_id"": ""CHEMBL5739543"", ""target_type"": ""PROTEIN-PROTEIN INTERACTION""}, {""accessions"": ""Q8C7D2;Q9EP73"", ""gene_symbols"": ""Cd274;Crbn"", ""organism"": ""Mus musculus"", ""pref_name"": ""Protein cereblon/Programmed cell death 1 ligand 1"", ""target_chembl_id"": ""CHEMBL6066841"", ""target_type"": ""PROTEIN-PROTEIN INTERACTION""}, {""accessions"": ""Q02242;Q9EP73"", ""gene_symbols"": ""Cd274;Pdcd1"", ""organism"": ""Mus musculus"", ""pref_name"": ""Programmed cell death protein 1/Programmed cell death 1 ligand 1"", ""target_chembl_id"": ""CHEMBL4630756"", ""target_type"": ""PROTEIN COMPLEX""}, {""accessions"": ""Q15116;Q9NZQ7"", ""gene_symbols"": ""CD274;PDCD1"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Programmed cell death protein 1/Programmed cell death 1 ligand 1"", ""target_chembl_id"": ""CHEMBL4523993"", ""target_type"": ""PROTEIN COMPLEX""}, {""accessions"": ""Q9BQ51;Q9NZQ7"", ""gene_symbols"": ""CD274;PDCD1LG2"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Programmed cell death 1 ligand 1/2"", ""target_chembl_id"": ""CHEMBL6066575"", ""target_type"": ""PROTEIN FAMILY""}]"
PDCD1LG2	ok		CHEMBL3713006	Programmed cell death 1 ligand 2	SINGLE PROTEIN	Homo sapiens	PDCD1LG2	2		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PDCD1LG2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3713006	4	"[{""accessions"": ""Q9BQ51"", ""gene_symbols"": ""PDCD1LG2"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Programmed cell death 1 ligand 2"", ""target_chembl_id"": ""CHEMBL3713006"", ""target_type"": ""SINGLE PROTEIN""}, {""accessions"": ""Q9WUL5"", ""gene_symbols"": ""Pdcd1lg2"", ""organism"": ""Mus musculus"", ""pref_name"": ""Programmed cell death 1 ligand 2"", ""target_chembl_id"": ""CHEMBL4523499"", ""target_type"": ""SINGLE PROTEIN""}, {""accessions"": ""Q15116;Q9BQ51"", ""gene_symbols"": ""PDCD1;PDCD1LG2"", ""organism"": ""Homo sapiens"", ""pref_name"": ""PD1-PDL2"", ""target_chembl_id"": ""CHEMBL5482985"", ""target_type"": ""PROTEIN COMPLEX""}, {""accessions"": ""Q9BQ51;Q9NZQ7"", ""gene_symbols"": ""CD274;PDCD1LG2"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Programmed cell death 1 ligand 1/2"", ""target_chembl_id"": ""CHEMBL6066575"", ""target_type"": ""PROTEIN FAMILY""}]"
CD24	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD24		0	[]
CD200	ok		CHEMBL3712870	OX-2 membrane glycoprotein	SINGLE PROTEIN	Homo sapiens	CD200	0		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD200	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3712870	1	"[{""accessions"": ""P41217"", ""gene_symbols"": ""CD200"", ""organism"": ""Homo sapiens"", ""pref_name"": ""OX-2 membrane glycoprotein"", ""target_chembl_id"": ""CHEMBL3712870"", ""target_type"": ""SINGLE PROTEIN""}]"
LILRB1	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LILRB1		0	[]
LILRB2	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LILRB2		0	[]
SIRPA	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SIRPA		0	[]
CD47	ok		CHEMBL3714583	Leukocyte surface antigen CD47	SINGLE PROTEIN	Homo sapiens	CD47	25		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD47	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3714583	1	"[{""accessions"": ""Q08722"", ""gene_symbols"": ""CD47"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Leukocyte surface antigen CD47"", ""target_chembl_id"": ""CHEMBL3714583"", ""target_type"": ""SINGLE PROTEIN""}]"
VSIG4	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=VSIG4		0	[]
CLEC12A	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CLEC12A		0	[]
FCGR2B	ok		CHEMBL4662940	Low affinity immunoglobulin gamma Fc region receptor II-b	SINGLE PROTEIN	Homo sapiens	FCGR2B	0		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=FCGR2B	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4662940	1	"[{""accessions"": ""P31994"", ""gene_symbols"": ""FCGR2B"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Low affinity immunoglobulin gamma Fc region receptor II-b"", ""target_chembl_id"": ""CHEMBL4662940"", ""target_type"": ""SINGLE PROTEIN""}]"
SIGLEC5	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SIGLEC5		0	[]
SIGLEC7	ok		CHEMBL3603730	Sialic acid-binding Ig-like lectin 7	SINGLE PROTEIN	Homo sapiens	SIGLEC7	19		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SIGLEC7	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3603730	1	"[{""accessions"": ""Q9Y286"", ""gene_symbols"": ""SIGLEC7"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Sialic acid-binding Ig-like lectin 7"", ""target_chembl_id"": ""CHEMBL3603730"", ""target_type"": ""SINGLE PROTEIN""}]"
SIGLEC9	ok		CHEMBL4105860	Sialic acid-binding Ig-like lectin 9	SINGLE PROTEIN	Homo sapiens	SIGLEC9	410		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SIGLEC9	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4105860	1	"[{""accessions"": ""Q9Y336"", ""gene_symbols"": ""SIGLEC9"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Sialic acid-binding Ig-like lectin 9"", ""target_chembl_id"": ""CHEMBL4105860"", ""target_type"": ""SINGLE PROTEIN""}]"
PVR	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PVR		0	[]
NECTIN2	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=NECTIN2		0	[]
PILRA	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PILRA		0	[]
