gene	source	query	hit_count	top_title	top_year	top_url	api_url	status
FMNL2	EuropePMC	FMNL2 actin migration inflammation	101	Insulin receptor tyrosine kinase substrate in health and disease (Review).	2025	https://pubmed.ncbi.nlm.nih.gov/39930824/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=FMNL2+actin+migration+inflammation&resultType=lite&pageSize=3&format=json	ok
FMNL2	EuropePMC	FMNL2 autoimmune	56	Gut-bone axis research: unveiling the impact of gut microbiota on postmenopausal osteoporosis and osteoclasts through Mendelian randomization.	2024	https://pubmed.ncbi.nlm.nih.gov/38883609/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=FMNL2+autoimmune&resultType=lite&pageSize=3&format=json	ok
TNFAIP8L1	EuropePMC	TNFAIP8L1 TIPE1 inflammation immune	78	Epithelial TIPE1 Protein Guards against Colitis by Inhibiting TNF-α-Mediated Inflammation.	2023	https://pubmed.ncbi.nlm.nih.gov/37459052/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TNFAIP8L1+TIPE1+inflammation+immune&resultType=lite&pageSize=3&format=json	ok
TNFAIP8L1	EuropePMC	TNFAIP8L1 autoimmune	47	Transcriptome analysis of the cytokine storm-related genes among the subtypes of idiopathic multicentric Castleman disease.	2024	https://pubmed.ncbi.nlm.nih.gov/39462545/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TNFAIP8L1+autoimmune&resultType=lite&pageSize=3&format=json	ok
PPIL3	EuropePMC	PPIL3 cyclophilin spliceosome	16	Multi-omics identification and validation of oxidative phosphorylation-related hub genes in schizophrenia.	2025	https://pubmed.ncbi.nlm.nih.gov/41199749/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PPIL3+cyclophilin+spliceosome&resultType=lite&pageSize=3&format=json	ok
PPIL3	EuropePMC	PPIL3 autoimmune	25	Multi-omics data integration reveals novel genes related to autoimmune hypothyroidism in the brain: A molecular basis for the brain-thyroid axis.	2025	https://pubmed.ncbi.nlm.nih.gov/39736412/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PPIL3+autoimmune&resultType=lite&pageSize=3&format=json	ok
NCK1	EuropePMC	NCK1 TCR inhibitor autoimmune	22	Liquid-Liquid Phase Separation in Viral Infection and Immunology.	2026	https://pubmed.ncbi.nlm.nih.gov/41930348/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=NCK1+TCR+inhibitor+autoimmune&resultType=lite&pageSize=3&format=json	ok
NCK1	EuropePMC	AX-024 Nck1 CD3 autoimmune	2	Small molecule AX-024 reduces T cell proliferation independently of CD3ϵ/Nck1 interaction, which is governed by a domain swap in the Nck1-SH3.1 domain.	2020	https://pubmed.ncbi.nlm.nih.gov/32317279/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=AX-024+Nck1+CD3+autoimmune&resultType=lite&pageSize=3&format=json	ok
NCK1	EuropePMC	NCK1 regulatory T cells	790	Pan-cancer multi-omics dissection of podosome-related genes reveals their dual roles in tumor invasion and immune modulation.	2026	https://pubmed.ncbi.nlm.nih.gov/41677975/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=NCK1+regulatory+T+cells&resultType=lite&pageSize=3&format=json	ok
PLEK2	EuropePMC	PLEK2 actin cytoskeleton cell spreading	13	Emerging Roles of Pleckstrin-2 Beyond Cell Spreading.	2021	https://pubmed.ncbi.nlm.nih.gov/34869363/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PLEK2+actin+cytoskeleton+cell+spreading&resultType=lite&pageSize=3&format=json	ok
PLEK2	EuropePMC	PLEK2 autoimmune inflammation	20	Multi-dimensional evidence establishing the causal association between metabolic syndrome and gout and the molecular mechanisms of comorbidity.	2026	https://pubmed.ncbi.nlm.nih.gov/41789074/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PLEK2+autoimmune+inflammation&resultType=lite&pageSize=3&format=json	ok
SEL1L3	EuropePMC	SEL1L3 immune inflammation	89	Bridging aging, immunity, and atherosclerosis: novel insights into senescence-related genes.	2025	https://pubmed.ncbi.nlm.nih.gov/40612944/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SEL1L3+immune+inflammation&resultType=lite&pageSize=3&format=json	ok
SEL1L3	EuropePMC	SEL1L3 Human Protein Atlas	67	Bioinformatics analysis reveals novel tumor antigens and immune subtypes of skin cutaneous melanoma contributing to mRNA vaccine development.	2025	https://pubmed.ncbi.nlm.nih.gov/40066453/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SEL1L3+Human+Protein+Atlas&resultType=lite&pageSize=3&format=json	ok
AQR	EuropePMC	AQR Aquarius spliceosome	55	Hemizygous loss of helicases promotes genomic instability and cancer development.	2026	https://pubmed.ncbi.nlm.nih.gov/41719398/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=AQR+Aquarius+spliceosome&resultType=lite&pageSize=3&format=json	ok
AQR	EuropePMC	AQR autoimmune	61	Transcription-Coupled Repair and R-Loop Crosstalk in Genome Stability.	2025	https://pubmed.ncbi.nlm.nih.gov/40332372/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=AQR+autoimmune&resultType=lite&pageSize=3&format=json	ok
CHI3L1	EuropePMC	CHI3L1 YKL-40 autoimmune disease	339	Stage-specific CHI3L1/YKL-40 signaling controls generation of oligodendrocyte precursor cells through IL13Rα2-mediated ferroptosis	2026	https://pmc.ncbi.nlm.nih.gov/articles/PMC13192653/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=CHI3L1+YKL-40+autoimmune+disease&resultType=lite&pageSize=3&format=json	ok
CHI3L1	EuropePMC	CHI3L1 biomarker inflammatory diseases	2048	The clinical significance of S100B, APP, and CHI3L1 in autoimmune GFAP astrocytopathy.	2026	https://pubmed.ncbi.nlm.nih.gov/42028212/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=CHI3L1+biomarker+inflammatory+diseases&resultType=lite&pageSize=3&format=json	ok
LTA4H	EuropePMC	LTA4H inhibitor colitis	107	Disturbed LTB4 Metabolism in ILC2s Aggravates Ulcerative Colitis via Intercellular ATP Accumulation.	2026	https://pubmed.ncbi.nlm.nih.gov/41838192/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=LTA4H+inhibitor+colitis&resultType=lite&pageSize=3&format=json	ok
LTA4H	EuropePMC	leukotriene A4 hydrolase autoimmune	399	Leukotrienes: Bridging the Inflammatory Gap in Asthma and Inflammatory Bowel Diseases (IBD).	2025	https://pubmed.ncbi.nlm.nih.gov/40568744/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=leukotriene+A4+hydrolase+autoimmune&resultType=lite&pageSize=3&format=json	ok
APOC1	EuropePMC	APOC1 autoimmune inflammation	410	Identification of Mitochondrial Unfolded Protein Response-Related Genes and Diagnostic Biomarkers in Atherosclerosis by Integrative Multidimensional Analysis and Experimental Validation.	2025	https://pubmed.ncbi.nlm.nih.gov/41341216/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=APOC1+autoimmune+inflammation&resultType=lite&pageSize=3&format=json	ok
APOC1	EuropePMC	APOC1 macrophage lipid inflammation	772	A Dynamic Change of Microglial States Occurs During the Transition From Photoreceptor Degeneration to Regeneration in Zebrafish pde6c Mutants.	2026	https://pubmed.ncbi.nlm.nih.gov/41995141/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=APOC1+macrophage+lipid+inflammation&resultType=lite&pageSize=3&format=json	ok
CBX3	EuropePMC	CBX3 autoimmune inflammation	94	Autoimmunity in IgA nephropathy.	2026	https://pubmed.ncbi.nlm.nih.gov/41878430/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=CBX3+autoimmune+inflammation&resultType=lite&pageSize=3&format=json	ok
CBX3	EuropePMC	CBX3 chromatin inflammation	252	Single-Cell and Machine Learning Analysis Reveal Novel Inflammatory Macrophage Subtypes and Biomarkers in Periodontitis.	2026	https://pubmed.ncbi.nlm.nih.gov/41172679/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=CBX3+chromatin+inflammation&resultType=lite&pageSize=3&format=json	ok
CXCL9	EuropePMC	CXCL9 autoimmune disease interferon gamma	3185	Investigating T-cell subpopulation-associated cytokine imbalance in vitiligo pathogenesis and the role of traditional Chinese medicine: A review.	2026	https://pubmed.ncbi.nlm.nih.gov/41861230/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=CXCL9+autoimmune+disease+interferon+gamma&resultType=lite&pageSize=3&format=json	ok
CXCL9	EuropePMC	CXCL9 CXCR3 autoimmune	3402	Molecular basis of CXC chemokine receptor 3 ligand multispecificity.	2026	https://pubmed.ncbi.nlm.nih.gov/41996512/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=CXCL9+CXCR3+autoimmune&resultType=lite&pageSize=3&format=json	ok
PPP3CA	EuropePMC	PPP3CA calcineurin autoimmune	83	Kidney adverse events associated with calcineurin inhibitors: a real-world study based on the FAERS database and network pharmacology.	2026	https://pubmed.ncbi.nlm.nih.gov/42078472/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PPP3CA+calcineurin+autoimmune&resultType=lite&pageSize=3&format=json	ok
PPP3CA	EuropePMC	calcineurin inhibitors autoimmune tacrolimus cyclosporine	3387	Kidney adverse events associated with calcineurin inhibitors: a real-world study based on the FAERS database and network pharmacology.	2026	https://pubmed.ncbi.nlm.nih.gov/42078472/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=calcineurin+inhibitors+autoimmune+tacrolimus+cyclosporine&resultType=lite&pageSize=3&format=json	ok
