analysis	disease_name	compartment	role	gene	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	TLR8	detection_fraction	6.0	6.0	0.0	0.0	0.0				1.0
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	TLR9	mean_z_vs_controls	6.0	6.0	0.0	0.0	0.0				1.0
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	TLR9	detection_fraction	6.0	6.0	0.0	0.0	0.0				1.0
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	UNC93B1	mean_z_vs_controls	6.0	6.0	0.3485061488849566	0.08482997742593246	0.26367617145902417	1.0156784978824458	1.9058073260282706	0.08589984353179819	0.5986735394077064
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	UNC93B1	detection_fraction	6.0	6.0	0.1073354617933211	0.04562312409554492	0.061712337697776176	1.2194911282455654	2.288238976292547	0.04927157969369848	0.5986735394077064
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	IRF5	mean_z_vs_controls	6.0	6.0	-0.02242043723326295	0.008381334300487937	-0.030801771533750886	-0.6743072893487654	-1.2652623588216187	0.23450947736582284	0.7387473918287242
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	IRF5	detection_fraction	6.0	6.0	0.0037991939307728782	0.0039333615618449514	-0.0001341676310720732	-0.02314638716249554	-0.04343161179186081	0.966451638652244	1.0
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	SLC15A4	mean_z_vs_controls	6.0	6.0	0.15392501616988918	0.012377464696174416	0.14154755147371476	1.2021703174531728	2.255738408278443	0.06777498058160747	0.5986735394077064
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	SLC15A4	detection_fraction	6.0	6.0	0.029645747026901526	0.012784617387025007	0.01686112963987652	0.7915364592919325	1.4852298104982014	0.19555668871322654	0.7069663857405903
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	TASL_CXorf21	mean_z_vs_controls	6.0	6.0	-0.02274277137728842	0.0021529447617768377	-0.024895716139065258	-0.6842477671525199	-1.2839145558132001	0.2530176038815697	0.7387473918287242
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	TASL_CXorf21	detection_fraction	6.0	6.0	0.00045045045045045046	0.0007962122236652172	-0.0003457617732147668	-0.2778342418754201	-0.5213249415948255	0.613556159142011	0.9882783771414942
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	TLR7	mean_z_vs_controls	6.0	6.0	-0.02668964424406051	0.017168556065223422	-0.04385820030928393	-0.9878834629229235	-1.8536530455512208	0.12296988239870071	0.5986735394077064
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	TLR7	detection_fraction	6.0	6.0	0.0	0.0013186166243096327	-0.0013186166243096327	-1.1582091429133152	-2.1732501714263868	0.08180673896707154	0.5986735394077064
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	TLR8	mean_z_vs_controls	6.0	6.0	0.0	0.0	0.0				1.0
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	TLR8	detection_fraction	6.0	6.0	0.0	0.0	0.0				1.0
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	TLR9	mean_z_vs_controls	6.0	6.0	-0.01664796592684975	-0.003488758021481029	-0.013159207905368722	-0.762150177040053	-1.4300897321002355	0.21208665489744347	0.7387473918287242
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	TLR9	detection_fraction	6.0	6.0	0.0	0.00022774886677127945	-0.00022774886677127945	-0.8330798360299888	-1.5631813196621807	0.1787735629032469	0.6898720339697566
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	UNC93B1	mean_z_vs_controls	6.0	6.0	-0.03924376633402015	0.006992141549524779	-0.04623590788354493	-0.24453264847264558	-0.4588382188693356	0.6567288849304113	1.0
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	UNC93B1	detection_fraction	6.0	6.0	0.021362842044081436	0.026074984612453736	-0.0047121425683723	-0.12210387891552398	-0.2291142989231695	0.8250093140248954	1.0
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IRF5	mean_z_vs_controls	6.0	6.0	-0.08019555686979318	0.03696880581899843	-0.11716436268879162	-0.8162009422151573	-1.5315099595274286	0.1692964503927854	0.6898720339697566
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IRF5	detection_fraction	6.0	6.0	0.05986147635296881	0.10313911041762984	-0.04327763406466103	-0.8781574499594317	-1.6477644304060977	0.14929887945522277	0.6635505753565456
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	SLC15A4	mean_z_vs_controls	6.0	6.0	0.22702841542377525	0.0020792120577654005	0.22494920336600985	0.9468795773365453	1.7767138313125936	0.11046993895953681	0.5986735394077064
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	SLC15A4	detection_fraction	6.0	6.0	0.07958470614498131	0.06614565675245286	0.013439049392528449	0.25950732413915373	0.48693652620736466	0.6377871426515385	0.9910912249152007
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TASL_CXorf21	mean_z_vs_controls	6.0	6.0	0.31897011421435856	0.011698940991153242	0.3072711732232053	1.565116658864336	2.936766704002599	0.029129597149429004	0.5986735394077064
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TASL_CXorf21	detection_fraction	6.0	6.0	0.12082146375750402	0.059758255423708495	0.06106320833379553	1.1750894858959973	2.2049242507628475	0.07047224856255145	0.5986735394077064
