analysis	disease_name	compartment	role	gene	aliases	present	matched_alias	matched_symbol
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	SLC15A4	SLC15A4	True	SLC15A4	SLC15A4
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	TASL_CXorf21	TASL,CXorf21,CXORF21	True	TASL	TASL
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	IRF5	IRF5	True	IRF5	IRF5
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	TLR7	TLR7	True	TLR7	TLR7
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	TLR8	TLR8	True	TLR8	TLR8
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	TLR9	TLR9	True	TLR9	TLR9
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	UNC93B1	UNC93B1	True	UNC93B1	UNC93B1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	SLC15A4	SLC15A4	True	SLC15A4	SLC15A4
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	TASL_CXorf21	TASL,CXorf21,CXORF21	True	TASL	TASL
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	IRF5	IRF5	True	IRF5	IRF5
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	TLR7	TLR7	True	TLR7	TLR7
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	TLR8	TLR8	True	TLR8	TLR8
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	TLR9	TLR9	True	TLR9	TLR9
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	UNC93B1	UNC93B1	True	UNC93B1	UNC93B1
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	SLC15A4	SLC15A4	True	SLC15A4	SLC15A4
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	TASL_CXorf21	TASL,CXorf21,CXORF21	True	TASL	TASL
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	IRF5	IRF5	True	IRF5	IRF5
