analysis	disease_name	compartment	role	module	n_genes_present	genes_present
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	endosomal_tlr_sensor_chaperone	4	TLR7,TLR8,TLR9,UNC93B1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	full_slc15a4_tasl_tlr_irf5_branch	7	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,TLR9,UNC93B1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	endosomal_tlr_sensor_chaperone	4	TLR7,TLR8,TLR9,UNC93B1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	full_slc15a4_tasl_tlr_irf5_branch	7	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,TLR9,UNC93B1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	endosomal_tlr_sensor_chaperone	4	TLR7,TLR8,TLR9,UNC93B1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	full_slc15a4_tasl_tlr_irf5_branch	7	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,TLR9,UNC93B1
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	endosomal_tlr_sensor_chaperone	3	TLR7,TLR8,UNC93B1
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	full_slc15a4_tasl_tlr_irf5_branch	6	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,UNC93B1
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	endosomal_tlr_sensor_chaperone	3	TLR7,TLR8,UNC93B1
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	full_slc15a4_tasl_tlr_irf5_branch	6	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,UNC93B1
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	endosomal_tlr_sensor_chaperone	3	TLR7,TLR8,UNC93B1
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	full_slc15a4_tasl_tlr_irf5_branch	6	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,UNC93B1
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	endosomal_tlr_sensor_chaperone	3	TLR7,TLR8,UNC93B1
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	full_slc15a4_tasl_tlr_irf5_branch	6	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,UNC93B1
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	endosomal_tlr_sensor_chaperone	3	TLR7,TLR8,UNC93B1
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	full_slc15a4_tasl_tlr_irf5_branch	6	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,UNC93B1
