gene	modules	n_primary_contexts	nonresponse_high_contexts	responder_high_contexts	nominal_nonresponse_contexts_p_lt_0_05	fdr10_nonresponse_contexts	ibd_weighted_hedges_g_responder_minus_non	ibd_median_auc_high_score_nonresponse	ibd_min_p	best_context	ibd_wave86_call	ibd_nonresponse_high	ibd_call	ra_available	ra_n_subjects	ra_n_responders	ra_n_nonresponders	ra_effect_responder_minus_non	ra_hedges_g_responder_minus_non	ra_auc_high_score_nonresponse	ra_p	ra_nonresponse_high	ra_call	ra_fdr_candidate_genes	psoriasis_ada_n_subjects	psoriasis_ada_n_responders	psoriasis_ada_n_nonresponders	psoriasis_ada_effect_responder_minus_non	psoriasis_ada_hedges_g_responder_minus_non	psoriasis_ada_auc_high_score_nonresponse	psoriasis_ada_p	psoriasis_ada_fdr	psoriasis_ada_nonresponse_high	psoriasis_ada_call	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	ms_wm_positive_nominal	ms_wm_negative_nominal	ms_wm_call	direct_h5ad_contexts	direct_positive_p05_disease_count	direct_positive_p05_diseases	direct_negative_p05_disease_count	direct_negative_p05_diseases	direct_positive_fdr10_disease_count	direct_negative_fdr10_disease_count	direct_top_positive_contexts	direct_top_negative_contexts	wave55_score	n_diseases_genetic_ge_0_25	diseases_genetic_ge_0_25	n_diseases_genetic_ge_0_5	diseases_genetic_ge_0_5	ms_genetic_association	ms_overall_score	strict_residual_disease_count	foundation_recommendation	wave62_score	wave62_call	manual_blocker	strong_l2g_disease_count	strong_l2g_diseases	ms_max_l2g_score	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	chembl_target_id	druggable_activity_count	wave61_best_call	wave61_best_manual_blocker	wave81_call	direct_perturbation	foundation_model_support	direct_perturbation_detail	foundation_model_detail	wave71_call	decision_reason	response_nonresponse_high_context_count	response_nominal_or_trend_context_count	response_mean_hedges_g_responder_minus_non	response_effect_sd	route_blocker	wave91_call	module_intervention_score
OSM	inflammatory_nfkb	4	4	0	2	2	-1.431254442057994	0.8145833333333333	0.0002320784273026	GSE12251_UC_ACT1_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	-0.22467655784240465	-0.2881959585113285	0.5602678571428572	0.4385407669626248	True	NONRESPONSE_HIGH_WEAK	0.7320384178136287	14	9	5	-0.3528211778023126	-0.2711321444981415	0.4666666666666667	0.6989278503365534	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	0.0762340874548801	0.0772104506000814	0.8590024396793193	0.9797533479060436	False	False	MS_WM_NULL_OR_WEAK	12	2	Crohn disease;ulcerative colitis	0		0	0	ibd_uc_myeloid:0.826,p=0.0357;ibd_crohn_myeloid:0.494,p=0.0382			0.0											0.0			0.0			0.0				0.0	0.0					3	1	-0.663527515022488	0.6649257622537309	NO_GO_OSM_OSMR_IBD_RA_PRIOR_ART_AND_MS_DIRECTION_AMBIGUITY	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	5.5
CXCL8	inflammatory_nfkb	4	4	0	3	3	-1.7015926386898363	0.8848958333333333	6.652270422766353e-07	GSE16879_Crohn_colitis_Leuven_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	-0.21051426637375148	-0.236623045050809	0.5379464285714286	0.4309539083923327	True	NONRESPONSE_HIGH_WEAK	0.7320384178136287	14	9	5	-0.520153050002477	-0.5174929010214088	0.5333333333333333	0.4547293065676552	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	-0.0879956974423397	-0.1050666349502435	0.8090528791592078	0.9761732664217524	False	False	MS_WM_NULL_OR_WEAK	12	2	type 1 diabetes mellitus;ulcerative colitis	0		0	0	ibd_uc_myeloid:1.103,p=0.00116;t1d_ductal_cell:1.052,p=0.0116;t1d_acinar_cell:1.215,p=0.0191		4.0	0.0		0.0		0.0	0.0	1.0	do_not_promote_from_foundation_model				0.0			0.0			0.0				0.0	0.0					3	1	-0.8185695282540181	0.7775084109969788	NO_GO_GENERIC_NEUTROPHIL_CHEMOKINE_LOW_MS_ANCHOR	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	5.5
IFI30	ifn_apc;lysosomal_apc	4	4	0	3	2	-0.9749187121510496	0.79453125	0.0121547902094126	GSE12251_UC_ACT1_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.06248929024691949	0.08101742449353182	0.4486607142857143	0.8008549960531537	False	NO_SUPPORT	0.9991169063975157	14	9	5	-0.5234112656664578	-0.6431549297842684	0.6888888888888889	0.2911270101154797	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	0.21016237009791	0.3729738390500611	0.379946954952182	0.9141270983319502	False	False	MS_WM_NULL_OR_WEAK	12	1	ulcerative colitis	0		0	0	ibd_uc_myeloid:0.765,p=0.0365			0.0								1.6470071574432383	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	direct_antigen_processing_host_defense_and_druggability	1.0	MS	0.6501023173332214	3.0	Celiac;Crohn;MS		0.0				0.0	0.0					2	1	-0.5123520724805953	0.5399836310269737	NO_GO_DIRECT_ANTIGEN_PROCESSING_HOST_DEFENSE_AND_POOR_DRUGGABILITY	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	4.5
CIITA	hla_ii_apc	4	1	3	0	0	0.1525285178746905	0.4122023809523809	0.0920602516541853	GSE12251_UC_ACT1_baseline	NO_GENE_LEVEL_CONVERGENCE	False	NO_SUPPORT	True	46.0	32.0	14.0	0.05044706063223347	0.07061884534660602	0.4709821428571429	0.8202698315368785	False	NO_SUPPORT	0.9991169063975157	14	9	5	-0.2437563334592397	-0.2588771703367687	0.5333333333333333	0.6536962160750865	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	-0.1592290360524426	-0.2416836429688429	0.5752493711426078	0.944231150833099	False	False	MS_WM_NULL_OR_WEAK	12	0		0		0	0			10.0	3.0	Celiac;Crohn;RA	3.0	Celiac;Crohn;RA	0.0	0.0	0.0	do_not_promote	0.8631280672216812	NO_GO_WAVE62_TARGET_RESOLUTION	direct_antigen_presentation_host_defense	1.0	Celiac	0.0	1.0	Celiac		0.0			NO_GO_PERTURBATION_FIRST_BLOCKED	0.0	0.0			NO_REOPEN_INSUFFICIENT_CONVERGENCE	direct_antigen_presentation_host_defense	1	0	-0.011909935705157396	0.21776572239359326	UNSPECIFIED_ROUTE_NOT_AUDITED	NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	4.5
HLA-DRB1	hla_ii_apc;ifn_apc;mif_cd74_receptor_state	4	4	0	1	1	-0.5088992011453852	0.6981770833333334	0.0431810492970931	GSE12251_UC_ACT1_baseline	PARK_DIRECTIONAL_NONRESPONSE_GENE	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.5161875856367066	0.5470463843151552	0.3549107142857143	0.09625157439936581	False	NO_SUPPORT	0.24062893599841453	14	9	5	-0.4608401735746107	-0.4205308633851293	0.6222222222222222	0.4534764828303065	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	0.5468677387854282	0.8375223417578668	0.057765674762618	0.8989378106274888	False	False	MS_WM_NULL_OR_WEAK	10	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0		0	0	ibd_uc_epithelial:0.528,p=0.0115;sjogren_gland_epithelial:0.49,p=0.0269;ibd_crohn_epithelial:0.472,p=0.0287		0.0	0.0		0.0		0.0	0.4038101711530044	0.0	triage_only_no_direct_candidate_perturbation				0.0			0.0			0.0				0.0	0.0					2	1	-0.12746122673845312	0.5858093792408602	NO_GO_BROAD_MHC_CLASS_II_AND_HLA_RISK_TAG	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	4.5
CTSS	lysosomal_apc	4	3	1	1	1	-0.3122179821290525	0.5363095238095239	0.0070185963236003	GSE12251_UC_ACT1_baseline	PARK_DIRECTIONAL_NONRESPONSE_GENE	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.4552035096590174	0.6768794428854569	0.3102678571428571	0.05607094655353401	False	NO_SUPPORT	0.1576995371818144	14	9	5	-0.3727015942224017	-0.3195078296193633	0.6222222222222222	0.5140485088252001	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	0.189873422640673	0.6388917205212462	0.1407159118865243	0.8989378106274888	False	False	MS_WM_NULL_OR_WEAK	12	2	Crohn disease;ulcerative colitis	0		0	0	ibd_uc_myeloid:0.584,p=0.00179;ibd_crohn_myeloid:0.374,p=0.0182		-3.0	0.0		0.0		0.0	0.0	0.0	triage_only_no_direct_candidate_perturbation				0.0			0.0			0.0			NO_GO_PERTURBATION_FIRST_BLOCKED	0.0	1.0		wave57:support=2,strong=0,token_contexts=7	NO_REOPEN_INSUFFICIENT_CONVERGENCE	cathepsin/antigen-processing route prior audited and host-defense risk	2	1	0.01505121037901369	0.5731716518426744	NO_GO_CATHEPSIN_S_PRIOR_AUDITED_HOST_DEFENSE_AND_PRIOR_ART	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	4.5
LAMP3	lysosomal_apc	4	4	0	2	2	-1.0965849531171696	0.7588541666666666	0.0057443715041886	GSE16879_Crohn_colitis_Leuven_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	-0.6320679830496541	-0.926908112855244	0.7857142857142857	0.0023759962619227144	True	NONRESPONSE_HIGH_NOMINAL	0.04317233334423169	14	9	5	0.2756765794898026	0.4960086337766255	0.3555555555555555	0.296760343537712	0.8144849241386118	False	NO_SUPPORT	1.112744457164954	0.6035372974366917	0.1588852707263668	0.8989378106274888	False	False	MS_WM_NULL_OR_WEAK	12	1	Crohn disease	0		0	0	ibd_crohn_myeloid:0.751,p=0.0137		2.0	0.0		0.0		0.0	0.0	0.0	triage_only_no_direct_candidate_perturbation				0.0			0.0			0.0				0.0	0.0					2	2	-0.509161477398596	0.8746272187797058	NO_GO_DENDRITIC_LYSOSOMAL_MARKER_NOT_INTERVENTION_POINT	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	4.0
CD68	complement_phagocytosis	4	2	2	0	0	-0.0650934218536329	0.4854166666666666	0.2678128766299726	GSE12251_UC_ACT1_baseline	NO_GENE_LEVEL_CONVERGENCE	True	NONRESPONSE_HIGH_WEAK	True	46.0	32.0	14.0	0.047497679699792975	0.04773641815573479	0.4441964285714286	0.891828495103469	False	NO_SUPPORT	0.9991169063975157	14	9	5	-0.0587900710609121	-0.0903888326293037	0.5333333333333333	0.8655052617881879	0.92732706620163	True	NONRESPONSE_HIGH_WEAK	0.1584094095037844	0.3071058479710855	0.4936355401708781	0.9271619615463814	False	False	MS_WM_NULL_OR_WEAK	12	0		0		0	0				0.0											0.0			0.0			0.0				0.0	0.0					2	0	-0.03591527877573394	0.07354025599094147	UNSPECIFIED_ROUTE_NOT_AUDITED	PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	4.0
CXCR4	mif_cd74_receptor_state	4	4	0	2	1	-0.7992404720915058	0.7138020833333334	0.0133992745174144	GSE16879_Crohn_colitis_Leuven_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.4563400776925882	0.5513507377973503	0.3549107142857143	0.06311946246643496	False	NO_SUPPORT	0.16708093005821018	14	9	5	-0.6066049333387564	-0.5871102402524735	0.6444444444444444	0.3730551571138522	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	0.3120868456565837	0.4215814445672457	0.3176858396110893	0.9117075809002704	False	False	MS_WM_NULL_OR_WEAK	12	2	Crohn disease;ulcerative colitis	0		0	0	ibd_uc_myeloid:0.736,p=0.0083;ibd_crohn_myeloid:0.454,p=0.0214		8.0	1.0	MS	1.0	MS	0.5478033494772918	0.3358945638290406	0.0					0.0			0.0			0.0				0.0	0.0					2	1	-0.27833332484887635	0.7263136661745263	NO_GO_BROAD_TRAFFICKING_AXIS_AND_EXISTING_AUTOIMMUNE_PRIOR_ART	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	4.0
FABP5	lipid_loader_repair	4	2	2	0	0	0.1922229705106065	0.4333333333333333	0.1366984315089653	GSE12251_UC_ACT1_baseline	NO_GENE_LEVEL_CONVERGENCE	False	NO_SUPPORT	True	46.0	32.0	14.0	-0.29001608286958935	-0.40812865900826223	0.6071428571428572	0.20102419037506208	True	NONRESPONSE_HIGH_WEAK	0.39330819855990407	14	9	5	-0.0590861666558789	-0.1782167767536191	0.5333333333333333	0.7058869342534636	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	1.2651351909882678	1.354921443745131	0.004142204528345	0.8344760564031432	True	False	MS_WM_UP_NOMINAL	12	0		1	ulcerative colitis	0	0		ibd_uc_epithelial:-0.209,p=0.0305		0.0											0.0			0.0			0.0				0.0	0.0					2	0	-0.13137415508375827	0.3029045941714479	PARK_INTRACELLULAR_LIPID_CHAPERONE_SELECTIVITY_AND_CNS_ROUTE_UNRESOLVED	PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	3.5
