tracking_id	gene_type	D0_RPKM	Description	D3_RPKM	D7_RPKM	D14_RPKM	D21_RPKM	LCL_RPKM	late_mean_RPKM	early_mean_RPKM	log2_late_vs_D0	log2_early_vs_D0
C5AR1	protein_coding	114.7471545	complement C5a receptor 1	19.00006341	20.73089628	0.071185522	0.183821711	0.165038629	0.14001528733333332	19.865479845	-8.902373098445457	-2.524135461510327
FGFBP2	protein_coding	162.2780605	fibroblast growth factor binding protein 2	32.59287608	15.39217048	0.541009968	0.0	0.183376254	0.241462074	23.99252328	-8.893415654403736	-2.752699313583018
FPR3	protein_coding	48.02718259	formyl peptide receptor 3	9.494958283	23.12905981	0.012639613	0.0	0.0	0.004213204333333333	16.312009046500002	-8.851170072977723	-1.5521001144917417
SLC11A1	protein_coding	116.0913402	solute carrier family 11 member 1	61.61045139	26.86317534	0.24237081	0.111762837	0.133790401	0.16264134933333332	44.236813365	-8.789192765650188	-1.3899255602217533
EREG	protein_coding	93.55101675	epiregulin	6.568727655	4.192840446	0.021614066	0.353487403	0.0	0.125033823	5.3807840505	-8.701008989900203	-4.094840460604445
SLAMF9	protein_coding	56.57936143	SLAM family member 9	22.60568115	32.65870082	0.115374735	0.0	0.0	0.038458245	27.632190985	-8.67722872741427	-1.0312619032571098
S1PR5	protein_coding	54.49313286	sphingosine-1-phosphate receptor 5	9.296231759	0.242600297	0.053136731	0.017151811	0.034220493	0.034836345	4.769416027999999	-8.66136625323897	-3.4868988189551655
FBP1	protein_coding	85.05703247	fructose-bisphosphatase 1	6.775252267	24.35256421	0.148027962	0.119453509	0.071498422	0.11299329766666667	15.5639082385	-8.643173832396888	-2.442681457449366
S100A10	protein_coding	276.1995792	S100 calcium binding protein A10	85.94831512	144.2569583	0.442470312	1.101780293	0.244246741	0.596165782	115.10263671000001	-8.632586745277514	-1.2620596279880418
CSF1R	protein_coding	162.1426635	colony stimulating factor 1 receptor	8.161230983	28.27248613	0.465255328	0.252931475	0.220778725	0.31298850933333333	18.2168585565	-8.617835884904903	-3.14690924252735
CTSL	protein_coding	55.62010317	cathepsin L	184.3435477	91.87191136	0.077813999	0.050234591	0.0	0.04268286333333333	138.10772953	-8.609242046030396	1.3105684691315123
IL1B	protein_coding	617.5942868	interleukin 1 beta	134.4199724	93.46632581	0.422912331	4.052201143	0.086008115	1.5203738629999999	113.943149105	-8.574422457376802	-2.4373132044511836
SLA	protein_coding	59.13539628	Src like adaptor	31.63638596	8.282885214	0.064529469	0.059512088	0.047494298	0.05717861833333333	19.959635587	-8.5579107347524	-1.5621641225692997
RNF130	protein_coding	78.54356673	ring finger protein 130	44.4589455	75.55750322	0.029468227	0.114143291	0.189777811	0.11112977633333332	60.00822436	-8.541054882531938	-0.38776635141889404
SEMA6B	protein_coding	68.60193137	semaphorin 6B	15.25506585	21.92465819	0.025375417	0.20750123	0.021789304	0.08488865033333333	18.589862019999998	-8.53755018141381	-1.878094738839219
FCRL6	protein_coding	41.97893735	Fc receptor like 6	10.54956044	0.317459365	0.0	0.021041566	0.020990576	0.014010714	5.4335099025	-8.527785055395766	-2.9268314950177503
PLA2G7	protein_coding	44.87327993	phospholipase A2 group VII	38.93448628	74.9464048	0.067258293	0.0	0.0	0.022419431	56.94044554	-8.521091726597282	0.3429171461292162
LAIR1	protein_coding	37.92911206	leukocyte associated immunoglobulin like receptor 1	21.58017999	13.12748105	0.01934066	0.0	0.0	0.006446886666666666	17.353830520000002	-8.480826688911538	-1.1235605604432202
CSF3R	protein_coding	38.7068154	colony stimulating factor 3 receptor	3.428115999	6.397511163	0.019107907	0.0	0.01230565	0.010471185666666667	4.912813581	-8.456496117223342	-2.952617557663909
CXCL16	protein_coding	185.7464092	C-X-C motif chemokine ligand 16	31.32724743	25.33392145	0.319273883	0.806534977	0.178795665	0.434868175	28.33058444	-8.440711733386447	-2.708595152147394
NCR1	protein_coding	41.25820703	natural cytotoxicity triggering receptor 1	8.040284135	0.211249521	0.057837465	0.0	0.0	0.019279155	4.125766828	-8.437687890355162	-3.2908885743247485
KLRB1	protein_coding	125.9825824	killer cell lectin like receptor B1	8.367512629	0.713157448	0.315409581	0.349062525	0.174108319	0.2795268083333334	4.5403350385	-8.375951478140772	-4.763996205338476
S100A12	protein_coding	32.45296935	S100 calcium binding protein A12	0.600563453	0.26134195	0.0	0.0	0.0	0.0	0.4309527015	-8.346645335965489	-5.938061987837512
DUSP6	protein_coding	61.24490382	dual specificity phosphatase 6	3.616780627	6.684144331	0.078570365	0.114126481	0.075899945	0.08953226366666667	5.150462479	-8.338356231723358	-3.5464270870154135
CD163	protein_coding	34.40283387	CD163 molecule	1.168877079	0.581314314	0.023873483	0.0	0.0	0.007957827666666667	0.8750956965000001	-8.320103199221414	-5.145027238640286
CLEC7A	protein_coding	48.39546145	C-type lectin domain containing 7A	1.712532572	3.456129091	0.082796414	0.030543487	0.045704206	0.05301470233333333	2.5843308315	-8.308035645599302	-4.175215342785284
ADAM28	protein_coding	40.23197354	ADAM metallopeptidase domain 28	8.457536131	20.56826302	0.069755855	0.022516237	0.011230836	0.034500975999999996	14.5128995755	-8.228163550098671	-1.4646815276060572
PPBP	protein_coding	58.36681608	pro-platelet basic protein	5.861696889	3.975650256	0.025511323	0.0	0.262872035	0.09612778599999999	4.9186735725	-8.219680277712342	-3.542240011147425
TGFBI	protein_coding	168.8873448	transforming growth factor beta induced	2.020398227	6.5125855	0.320951537	0.706006438	0.413390875	0.4801162833333333	4.2664918635	-8.18635737900012	-5.274296747261493
KLRD1	protein_coding	41.5861741	killer cell lectin like receptor D1	8.299948031	0.145198628	0.00993839	0.089823342	0.038402431	0.046054721	4.222573329499999	-8.1569161675445	-3.2696066261235455
TLR2	protein_coding	35.64439034	toll like receptor 2	6.919580542	3.334450442	0.017064124	0.022032264	0.043957747	0.027684711666666667	5.127015492	-8.128987241237667	-2.773657505380431
PTGS2	protein_coding	47.69098402	prostaglandin-endoperoxide synthase 2	8.97734093	4.354962397	0.03710583	0.182054273	0.009558584	0.07623956233333333	6.666151663500001	-8.083056845444114	-2.8203310524297542
CCL2	protein_coding	47.8365613	C-C motif chemokine ligand 2	417.0381978	133.058759	0.17806835	0.05747803	0.0	0.07851546	275.0484784	-8.068933590033783	2.5210120234719264
OLR1	protein_coding	34.60627969	oxidized low density lipoprotein receptor 1	11.35968398	4.727491682	0.026505007	0.0	0.068277772	0.031594259666666666	8.043587831	-8.042956356780962	-2.0914602753153106
LILRB3	protein_coding	63.18753338	leukocyte immunoglobulin like receptor B3	10.66674371	18.05841977	0.108504063	0.098066161	0.223608037	0.14339275366666668	14.36258174	-8.022491313324652	-2.129596226844176
CLIC3	protein_coding	37.71332786	chloride intracellular channel 3	18.88986284	12.78271804	0.041012667	0.0	0.105649984	0.048887550333333335	15.836290439999999	-7.988527888995749	-1.2465789770562026
SERPINA1	protein_coding	56.71465754	serpin family A member 1	7.951072453	6.297913348	0.207999964	0.128440871	0.046592589	0.127677808	7.1244929005	-7.963125689256527	-2.9752949457270743
HDC	protein_coding	25.76311921	histidine decarboxylase	5.927497685	6.709555907	0.01261093	0.0	0.0	0.004203643333333333	6.3185267960000004	-7.95534675071603	-2.010582173479419
CD7	protein_coding	74.75226123	CD7 molecule	12.24262409	0.696097084	0.441805203	0.100664953	0.06694734	0.20313916533333334	6.469360587	-7.947921830250025	-3.5102210384417596
KIR2DL1	protein_coding	24.51791903	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1	1.729438593	0.050807405	0.0	0.0	0.0	0.0	0.890122999	-7.9435650047252455	-4.635957248194691
TARP	protein_coding	33.95562533	TCR gamma alternate reading frame protein	7.732327559	0.553390095	0.032466698	0.041919226	0.041817642	0.038734522	4.1428588269999995	-7.939422487681951	-3.0047845415859675
ZAP70	protein_coding	88.35104185	zeta chain of T-cell receptor associated protein kinase 70	35.72567305	3.288475798	0.157341558	0.169292351	0.489758097	0.2721306686666667	19.507074424	-7.892926032848674	-2.1735048495432805
LINC01272	protein_coding	23.2701899	small integral membrane protein 25	10.02492786	20.76207937	0.0	0.0	0.0	0.0	15.393503615	-7.86852564690253	-0.593006033050191
CX3CR1	protein_coding	35.80506004	C-X3-C motif chemokine receptor 1	5.97874302	0.199811893	0.009117664	0.070633379	0.093949617	0.05790022	3.0892774564999996	-7.82903018346288	-3.4928856571543534
PTGDS	protein_coding	32.18028508	prostaglandin D2 synthase	1.550962515	0.149981957	0.082126351	0.053018528	0.0	0.045048292999999996	0.850472236	-7.79797619217122	-5.085865024163185
TNS1	protein_coding	72.65303754	tensin 1	4.296255382	16.6986723	0.116811867	0.540442271	0.033434581	0.230229573	10.497463840999998	-7.783394350075958	-2.7792884399286857
NKG7	protein_coding	760.4725948	natural killer cell granule protein 7	106.3460822	8.895540009	5.167000257	2.970834808	1.975757033	3.3711973660000005	57.6208111045	-7.775508749493447	-3.7199224781199947
GZMB	protein_coding	189.776132	granzyme B	34.057538	0.619457522	0.610558874	1.182480375	0.567962709	0.7870006526666667	17.338497761	-7.741907684367019	-3.444710896137324
SH2D1A	protein_coding	27.24050876	SH2 domain containing 1A	4.989603813	0.096770241	0.0	0.06841644	0.017062661	0.028493033666666667	2.543187027	-7.733206134160025	-3.3706896731525435
S100A9	protein_coding	103.2911406	S100 calcium binding protein A9	46.56292314	32.78565717	0.115574692	0.522283039	0.521017384	0.38629170499999993	39.674290155	-7.732074870899395	-1.3782044806526654
FAM129B	protein_coding	70.87705613	family with sequence similarity 129 member B	15.87398066	38.763009	0.147211031	0.380141676	0.179076335	0.2354763473333333	27.31849483	-7.724997874476201	-1.3722033630222041
GZMH	protein_coding	226.3596269	granzyme H	63.55272557	1.296033579	0.412069601	2.083830179	0.442293704	0.9793978280000001	32.4243795745	-7.712883370690198	-2.7996604284110607
CSF2RA	protein_coding	21.94352988	colony stimulating factor 2 receptor alpha subunit	4.498443713	6.015072713	0.007254852	0.009367068	0.0	0.0055406399999999995	5.256758213	-7.706412816989072	-2.0409231804267707
HBEGF	protein_coding	57.15340685	heparin binding EGF like growth factor	5.429903539	3.529261594	0.141404998	0.310376489	0.072852788	0.17487809166666665	4.4795825664999995	-7.702425807000344	-3.6440735366383588
FCGR2A	protein_coding	147.5863629	Fc fragment of IgG receptor IIa	28.61707108	27.10797802	0.521632501	1.010255064	0.318254811	0.6167141253333334	27.86252455	-7.68692311288599	-2.4009700932930906
TKTL1	protein_coding	22.79260153	transketolase like 1	0.989510636	0.252056603	0.011501655	0.029700617	0.0	0.013734090666666665	0.6207836195	-7.653072858184869	-4.989171385885793
PRF1	protein_coding	245.4965934	perforin 1	56.78150885	0.945190158	0.407909335	2.803244825	0.203378305	1.1381774883333333	28.863349504000002	-7.631928604839808	-3.0839901901220923
CRLF2	protein_coding	26.81757726	cytokine receptor like factor 2	1.112830363	0.778128249	0.0	0.122902656	0.0	0.040967552	0.945479306	-7.577041634158503	-4.686312153850009
SIGLEC7	protein_coding	21.08219672	sialic acid binding Ig like lectin 7	3.849307003	8.031074887	0.038019725	0.0	0.0	0.012673241666666666	5.940190945	-7.554563466824774	-1.810186150707132
IDO1	protein_coding	21.76033193	indoleamine 2,3-dioxygenase 1	21.46796638	9.922783473	0.051802121	0.0	0.0	0.017267373666666665	15.695374926500001	-7.5423698169499875	-0.46881312525316954
GZMM	protein_coding	41.26320613	granzyme M	11.7476849	0.647105998	0.141735594	0.045750313	0.182557784	0.123347897	6.197395449	-7.5329115348508	-2.715520845375577
SAMD3	protein_coding	33.56138976	sterile alpha motif domain containing 3	11.64313742	0.309886384	0.089085149	0.0	0.163918774	0.08433464099999999	5.976511902	-7.512623717231411	-2.4697794250322644
RGS18	protein_coding	23.5012956	regulator of G protein signaling 18	0.358798166	0.26495647	0.031089323	0.0	0.060065341	0.030384888	0.31187731799999996	-7.49994558212887	-5.840507569228713
THBD	protein_coding	21.82407035	thrombomodulin	12.64136171	1.661258479	0.008269667	0.0	0.063908808	0.024059491666666665	7.1513100945	-7.465339740307499	-1.59620209356651
LGR6	protein_coding	18.95031008	leucine rich repeat containing G protein-coupled receptor 6	4.565065948	0.368032648	0.0	0.01182721	0.011798549	0.007875253	2.466549298	-7.464306727324803	-2.891912603456395
SIGLEC9	protein_coding	23.45508973	sialic acid binding Ig like lectin 9	5.143513804	9.264529014	0.082532917	0.021312398	0.0	0.034615105	7.204021409000001	-7.451054715429977	-1.689275928611794
KIR2DL3	protein_coding	18.93124197	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3	8.263485951	0.228919829	0.0	0.026974339	0.0	0.008991446333333333	4.24620289	-7.4480109875659535	-2.130542285013009
S100A8	protein_coding	34.54203659	S100 calcium binding protein A8	11.22726905	8.219672306	0.0	0.0	0.295776299	0.09859209966666667	9.723470678	-7.446571706603569	-1.8182190173597892
TREM1	protein_coding	37.46417529	triggering receptor expressed on myeloid cells 1	1.555935071	1.805553784	0.042897094	0.276931918	0.031572666	0.11713389266666667	1.6807444275	-7.43462868308243	-4.398805047915452
ZEB2	protein_coding	51.21645023	zinc finger E-box binding homeobox 2	14.09997373	15.36944476	0.148751847	0.240075318	0.202648381	0.19715851533333337	14.734709245000001	-7.432044843291467	-1.7904447259392633
LRP1	protein_coding	73.99532594	LDL receptor related protein 1	6.25958967	15.18401699	0.147645602	0.713425566	0.195932698	0.35233462199999993	10.72180333	-7.355848302446907	-2.7754416098699735
PLAUR	protein_coding	141.6618036	plasminogen activator, urokinase receptor	145.3761494	74.71035573	0.331609135	1.883884604	0.085423607	0.7669724486666666	110.043252565	-7.353267001756638	-0.3640877467005659
PTGER2	protein_coding	30.41289804	prostaglandin E receptor 2	12.28630534	8.85562819	0.040334635	0.173592922	0.051951676	0.08862641100000002	10.570966765	-7.337743707104401	-1.5157283231204937
CXCL1	protein_coding	28.693303	C-X-C motif chemokine ligand 1	31.31432062	11.37480607	0.055945132	0.180583241	0.0	0.07884279100000001	21.344563345	-7.330897520039155	-0.4251213559037419
ZMYND15	protein_coding	18.11612887	zinc finger MYND-type containing 15	1.700553806	2.487445851	0.027241257	0.0	0.017543594	0.014928283666666667	2.0939998285	-7.308338706124067	-3.053581084887508
MARCO	protein_coding	33.40052635	macrophage receptor with collagenous structure	0.648183062	0.951275205	0.272561023	0.04692212	0.023404206	0.114295783	0.7997291335	-7.288436492354261	-5.2185492141218495
RNASE1	protein_coding	17.23540795	ribonuclease A family member 1, pancreatic	41.94332063	92.99211174	0.034374535	0.0	0.0	0.011458178333333333	67.467716185	-7.281075497922867	1.9626123047553996
1-Mar	protein_coding	22.02146072	membrane associated ring-CH-type finger 1	0.436700398	3.293941669	0.0	0.115161065	0.019146999	0.04476935466666667	1.8653210335000001	-7.255546602741829	-3.492609752636832
1-Mar	protein_coding	22.02146072	membrane associated ring-CH-type finger 1	0.436700398	12.42707641	0.0	0.115161065	0.019146999	0.04476935466666667	6.4318884039999995	-7.255546602741829	-1.7598746044087483
1-Mar	protein_coding	22.02146072	membrane associated ring-CH-type finger 1	5.63825689	3.293941669	0.0	0.115161065	0.019146999	0.04476935466666667	4.4660992795	-7.255546602741829	-2.276412519320399
1-Mar	protein_coding	22.02146072	membrane associated ring-CH-type finger 1	5.63825689	12.42707641	0.0	0.115161065	0.019146999	0.04476935466666667	9.03266665	-7.255546602741829	-1.2763385726959036
GCSAML	protein_coding	15.62470299	germinal center associated signaling and motility like	0.813921522	0.302606469	0.0	0.0	0.009701088	0.003233696	0.5582639954999999	-7.250975006765117	-4.578222667282984
FCRL1	protein_coding	15.99804026	Fc receptor like 1	19.21233076	21.74233846	0.021096677	0.0	0.0	0.007032225666666667	20.47733461	-7.232696024182941	0.35417105298520646
CD3D	protein_coding	17.6103146	CD3d molecule	15.62660432	0.87654772	0.0	0.0	0.057957785	0.019319261666666667	8.25157602	-7.213619074046926	-1.0844694615103418
LGALS2	protein_coding	14.68366155	galectin 2	1.126340833	8.380431203	0.0	0.0	0.0	0.0	4.7533860180000005	-7.207859823656635	-1.6069401181815421
LRRC25	protein_coding	61.50023772	leucine rich repeat containing 25	10.5254181	9.308326706	0.319141018	0.429972981	0.214465511	0.32119317	9.916872403	-7.19231006613051	-2.6205037963977924
ADAMTSL4	protein_coding	35.47591451	ADAMTS like 4	2.625886644	3.294968742	0.128156472	0.175202081	0.135938065	0.146432206	2.9604276929999997	-7.173566219889174	-3.53909565504909
OSCAR	protein_coding	28.20899544	osteoclast associated, immunoglobulin-like receptor	1.644853928	2.518746914	0.080812648	0.104340874	0.104088024	0.09641384866666668	2.081800421	-7.171220090927623	-3.697669512268835
CLEC4E	protein_coding	15.99697385	C-type lectin domain family 4 member E	2.058766584	2.294997306	0.0	0.0	0.039802334	0.013267444666666668	2.176881945	-7.150912422931631	-2.821658098799631
SATB1	protein_coding	18.09500564	SATB homeobox 1	7.961664268	10.5363191	0.039176711	0.015174848	0.035322175	0.029891244666666667	9.248991684	-7.130094499105543	-0.9606598187408655
B3GAT1	protein_coding	18.27395305	beta-1,3-glucuronyltransferase 1	6.927670274	0.099933273	0.036480633	0.0	0.058734571	0.03173840133333333	3.5138017735	-7.123842289126209	-2.3460727694774897
TGFBR2	protein_coding	52.30044747	transforming growth factor beta receptor 2	34.14989685	46.49797758	0.191383729	0.256256219	0.383452845	0.27703093100000004	40.323937215	-7.1187524366975605	-0.37436928728154495
CD3E	protein_coding	79.33080801	CD3e molecule	32.87876516	1.475698213	0.639098253	0.284540944	0.510932542	0.4781905796666666	17.1772316865	-7.102009765474333	-2.2008266047498415
OSBPL5	protein_coding	18.85421561	oxysterol binding protein like 5	4.454977225	0.981718788	0.025734473	0.077529538	0.011048809	0.03810427333333333	2.7183480065000003	-7.100616982568825	-2.7495970839590607
GIMAP4	protein_coding	60.25462865	GTPase, IMAP family member 4	13.29881293	1.053613705	0.254528996	0.569632144	0.196702528	0.34028788933333337	7.1762133175	-7.098873444863116	-3.0522046724232434
FN1	protein_coding	105.3976278	fibronectin 1	0.283970415	0.433351625	0.570984985	0.607970942	0.830949522	0.669968483	0.35866102	-7.098195450382711	-7.845566540776273
ADGRG3	protein_coding	13.8853516	adhesion G protein-coupled receptor G3	3.72101918	0.09122498	0.012488127	0.0	0.0	0.004162709	1.9061220799999998	-7.068933839416292	-2.801435217375123
AOAH	protein_coding	62.250779	acyloxyacyl hydrolase	16.8962785	0.873183964	0.273840152	0.370403983	0.453485101	0.3659097453333333	8.884731232	-7.064213267426101	-2.794860332038755
CD96	protein_coding	30.50877585	CD96 molecule	16.06722463	8.488351914	0.050983637	0.279765964	0.057459295	0.12940296533333331	12.277788271999999	-7.059917497272766	-1.3061917984132076
FPR2	protein_coding	14.10892832	formyl peptide receptor 2	0.42829115	0.119280459	0.0	0.0	0.021031694	0.007010564666666667	0.2737858045	-7.052900701688966	-5.248442156089638
CXCL5	protein_coding	47.43467943	C-X-C motif chemokine ligand 5	106.7904046	30.46265358	0.053606589	0.726745932	0.0	0.260117507	68.62652909	-7.044368883429802	0.5318866694234137
KLRF1	protein_coding	75.39603794	killer cell lectin like receptor F1	14.87192397	0.784446692	0.939625965	0.242638739	0.242050749	0.4747718176666667	7.828185330999999	-7.037267798028607	-3.2513383404678464
SYTL2	protein_coding	24.51865513	synaptotagmin like 2	4.202099033	0.152885473	0.059482594	0.136534532	0.076614563	0.09087722966666667	2.1774922529999996	-7.01096313261532	-3.4342339005553733
TMEM71	protein_coding	16.34789291	transmembrane protein 71	6.525547285	1.68909086	0.03117653	0.0	0.060233827	0.030470119	4.1073190725	-6.978039535759319	-1.9669296387504733
COL23A1	protein_coding	16.73905339	collagen type XXIII alpha 1 chain	0.593897062	1.179551208	0.032657491	0.014055189	0.056084517	0.03426573233333333	0.8867241349999999	-6.970576085953879	-4.093020431884306
DEFA3	protein_coding	12.4112033	defensin alpha 3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.967076741185567	-6.967076741185567
CDA	protein_coding	13.69266546	cytidine deaminase	1.822021935	3.213780039	0.034732603	0.0	0.0	0.011577534333333334	2.517900987	-6.949710901416775	-2.3974188489724124
MS4A14	protein_coding	40.45080794	membrane spanning 4-domains A14	8.664930514	13.70212993	0.26129649	0.192783856	0.24039585	0.23149206533333333	11.183530222	-6.934612510875787	-1.8455121520030775
