analysis_set	seed	candidate	n	n_bootstrap	meaningful_improvement_margin	observed_delta_auc	delta_q05	delta_median	one_sided_upper_q95	bootstrap_probability_delta_ge_margin	nonsuperiority_pass
bounded_immune_remodeling	57093	family_maximum_of_7	19	200000	0.05	-0.07777777777777783	-0.20000000000000007	-0.022222222222222254	0.18888888888888888	0.265635	False
all_primary_plus_exact_uc	57091	delta_RECEPTOR	43	200000	0.05	-0.0942982456140351	-0.22587719298245612	-0.0964912280701754	0.04166666666666663	0.0407	True
all_primary_plus_exact_uc	57091	coupled_projection	43	200000	0.05	-0.08333333333333337	-0.21052631578947367	-0.08333333333333326	0.03947368421052633	0.03658	True
all_primary_plus_exact_uc	57091	coupled_v22_augmented	43	200000	0.05	-0.08552631578947367	-0.20175438596491224	-0.08552631578947367	0.0328947368421052	0.02982	True
all_primary_plus_exact_uc	57091	coupling_coordination	43	200000	0.05	-0.01754385964912275	-0.1578947368421053	-0.01754385964912286	0.125	0.218545	False
all_primary_plus_exact_uc	57091	apc_vector_norm	43	200000	0.05	-0.2390350877192982	-0.4276315789473684	-0.24122807017543857	-0.04385964912280704	0.00745	True
all_primary_plus_exact_uc	57091	hla_vs_ifn_angle	43	200000	0.05	-0.14035087719298245	-0.33771929824561403	-0.14254385964912275	0.05921052631578949	0.058725	False
all_primary_plus_exact_uc	57091	hla_ifn_product	43	200000	0.05	0.00877192982456143	-0.14692982456140347	0.008771929824561403	0.16447368421052633	0.33255	False
all_primary_plus_exact_uc	57091	family_maximum_of_7	43	200000	0.05	0.00877192982456143	-0.07675438596491224	0.03947368421052633	0.17763157894736836	0.45419	False
all_primary_plus_exact_uc	57092	delta_RECEPTOR	43	200000	0.05	-0.0942982456140351	-0.22587719298245612	-0.0942982456140351	0.04166666666666663	0.041005	True
all_primary_plus_exact_uc	57092	coupled_projection	43	200000	0.05	-0.08333333333333337	-0.21052631578947367	-0.08114035087719301	0.03947368421052633	0.03699	True
all_primary_plus_exact_uc	57092	coupled_v22_augmented	43	200000	0.05	-0.08552631578947367	-0.20175438596491224	-0.08552631578947367	0.0328947368421052	0.029995	True
all_primary_plus_exact_uc	57092	coupling_coordination	43	200000	0.05	-0.01754385964912275	-0.1600877192982456	-0.01754385964912286	0.1271929824561403	0.218035	False
all_primary_plus_exact_uc	57092	apc_vector_norm	43	200000	0.05	-0.2390350877192982	-0.4276315789473684	-0.24122807017543857	-0.046052631578947345	0.006985	True
all_primary_plus_exact_uc	57092	hla_vs_ifn_angle	43	200000	0.05	-0.14035087719298245	-0.33771929824561403	-0.14035087719298245	0.05921052631578949	0.05942	False
all_primary_plus_exact_uc	57092	hla_ifn_product	43	200000	0.05	0.00877192982456143	-0.14473684210526316	0.00877192982456143	0.16447368421052627	0.33266	False
all_primary_plus_exact_uc	57092	family_maximum_of_7	43	200000	0.05	0.00877192982456143	-0.07675438596491224	0.03947368421052633	0.17543859649122806	0.45362	False
all_primary_plus_exact_uc	57093	delta_RECEPTOR	43	200000	0.05	-0.0942982456140351	-0.22587719298245612	-0.0964912280701754	0.04166666666666663	0.04026	True
all_primary_plus_exact_uc	57093	coupled_projection	43	200000	0.05	-0.08333333333333337	-0.21052631578947362	-0.08114035087719307	0.03947368421052633	0.036235	True
all_primary_plus_exact_uc	57093	coupled_v22_augmented	43	200000	0.05	-0.08552631578947367	-0.2017543859649123	-0.08552631578947367	0.030701754385965008	0.02956	True
all_primary_plus_exact_uc	57093	coupling_coordination	43	200000	0.05	-0.01754385964912275	-0.1578947368421053	-0.01754385964912286	0.125	0.21724	False
all_primary_plus_exact_uc	57093	apc_vector_norm	43	200000	0.05	-0.2390350877192982	-0.4276315789473684	-0.24122807017543857	-0.046052631578947345	0.007305	True
all_primary_plus_exact_uc	57093	hla_vs_ifn_angle	43	200000	0.05	-0.14035087719298245	-0.33771929824561403	-0.14035087719298245	0.05921052631578938	0.058135	False
all_primary_plus_exact_uc	57093	hla_ifn_product	43	200000	0.05	0.00877192982456143	-0.14473684210526316	0.00877192982456143	0.16447368421052633	0.33424	False
all_primary_plus_exact_uc	57093	family_maximum_of_7	43	200000	0.05	0.00877192982456143	-0.07675438596491224	0.03947368421052633	0.17543859649122812	0.45432	False
