gene	target_id	approved_name	wave55_score	closed_axis	n_diseases_genetic_ge_0_25	diseases_genetic_ge_0_25	n_diseases_genetic_ge_0_5	diseases_genetic_ge_0_5	n_diseases_overall_ge_0_3	ms_genetic_association	ms_overall_score	max_overall_score	max_clinical_score	max_literature_score	local_positive_disease_count	local_negative_disease_count	local_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	strict_residual_disease_count	in_lipid_lysosomal_myeloid_neighborhood	best_direct_selectivity_score	best_direct_target_suppression	direct_evidence_calls	foundation_recommendation
IL12A	ENSG00000168811	interleukin 12A	21.5	False	5	Celiac;MS;PBC;SLE;Sjogren	4	Celiac;MS;PBC;SLE	10	0.7515116724599907	0.4809817956157057	0.604209818930536	0.9864871266463598	0.43584038629622346	1	0	type 1 diabetes mellitus	-0.9142671409053884	0.4432527767673943	0.9214560346888634	0	False				
CARMIL1	ENSG00000079691	capping protein regulator and myosin 1 linker 1	21.0	False	6	Celiac;Psoriasis;RA;SLE;T1D;UC	3	Celiac;RA;T1D	3	0.0	0.0	0.3871048665105125	0.0	0.0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0	1.0	1.0	0	False				
DENND1B	ENSG00000213047	DENN domain containing 1B	21.0	False	6	AS;Crohn;PBC;Psoriasis;RA;UC	6	AS;Crohn;PBC;Psoriasis;RA;UC	6	0.0	0.0	0.5111628625406704	0.0	0.06991204172533642	1	1	psoriasis	-0.0366817446865681	0.9374309900610388	0.99290759090381	0	False				
GALC	ENSG00000054983	galactosylceramidase	21.0	False	5	AS;Crohn;MS;SLE;UC	3	Crohn;MS;UC	3	0.5501215829794394	0.3362066820385774	0.4349154534470921	0.0	0.05825759515643139	3	0	psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.1897668310526405	0.4547265367950667	0.9234563450681982	0	False				
HHEX	ENSG00000152804	hematopoietically expressed homeobox	21.0	False	6	AS;Crohn;MS;Psoriasis;T1D;UC	3	MS;Psoriasis;T1D	3	0.681010607837959	0.41437690185959	0.41437690185959	0.0	0.21338877605165915	1	0	type 1 diabetes mellitus	0.0042664676508863	0.9916450827045664	0.9992380443970746	0	False				
IFIH1	ENSG00000115267	interferon induced with helicase C domain 1	21.0	False	8	AITD;AS;Crohn;Psoriasis;RA;SLE;T1D;UC	6	AITD;Psoriasis;RA;SLE;T1D;UC	6	0.0	0.0	0.6116322742899961	0.0	0.902000684562585	1	0	ulcerative colitis	0.0762356111761359	0.838617040488483	0.9761732664217524	0	False				
PARK7	ENSG00000116288	Parkinsonism associated deglycase	21.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.47187240903293143	0.0	0.6109704515996791	3	0	Sjogren syndrome;psoriasis;ulcerative colitis	0.1710418567143854	0.4469378955677691	0.9220434300923256	0	False				
PRKCB	ENSG00000166501	protein kinase C beta	21.0	False	7	AS;Crohn;PBC;Psoriasis;RA;SLE;UC	5	AS;Crohn;Psoriasis;RA;UC	6	0.0	0.0	0.48871362289411596	0.42555155832813474	0.39886428441490485	1	1	Sjogren syndrome	0.2060386471848883	0.4904213807858716	0.9271619615463814	0	False				
RGS1	ENSG00000090104	regulator of G protein signaling 1	21.0	False	5	Celiac;MS;Psoriasis;SLE;T1D	4	Celiac;MS;SLE;T1D	5	0.7617823162144582	0.46551959994269	0.4969143411701046	0.0	0.3112487475005298	1	2	type 1 diabetes mellitus	-0.0425294777030735	0.8978310658595267	0.9847461495953936	0	False				
RUNX3	ENSG00000020633	RUNX family transcription factor 3	21.0	False	6	AITD;AS;Crohn;Psoriasis;RA;UC	6	AITD;AS;Crohn;Psoriasis;RA;UC	6	0.0	0.0	0.5273712473191249	0.0	0.6639929918878944	1	0	Crohn disease	0.5788760327332341	0.1142154937199303	0.8989378106274888	0	False				
SKAP2	ENSG00000005020	src kinase associated phosphoprotein 2	21.0	False	7	AITD;AS;Crohn;Psoriasis;RA;T1D;UC	6	AS;Crohn;Psoriasis;RA;T1D;UC	6	0.0	0.0	0.41498443981177063	0.0	0.40718876582868613	1	0	Crohn disease	-0.0913662658111622	0.6379850360845152	0.9516720539073452	0	False				
SMAD3	ENSG00000166949	SMAD family member 3	21.0	False	9	AITD;AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.4765109909130305	0.0	0.5418034426066807	1	0	type 1 diabetes mellitus	0.1727800690299723	0.3984778468953826	0.9157809859344704	0	False				
TNRC18	ENSG00000182095	trinucleotide repeat containing 18	21.0	False	7	AITD;AS;Crohn;Psoriasis;RA;T1D;UC	7	AITD;AS;Crohn;Psoriasis;RA;T1D;UC	7	0.0	0.0	0.5030499293020004	0.0	0.09270944663577223	1	0	Crohn disease	-0.1615953838999999	0.2659382247571401	0.9049965616313804	0	False				
CD226	ENSG00000150637	CD226 molecule	20.0	False	6	AITD;Crohn;PBC;RA;SLE;T1D	6	AITD;Crohn;PBC;RA;SLE;T1D	6	0.0	0.0	0.5380774374741722	0.0	0.8509358068936137	0	1		-0.3352692888469644	0.3764303817680995	0.9141270983319502	0	False				
DAP	ENSG00000112977	death associated protein	20.0	False	5	AS;Crohn;Psoriasis;RA;UC	3	Crohn;RA;UC	3	0.0	0.0	0.417608511551947	0.0	0.1322249484805276	3	0	Crohn disease;psoriasis;ulcerative colitis	0.3933456450044126	0.0080691967127082	0.8344760564031432	0	False				do_not_promote
ERAP1	ENSG00000164307	endoplasmic reticulum aminopeptidase 1	20.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.5539807527610315	0.0	0.6266314062729791	2	0	Crohn disease;ulcerative colitis	-0.4495294754619259	0.0342136449797786	0.8506970233122761	0	False				
ETS1	ENSG00000134954	ETS proto-oncogene 1, transcription factor	20.0	False	5	Celiac;PBC;Psoriasis;RA;SLE	4	Celiac;Psoriasis;RA;SLE	5	0.0	0.0	0.5033586423308065	0.0	0.8256964630655488	2	1	Crohn disease;ulcerative colitis	0.0153749961763871	0.9662802005584104	0.9967096674502096	0	False	-0.0322420704707813	0.0	null_or_wrong_direction	
GATA3	ENSG00000107485	GATA binding protein 3	20.0	False	6	AITD;Crohn;MS;Psoriasis;RA;T1D	3	MS;RA;T1D	4	0.6790135416440723	0.41748851936406683	0.5351869404892992	0.0	0.4757334921965453	0	1		-0.6132936980304162	0.6068498814068135	0.9473423366873376	0	False				
HDAC7	ENSG00000061273	histone deacetylase 7	20.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.32051171547805657	0.04559480982087158	0.18237923928348632	2	1	Crohn disease;psoriasis	-0.3727799124769984	0.1076347161400334	0.8989378106274888	0	False				
IKZF1	ENSG00000185811	IKAROS family zinc finger 1	20.0	False	7	AS;Crohn;Psoriasis;RA;SLE;T1D;UC	4	Crohn;RA;SLE;UC	4	0.0	0.0	0.46504834116046967	0.0	0.7915647496059419	0	1		-0.0258804352952601	0.876413603145739	0.9822879240565924	0	False				
IL12RB2	ENSG00000081985	interleukin 12 receptor subunit beta 2	20.0	False	6	Crohn;PBC;Psoriasis;RA;SLE;UC	6	Crohn;PBC;Psoriasis;RA;SLE;UC	6	0.0	0.0	0.4946893643403972	0.0	0.3647779647558382	0	0		0.139245532409824	0.895779015745345	0.984377618503351	0	False				
IL18R1	ENSG00000115604	interleukin 18 receptor 1	20.0	False	6	AS;Celiac;Crohn;Psoriasis;RA;UC	6	AS;Celiac;Crohn;Psoriasis;RA;UC	6	0.0	0.0	0.4154425109845478	0.0	0.4266351157466937	0	0		-1.6031582751287292	0.1617058219734904	0.8989378106274888	0	False				
ITPR3	ENSG00000096433	inositol 1,4,5-trisphosphate receptor type 3	20.0	False	5	AITD;Crohn;Psoriasis;RA;T1D	4	AITD;Crohn;RA;T1D	4	0.0	0.0	0.487796302125058	0.0	0.1866429143055995	2	0	type 1 diabetes mellitus;ulcerative colitis	-0.4706643486151032	0.4260857806918434	0.9195199515584406	0	False				
LPP	ENSG00000145012	LIM domain containing preferred translocation partner in lipoma	20.0	False	6	AITD;Celiac;Crohn;Psoriasis;SLE;UC	4	AITD;Celiac;Crohn;UC	4	0.0	0.0	0.4794417652656467	0.0	0.28690927849501624	0	0		-0.0388863008370332	0.8380392419956787	0.9761732664217524	0	False				
MLN	ENSG00000096395	motilin	20.0	False	7	AITD;Celiac;Crohn;Psoriasis;RA;T1D;UC	4	AITD;Celiac;RA;T1D	4	0.0	0.0	0.47638376412985955	0.0	0.36193433157819754	0	0		0.0	1.0	1.0	0	False				
NFKB1	ENSG00000109320	nuclear factor kappa B subunit 1	20.0	False	7	AITD;AS;Crohn;PBC;Psoriasis;RA;UC	7	AITD;AS;Crohn;PBC;Psoriasis;RA;UC	7	0.0	0.0	0.4751051541412225	0.0	0.8922302358596594	0	0		-0.1807165347874555	0.6530965209801629	0.9541025386945516	0	False	-0.0207445484518429	0.0185665131714457	null_or_wrong_direction	
NKX2-3	ENSG00000119919	NK2 homeobox 3	20.0	False	9	AITD;AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	9	AITD;AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	10	0.0	0.3336482470041637	0.5316655767729715	0.0	0.4469676601446834	0	2		0.0	1.0	1.0	0	False				
RASGRP1	ENSG00000172575	RAS guanyl releasing protein 1	20.0	False	8	AITD;AS;Crohn;Psoriasis;RA;SLE;T1D;UC	8	AITD;AS;Crohn;Psoriasis;RA;SLE;T1D;UC	8	0.0	0.0	0.5479349883045191	0.0	0.6307298912187168	0	0		0.5212959991010622	0.6478618581959924	0.9532107136523256	0	False				
SOCS1	ENSG00000185338	suppressor of cytokine signaling 1	20.0	False	5	Crohn;PBC;Psoriasis;SLE;UC	4	Crohn;PBC;Psoriasis;UC	5	0.0	0.0	0.522360215868497	0.0	0.7672553164286849	2	0	psoriasis;type 1 diabetes mellitus	-0.2314987582193453	0.6621199257200553	0.9565159769539632	0	False	-0.0660591651929318	0.0	null_or_wrong_direction	
STAT3	ENSG00000168610	signal transducer and activator of transcription 3	20.0	False	5	AS;Crohn;MS;Psoriasis;UC	3	Crohn;MS;UC	3	0.6380651275555957	0.46743904646905915	0.5147155014951923	0.0	0.8430116569041388	2	0	Crohn disease;ulcerative colitis	-0.0052452399033047	0.9827297093959808	0.9982687727683835	0	False	-0.006237879831838	0.0	null_or_wrong_direction	
UBASH3A	ENSG00000160185	ubiquitin associated and SH3 domain containing A	20.0	False	8	AITD;AS;Celiac;Crohn;Psoriasis;RA;T1D;UC	8	AITD;AS;Celiac;Crohn;Psoriasis;RA;T1D;UC	8	0.0	0.0	0.562137546096471	0.0	0.8099013034382011	0	1		0.2675423987063128	0.7745582533677123	0.9733233960040236	0	False				
ZFP36L1	ENSG00000185650	ZFP36 like 1 zinc finger CCCH-type	20.0	False	5	Crohn;MS;RA;T1D;UC	4	Crohn;MS;RA;T1D	4	0.6968469784779934	0.4240043192940593	0.46765373354946826	0.0	0.01823792392834863	0	2		-0.0670408425299662	0.8367440032626986	0.9761732664217524	0	False	-0.0347031256553365	0.0	null_or_wrong_direction	
ZNF831	ENSG00000124203	zinc finger protein 831	20.0	False	6	AS;Crohn;Psoriasis;RA;SLE;UC	5	AS;Crohn;RA;SLE;UC	6	0.0	0.0	0.41882291566745516	0.0	0.012158615952232422	0	0		0.7878398607817784	0.3895835781957573	0.9157809859344704	0	False				
FCGR2A	ENSG00000143226	Fc gamma receptor IIa	19.0	False	5	AS;Crohn;RA;SLE;UC	5	AS;Crohn;RA;SLE;UC	5	0.0	0.0	0.5526669305497712	0.0	0.8158800925401983	1	1	Sjogren syndrome	-0.1533819091799007	0.582735290071486	0.9460303616141402	0	False				
GPR35	ENSG00000178623	G protein-coupled receptor 35	19.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.5536072116000945	0.0	0.33678714713489344	1	2	Crohn disease	-1.0077079518797731	0.2121011030942834	0.8993702893651148	0	False				
MST1	ENSG00000173531	macrophage stimulating 1	19.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.5106266850352835	0.0	0.7940502537047843	1	1	type 1 diabetes mellitus	-0.116850467850778	0.758469251968987	0.9709375242067292	0	False				
NDFIP1	ENSG00000131507	Nedd4 family interacting protein 1	19.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.4793271648424862	0.0	0.0	1	0	Crohn disease	0.189177318214277	0.1211299867768394	0.8989378106274888	0	False				
RAD51B	ENSG00000182185	RAD51 paralog B	19.0	False	5	AITD;PBC;Psoriasis;RA;SLE	5	AITD;PBC;Psoriasis;RA;SLE	5	0.0	0.0	0.42709968757909966	0.0	0.35547064693679503	1	0	type 1 diabetes mellitus	0.5328164940259636	0.0994867490177902	0.8989378106274888	0	False				
RNF186	ENSG00000178828	ring finger protein 186	19.0	False	5	AS;Crohn;Psoriasis;RA;UC	4	AS;Crohn;RA;UC	5	0.0	0.0	0.5368527135774246	0.0	0.3363647856151812	1	0	Crohn disease	0.0	1.0	1.0	0	False				
SLC9A8	ENSG00000197818	solute carrier family 9 member A8	19.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.3483205343345984	0.0	0.11809889752976613	1	1	psoriasis	0.075046054434436	0.7531780159666399	0.970415871093437	0	False				
TCF7	ENSG00000081059	transcription factor 7	19.0	False	4	AITD;MS;RA;SLE	4	AITD;MS;RA;SLE	4	0.5270494672877762	0.3293565153445299	0.4799095819518753	0.0	0.387214285501541	1	1	type 1 diabetes mellitus	-0.9928803627695596	0.3670052559778786	0.9141270983319502	0	False				
TLR4	ENSG00000136869	toll like receptor 4	19.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.39950908720238765	0.0	0.9288348004434586	1	0	ulcerative colitis	0.3021497538455104	0.2499409602958784	0.9004758652001262	0	False				
ZC3H12C	ENSG00000149289	zinc finger CCCH-type containing 12C	19.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.534241638037342	0.0	0.31939153940561393	1	0	Crohn disease	-0.0756538866200404	0.8844634588935839	0.9842134382901514	0	False				
B3GNT2	ENSG00000170340	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	18.0	False	5	AITD;AS;Crohn;Psoriasis;RA	4	AITD;AS;Psoriasis;RA	4	0.0	0.0	0.43907777194350955	0.0	0.11584109233907698	0	0		0.4106196557256041	0.1252096892166642	0.8989378106274888	0	False				
CCL21	ENSG00000137077	C-C motif chemokine ligand 21	18.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.5347851319125727	0.0	0.5654458699306552	0	0		0.0	1.0	1.0	0	False				
FCRL3	ENSG00000160856	Fc receptor like 3	18.0	False	4	AITD;MS;RA;SLE	4	AITD;MS;RA;SLE	4	0.5517145730297216	0.3484663639654227	0.6218361059371833	0.0	0.8112280516662363	0	0		0.0	1.0	1.0	0	False				
FOS	ENSG00000170345	Fos proto-oncogene, AP-1 transcription factor subunit	18.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.43779084759329084	0.0	0.7358257671048686	0	3		-0.1403858882257296	0.7006579212252295	0.9646161727383372	0	False	-0.0015802912537948	0.0	null_or_wrong_direction	
FOSL2	ENSG00000075426	FOS like 2, AP-1 transcription factor subunit	18.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.4709221808334816	0.0	0.06518369107724604	0	0		-0.2766053332147606	0.6283138521872739	0.9498963365050492	0	False				
IFNLR1	ENSG00000185436	interferon lambda receptor 1	18.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.525632699668505	0.0	0.398183162961985	0	1		0.3761689763770839	0.2589872372949059	0.9049965616313804	0	False				
IL19	ENSG00000142224	interleukin 19	18.0	False	5	Crohn;RA;SLE;T1D;UC	4	Crohn;RA;SLE;UC	4	0.0	0.0	0.4378177756891684	0.0	0.3286524732503445	0	0		1.3161475499477095	0.2372328288931978	0.9004758652001262	0	False				
IL21	ENSG00000138684	interleukin 21	18.0	False	5	Celiac;Crohn;PBC;Psoriasis;T1D	4	Celiac;Crohn;PBC;Psoriasis	4	0.0	0.0	0.48338027678674095	0.12158615952232422	0.8535786800403764	0	0		0.0	1.0	1.0	0	False				
IRGM	ENSG00000237693	immunity related GTPase M	18.0	False	5	AS;Crohn;Psoriasis;RA;UC	4	AS;Crohn;RA;UC	4	0.0	0.0	0.4762478356958728	0.0	0.24014485637721317	0	0		0.1158961659024804	0.8822549537436063	0.9840278968329756	0	False				
NR5A2	ENSG00000116833	nuclear receptor subfamily 5 group A member 2	18.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.49254022676469555	0.0	0.49178812784013515	0	0		-0.8656866793369205	0.4648857105318244	0.9239963547089984	0	False				
NXPE1	ENSG00000095110	neurexophilin and PC-esterase domain family member 1	18.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.47181913294214556	0.0	0.04559480982087158	0	0		0.0	1.0	1.0	0	False				
SLC26A3	ENSG00000091138	solute carrier family 26 member 3	18.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.512332661304462	0.0	0.30389082881056645	0	2		0.0	1.0	1.0	0	False				
ACTA2	ENSG00000107796	actin alpha 2, smooth muscle	17.0	False	5	AS;Crohn;Psoriasis;RA;UC	3	AS;Crohn;RA	5	0.0	0.0	0.313693445144188	0.0	0.13560234180059214	1	0	type 1 diabetes mellitus	-0.3282410629184511	0.6882844886928197	0.9632853705790064	0	False				
CD58	ENSG00000116815	CD58 molecule	17.0	False	3	MS;PBC;SLE	3	MS;PBC;SLE	3	0.874149999395682	0.5460429643456642	0.5460429643456642	0.0	0.4809842843391981	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.1797564428759965	0.3110884246237163	0.9095100064215184	0	False				
MACIR	ENSG00000181751	macrophage immunometabolism regulator	17.0	False	4	AITD;Crohn;RA;SLE	4	AITD;Crohn;RA;SLE	4	0.0	0.0	0.5096300673330755	0.0	0.15466828041813294	1	0	type 1 diabetes mellitus	0.0	1.0	1.0	0	False				
SYNGR1	ENSG00000100321	synaptogyrin 1	17.0	False	5	Crohn;PBC;RA;SLE;UC	3	Crohn;PBC;RA	3	0.0	0.0	0.48288603584609047	0.0	0.2801767289559358	1	0	type 1 diabetes mellitus	-0.2105182378681167	0.4622553906015838	0.9239963547089984	0	False				
TNFSF11	ENSG00000120659	TNF superfamily member 11	17.0	False	4	AITD;Crohn;PBC;RA	4	AITD;Crohn;PBC;RA	4	0.0	0.0	0.44159024786556544	0.16587222943167076	0.9681188757801141	1	0	ulcerative colitis	0.0	1.0	1.0	0	False				
TNIP1	ENSG00000145901	TNFAIP3 interacting protein 1	17.0	False	4	Crohn;Psoriasis;RA;SLE	4	Crohn;Psoriasis;RA;SLE	4	0.0	0.0	0.5519201961923064	0.0	0.7640765258745531	1	0	Crohn disease	0.0547964976750581	0.8118298025680057	0.9761732664217524	0	False				
