gene	europepmc_query	europepmc_hit_count	europepmc_top_hits	europepmc_status	europepmc_mode	europepmc_url
IL12B	IL12B autoimmune multiple sclerosis therapeutic target	504	41794919: Identifying genetic and cellular connections and distinctions among 15 autoimmune diseases using an in-silico approach. (2026) | 40564099: Integrative Analysis of Plasma Proteomics and Transcriptomics Reveals Potential Therapeutic Targets for Psoriasis. (2025) | 41363121: MyD88 Deficiency Protects Mice From Experimental Autoimmune Encephalomyelitis by Influencing Both Dendritic Cells and T Cells. (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=IL12B+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
ANKRD55	ANKRD55 autoimmune multiple sclerosis therapeutic target	48	41090353: ANKRD55 is a key regulator of T cell inflammation in multiple sclerosis. (2025) | PMC13067118: The EGR1/ZFP36 axis governs glycosphingolipid metabolic reprogramming in monocyte-derived macrophages in guillain-barré syndrome (2026) | 39421031: Autoimmune diseases share a common genetic architecture involving the JAK-STAT pathway. (2024)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ANKRD55+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
BANK1	BANK1 autoimmune multiple sclerosis therapeutic target	135	41507916: PLCG2 across human disease: genetic variants, signaling mechanisms, and clinical implications. (2026) | 41757875: Clinical, serological, and targeted genetic analysis of systemic lupus erythematosus in Kazakhstan. (2026) | 41816749: Involvement of SWAP-70 in proteolipid protein-induced experimental autoimmune encephalomyelitis. (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=BANK1+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
CCL20	CCL20 autoimmune multiple sclerosis therapeutic target	1550	41419693: Biosafety assessment of engineered CCL20 locked dimers in vivo. (2025) | 41947813: The emerging role of T cells in depression. (2026) | 41814664: Targeting tumor-infiltrating regulatory T cells based on immunometabolism. (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=CCL20+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
CDKAL1	CDKAL1 autoimmune multiple sclerosis therapeutic target	58	38956704: Identification of common genetic factors and immune-related pathways associating more than two autoimmune disorders: implications on risk, diagnosis, and treatment. (2024) | 35924080: Inflammatory bowel disease and immune-mediated inflammatory diseases: looking at the less frequent associations. (2022) | 40225935: Impact of Gene Modifiers on Cystic Fibrosis Phenotypic Profiles: A Systematic Review. (2024)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=CDKAL1+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
ELMO1	ELMO1 autoimmune multiple sclerosis therapeutic target	112	40968290: Genetic and epigenetic screens in primary human T cells link candidate causal autoimmune variants to T cell networks. (2025) | 40682610: CXCL12/CXCR4 modulates macrophage efferocytosis to induce glomerular crescent formation and fibrosis via ELMO1/DOCK180/RAC1 signaling in ANCA-associated glomerulonephritis. (2025) | 41571338: Macrophages Are Critical Inducers of Bleomycin-Induced Fibrosis in a Systemic Scleroderma Model. (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ELMO1+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
IRF4	IRF4 autoimmune multiple sclerosis therapeutic target	1160	41948457: Multi-Omics Analysis in Autoimmunity: Identification of MicroRNA Regulatory Networks and Cell-Type-Specific Dysregulations in Multiple Sclerosis and Type 1 Diabetes. (2026) | 41939912: Regulation of B cell development and lymphocyte function by transcriptional coactivator OCA-B. (2026) | PMC13189970: Regulatory T cell therapy in autoimmune and immune-mediated diseases: from basic research to clinical practice and future perspectives ()	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=IRF4+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
JAZF1	JAZF1 autoimmune multiple sclerosis therapeutic target	76	41283471: Systemic Sclerosis in Kazakh Patients: A Preliminary Case-Control Immunogenetic Profiling Study. (2025) | 41772312: Zinc finger proteins (ZFPs) in health and disease. (2026) | 41630952: eQTL analysis: A bridge from genome to mechanism. (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=JAZF1+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
TNFSF15	TNFSF15 autoimmune multiple sclerosis therapeutic target	140	41867469: The Therapeutic Potential of Targeting TL1A in a Spectrum of Inflammatory Disorders. (2026) | 42166713: TL1A as a therapeutic renaissance in inflammatory bowel disease: a systematic review from molecular mechanisms to clinical translation. (2026) | 41794919: Identifying genetic and cellular connections and distinctions among 15 autoimmune diseases using an in-silico approach. (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TNFSF15+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
IL12A	IL12A autoimmune multiple sclerosis therapeutic target	337	PPR1188851: Interferon regulatory factor 8 Drives Autoimmune Neuroinflammation in Experimental Autoimmune Encephalomyelitis (2026) | 41794919: Identifying genetic and cellular connections and distinctions among 15 autoimmune diseases using an in-silico approach. (2026) | 41949720: Regulatory B Cells at the Crossroads of Epigenetic Control and Immune Homeostasis. (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=IL12A+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
CARMIL1	CARMIL1 autoimmune multiple sclerosis therapeutic target	5	38757301: Genome‑wide association study and polygenic risk scores predict psoriasis and its shared phenotypes in Taiwan. (2024) | 39624492: The 330 risk loci known for systemic lupus erythematosus (SLE): a review. (2024) | 36835058: First Characterization of the Transcriptome of Lung Fibroblasts of SSc Patients and Healthy Donors of African Ancestry. (2023)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=CARMIL1+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
DENND1B	DENND1B autoimmune multiple sclerosis therapeutic target	28	40864326: The shared genetic etiology of autoimmune disorders and interstitial lung disease: insights from large-scale genome-wide cross-trait analysis. (2025) | PMC13084390: Narcolepsy as an immune-associated hypothalamic encephalopathy: orexin dysfunction and implications for precision sleep medicine () | 40351968: Systemic Sclerosis and Primary Biliary Cholangitis: A Comprehensive Review of Two Overlapping Rare Entities With Insights on Diagnostics and Management. (2025)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DENND1B+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
GALC	GALC autoimmune multiple sclerosis therapeutic target	317	41226806: The Elusive B Cell Antigen in Multiple Sclerosis: Time to Rethink CNS B Cell Functions. (2025) | 41476250: Regulatory B cell CCL3 competency promotes disease resolution and oligodendrogenesis in experimental autoimmune encephalomyelitis. (2025) | PMC12941276: Oligodendrocytes Are Active Participants in the Pathogenesis of Multiple Sclerosis and Its Animal Models (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=GALC+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
HHEX	HHEX autoimmune multiple sclerosis therapeutic target	63	39319132: Regulatory T lymphocytes as a treatment method for rheumatoid arthritis - Superiority of allogeneic to autologous cells. (2024) | 40933988: Tissue-specific roles of regulatory T cells: mechanisms of suppression and beyond along with emerging therapeutic insights in autoimmune indications. (2025) | 41794760: Dental pulp stem cells maintain epigenetic chromatin architecture remodeling primed by the etiological stimulus of biliary atresia. (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=HHEX+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
IFIH1	IFIH1 autoimmune multiple sclerosis therapeutic target	483	41929488: Deciphering the interferon gene signature spectrum: association with the clinical heterogeneity of Sjögren's disease. (2026) | 41744067: Adenosine-to-Inosine (A-to-I) RNA Editing by ADAR1 to Control RNA Sensing in Cardiovascular Disease. (2026) | 41909652: Insights into the pathogenesis of rheumatic and immune diseases from single-cell omics. (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=IFIH1+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
PARK7	PARK7 autoimmune multiple sclerosis therapeutic target	274	41781384: Decreased metallothionein-3 expression in the human spinal cord is a common feature of amyotrophic lateral sclerosis and multiple sclerosis. (2026) | 41062626: Chloroindazole based estrogen receptor β ligands with favorable pharmacokinetics promote functional remyelination and visual recovery. (2025) | 41097145: Precision Nutrition and Gut-Brain Axis Modulation in the Prevention of Neurodegenerative Diseases. (2025)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PARK7+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
PRKCB	PRKCB autoimmune multiple sclerosis therapeutic target	97	40839671: Integrative molecular network analysis of genetic risk factors to infer biomarkers and therapeutic targets for rheumatoid arthritis. (2025) | 40948637: Aberrant lncRNA and mRNA expression in patients with anti-&lt;i&gt;N&lt;/i&gt;-methyl-d-aspartate receptor encephalitis. (2025) | 40653594: Primary Progressive Multiple Sclerosis: New Therapeutic Approaches. (2025)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PRKCB+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
RGS1	RGS1 autoimmune multiple sclerosis therapeutic target	101	41481752: Analysis of common differential gene expression between rheumatoid arthritis and ulcerative colitis. (2026) | 41488061: Bullous pemphigoid induced by anti-IL-23 monoclonal antibody in a psoriatic patient: a case report. (2025) | 39837906: Bioinformatics approach reveals the critical role of inflammation-related genes in age-related hearing loss. (2025)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=RGS1+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
RUNX3	RUNX3 autoimmune multiple sclerosis therapeutic target	382	41669309: Promoter Methylation of &lt;i&gt;MMP9&lt;/i&gt; and &lt;i&gt;RUNX3&lt;/i&gt;: Diagnostic Potential and Clinical Associations in Rheumatoid Arthritis. (2025) | 41871309: Cytomegalovirus Drives the Development of Cytotoxic CD4&lt;sup&gt;+&lt;/sup&gt; T Cells in Patients With Multiple Sclerosis. (2026) | 42098817: Cross-reactive tissue-resident memory T lymphocytes-concepts, evidence, and open questions. (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=RUNX3+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
SKAP2	SKAP2 autoimmune multiple sclerosis therapeutic target	40	41438762: Multi-omics-driven biomarker discovery in autoimmune diseases: a comprehensive review. (2025) | 41501544: Protein-protein interactions shape trans-regulatory impact of genetic variation on protein expression and complex traits. (2026) | 41361473: 3D chromatin-based variant-to-gene maps across 57 human cell types reveal the cellular and genetic architecture of autoimmune disease susceptibility. (2025)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SKAP2+autoimmune+multiple+sclerosis+therapeutic+target&format=json&pageSize=3&resultType=lite
