contrast	feature	feature_type	n_case_samples	n_control_samples	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
Graves disease_vs_control	lysosomal_apc	module	3	2	0.8607792652637061	0.4946269226507578	0.36615234261294827	1.307913340630431	2.5378361132652234	0.12490051341325616	0.2688690684551587
Graves disease_vs_control	mif_cd74_receptor_state	module	3	2	1.1464630796549657	0.43003524305582314	0.7164278365991426	0.983938181217485	1.9044715228430757	0.1936957997339089	0.2841418443009949
Graves disease_vs_control	CD44	gene	3	2	0.3873656640468018	0.2291911635977048	0.15817450044909698	1.0746298020816965	2.0837800932936075	0.17043765180031478	0.2841418443009949
Graves disease_vs_control	CD74	gene	3	2	2.8019720861116757	1.3726215925334537	1.429350493578222	0.8510758596834239	1.6192853214474037	0.23238465037642697	0.2841418443009949
Graves disease_vs_control	CIITA	gene	3	2	0.08738378603099012	0.01791207109594665	0.06947171493504346	0.8302358064868669	1.5914492908915783	0.24270449200709976	0.2841418443009949
Graves disease_vs_control	CTSB	gene	3	2	3.1047859394620385	2.1405485139745934	0.9642374254874451	1.2202623718500256	2.3691095990733624	0.14016996688265917	0.2688690684551587
Graves disease_vs_control	CTSD	gene	3	2	1.1911025185507673	0.3781237938166425	0.8129787247341248	1.1724317897117793	2.1908472592468504	0.13523015195889693	0.2688690684551587
Graves disease_vs_control	CTSS	gene	3	2	0.2827829892294531	0.06671767951841139	0.2160653097110417	1.2276378039067661	2.3864112013172325	0.13946883298603677	0.2688690684551587
Graves disease_vs_control	CXCL10	gene	3	2	0.07817846083069993	0.0026464271424106118	0.07553203368828931	0.8599121247287087	1.6719037638765624	0.23640356234542917	0.2841418443009949
Graves disease_vs_control	CXCR4	gene	3	2	0.1634968793875223	0.05508014888924237	0.10841673049827993	1.817048563379501	2.898745429677083	0.07103041934227432	0.18941445157939818
Graves disease_vs_control	GBP1	gene	3	2	0.2444806704697333	0.178107324266496	0.06637334620323729	0.29478078805092234	0.4882617214447123	0.659679735581923	0.659679735581923
Graves disease_vs_control	HLA-DPA1	gene	3	2	0.9611347405740341	0.2661084574881868	0.6950262830858474	1.192132619472004	2.315114874965727	0.1456374120798776	0.2688690684551587
Graves disease_vs_control	HLA-DPB1	gene	3	2	1.0408731982910837	0.2632040088238	0.7776691894672837	0.8905767468971099	1.7316995422076114	0.22543769422902046	0.2841418443009949
Graves disease_vs_control	HLA-DRA	gene	3	2	1.3370855890320275	0.4278488252575611	0.9092367637744663	0.9471550126588848	1.840250951353963	0.206462623800826	0.2841418443009949
Graves disease_vs_control	HLA-DRB1	gene	3	2	1.3333134001416156	0.3961925048008132	0.9371208953408023	0.9543116511791122	1.8290825281414664	0.1986730356260306	0.2841418443009949
Graves disease_vs_control	IFI30	gene	3	2	0.4639106519685585	0.11527196614502552	0.34863868582353297	1.1167353306829277	2.1705250602633446	0.16179565893799994	0.2841418443009949
Graves disease_vs_control	IRF1	gene	3	2	0.20920864605784326	0.05088673206520314	0.15832191399264012	0.941158901309947	1.8189945307129922	0.2060415983397573	0.2841418443009949
Graves disease_vs_control	LAMP1	gene	3	2	0.6700982793586007	0.5470181176012063	0.12308016175739434	0.6699738680040505	1.2594452248394414	0.31637243081905453	0.35315992277475855
Graves disease_vs_control	LAMP2	gene	3	2	0.2849915351661056	0.2104534862042764	0.0745380489618292	0.6131849345034797	1.069553060642742	0.36374576774641393	0.39681356481426977
Graves disease_vs_control	LAMP3	gene	3	2	0.02778294311041825	0.004254901295148583	0.023528041815269664	0.9891571179321327	1.9171348491456335	0.19279006074340338	0.2841418443009949
Graves disease_vs_control	RFX5	gene	3	2	0.09841514250786626	0.06434883334617347	0.03406630916169279	0.6869492715020113	1.2447035215100835	0.30815300400153256	0.35217486171603724
Graves disease_vs_control	STAT1	gene	3	2	0.39174417020295804	0.11365214721842298	0.27809202298453506	0.8458922802614278	1.634200765851844	0.23917400483295453	0.2841418443009949
