analysis	disease_name	donor_id	disease	group	marker_compartment	module	n_cells	mean_score	high_fraction
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	t_cell_like	ifn_apc	5506	0.10051939776015266	0.34961859789320743
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	t_cell_like	lysosomal_apc	5506	-0.028332218259533835	0.2502724300762804
gse315138_celiac_marker	celiac disease	celiac2	celiac disease	case	t_cell_like	mif_cd74_receptor_state	5506	0.16308495315885693	0.3953868507083182
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	b_plasma_like	hla_ii_apc	2833	1.027876387863035	0.630074126367808
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	b_plasma_like	ifn_apc	2833	0.5397109857905346	0.6191316625485351
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	b_plasma_like	lysosomal_apc	2833	0.010889410248242677	0.22308506883162724
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	b_plasma_like	mif_cd74_receptor_state	2833	1.0409353422282202	0.6561948464525238
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	epithelial_like	hla_ii_apc	3889	0.6036456166711283	0.6256106968372332
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	epithelial_like	ifn_apc	3889	0.45585625919206346	0.586526099254307
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	epithelial_like	lysosomal_apc	3889	-0.018680593588286755	0.14656724093597326
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	epithelial_like	mif_cd74_receptor_state	3889	0.510974147607526	0.6158395474415017
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	myeloid_apc_like	hla_ii_apc	844	0.10264551865573077	0.33767772511848343
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	myeloid_apc_like	ifn_apc	844	0.06304149708450979	0.2914691943127962
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	myeloid_apc_like	lysosomal_apc	844	-0.020535390943666083	0.18127962085308058
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	myeloid_apc_like	mif_cd74_receptor_state	844	0.2104695773583154	0.3981042654028436
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	stromal_endothelial_like	hla_ii_apc	152	0.5860691213173882	0.5394736842105263
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	stromal_endothelial_like	ifn_apc	152	0.2200584521352701	0.48026315789473684
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	stromal_endothelial_like	lysosomal_apc	152	-9.505773778180713e-05	0.2631578947368421
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	stromal_endothelial_like	mif_cd74_receptor_state	152	0.4726504062791057	0.5
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	t_cell_like	hla_ii_apc	8211	0.14035060485035344	0.35172329801485813
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	t_cell_like	ifn_apc	8211	0.010790188561166193	0.22920472536840825
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	t_cell_like	lysosomal_apc	8211	-0.09823926367584443	0.15369626111314091
gse315138_celiac_marker	celiac disease	celiac304	celiac disease	case	t_cell_like	mif_cd74_receptor_state	8211	0.11814503293396879	0.3263914261356717
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	b_plasma_like	hla_ii_apc	7890	0.8122059930611785	0.5139416983523447
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	b_plasma_like	ifn_apc	7890	0.41884829030205334	0.5309252217997465
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	b_plasma_like	lysosomal_apc	7890	0.052495182893121925	0.25196451204055764
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	b_plasma_like	mif_cd74_receptor_state	7890	0.7854129157637093	0.5844106463878327
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	epithelial_like	hla_ii_apc	3338	0.5352519144800996	0.5952666267225883
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	epithelial_like	ifn_apc	3338	0.6517865121925608	0.6030557219892151
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	epithelial_like	lysosomal_apc	3338	0.10772719631525701	0.28070701018573996
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	epithelial_like	mif_cd74_receptor_state	3338	0.48039263487367284	0.6051527860994608
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	myeloid_apc_like	hla_ii_apc	1652	0.11925910735152552	0.3202179176755448
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	myeloid_apc_like	ifn_apc	1652	0.0861687564493335	0.2754237288135593
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	myeloid_apc_like	lysosomal_apc	1652	0.26335050578600677	0.43341404358353514
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	myeloid_apc_like	mif_cd74_receptor_state	1652	0.2728857031649463	0.3668280871670702
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	stromal_endothelial_like	hla_ii_apc	478	-0.040623456121563074	0.23430962343096234
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	stromal_endothelial_like	ifn_apc	478	0.003935879970099558	0.2719665271966527
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	stromal_endothelial_like	lysosomal_apc	478	-0.03073817290235511	0.19456066945606695
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	stromal_endothelial_like	mif_cd74_receptor_state	478	-0.005658525280458712	0.25732217573221755
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	t_cell_like	hla_ii_apc	7552	0.12379901114577865	0.3444120762711864
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	t_cell_like	ifn_apc	7552	0.025723765869829034	0.2364936440677966
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	t_cell_like	lysosomal_apc	7552	-0.02855136626633704	0.21927966101694915
gse315138_celiac_marker	celiac disease	celiac_a2	celiac disease	case	t_cell_like	mif_cd74_receptor_state	7552	0.14023870888143036	0.3542108050847458
