route	track	gene	expr_positive_disease_count	expr_negative_disease_count	expr_positive_diseases	ms_wm_delta_log2	ms_wm_p	ot_credible_disease_count_ge_0_5	ot_credible_disease_count_ge_0_8	ot_credible_max_score	ot_credible_diseases_ge_0_5	geneformer_support_contexts	geneformer_strong_support_contexts	real_perturbation_alignment_call	foundation_rescue_recommendation	chembl_target_id	chembl_pref_name	chembl_target_type	chembl_organism	chembl_activity_records_scanned	chembl_best_standard_value_nM	residual_retained_positive_disease_count	residual_non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	direct_perturbation_sources	direct_selectivity_score	direct_evidence_calls	local_chembl_target_id	local_chembl_activity_records	local_chembl_best_nM
S1P_receptor_trafficking_axis	metabolite_barrier	S1PR5	1.0	0.0	psoriasis	-2.016735674222939	0.0866606248082532									CHEMBL2274	Sphingosine 1-phosphate receptor 5	SINGLE PROTEIN	Homo sapiens	100	0.3										
VDR_retinoid_barrier_axis	metabolite_barrier	VDR	2.0	1.0	Crohn disease;ulcerative colitis	0.4839545599171346	0.21765266584024									CHEMBL1977	Vitamin D3 receptor	SINGLE PROTEIN	Homo sapiens	100	0.065										
VDR_retinoid_barrier_axis	metabolite_barrier	RXRA	0.0	2.0		0.3225900728107334	0.1378550861108835									CHEMBL2061	Retinoic acid receptor RXR-alpha	SINGLE PROTEIN	Homo sapiens	100	0.8										
VDR_retinoid_barrier_axis	metabolite_barrier	RXRB	0.0	1.0		-0.2056771775416539	0.3068789917420298									CHEMBL1870	Retinoic acid receptor RXR-beta	SINGLE PROTEIN	Homo sapiens	100	0.001										
VDR_retinoid_barrier_axis	metabolite_barrier	RARA	1.0	1.0	type 1 diabetes mellitus	0.0065111941798141	0.9898131154979394									CHEMBL2055	Retinoic acid receptor alpha	SINGLE PROTEIN	Homo sapiens	100	0.001										
VDR_retinoid_barrier_axis	metabolite_barrier	RARB	1.0	0.0	ulcerative colitis	-0.995835842981616	0.3956912011359629									CHEMBL2008	Retinoic acid receptor beta	SINGLE PROTEIN	Homo sapiens	100	0.001										
VDR_retinoid_barrier_axis	metabolite_barrier	RARG	2.0	0.0	Crohn disease;type 1 diabetes mellitus	-0.3463666011204802	0.402722295225937									CHEMBL2003	Retinoic acid receptor gamma	SINGLE PROTEIN	Homo sapiens	100	0.001										
eicosanoid_leukotriene_prostaglandin_axis	metabolite_barrier	ALOX5	0.0	0.0		-0.4872919102940258	0.3442255520732666									CHEMBL215	Polyunsaturated fatty acid 5-lipoxygenase	SINGLE PROTEIN	Homo sapiens	100	25.0										
eicosanoid_leukotriene_prostaglandin_axis	metabolite_barrier	LTB4R	0.0	0.0		-0.7124329942174041	0.012556210475751									CHEMBL3911	Leukotriene B4 receptor 1	SINGLE PROTEIN	Homo sapiens	100	0.04										
eicosanoid_leukotriene_prostaglandin_axis	metabolite_barrier	LTB4R2	0.0	1.0		-1.4195138003016972	0.2202313858894921									CHEMBL3191	Leukotriene B4 receptor 2	SINGLE PROTEIN	Homo sapiens	100	1.2										
eicosanoid_leukotriene_prostaglandin_axis	metabolite_barrier	CYSLTR1	0.0	2.0		-0.7688337156466645	0.3867871599405776									CHEMBL1798	Cysteinyl leukotriene receptor 1	SINGLE PROTEIN	Homo sapiens	100	0.19										
eicosanoid_leukotriene_prostaglandin_axis	metabolite_barrier	CYSLTR2	0.0	1.0		-0.7511465228104699	0.4708884319619031									CHEMBL4330	Cysteinyl leukotriene receptor 2	SINGLE PROTEIN	Homo sapiens	100	0.31										
eicosanoid_leukotriene_prostaglandin_axis	metabolite_barrier	PTGER2	1.0	1.0	type 1 diabetes mellitus	-1.0355282490505529	0.3191013577898975									CHEMBL1881	Prostaglandin E2 receptor EP2 subtype	SINGLE PROTEIN	Homo sapiens	100	0.74										
eicosanoid_leukotriene_prostaglandin_axis	metabolite_barrier	PTGER4	2.0	3.0	Crohn disease;type 1 diabetes mellitus	0.272141637998347	0.3034072589589571									CHEMBL1836	Prostaglandin E2 receptor EP4 subtype	SINGLE PROTEIN	Homo sapiens	100	0.8										
eicosanoid_leukotriene_prostaglandin_axis	metabolite_barrier	PTGS2	2.0	0.0	Crohn disease;Sjogren syndrome	-0.3302668666926305	0.2953446140272054									CHEMBL230	Prostaglandin G/H synthase 2	SINGLE PROTEIN	Homo sapiens	100	0.08	1.0	0.0	0.0		Mixscale_CRISPRi	-0.0456549629145633	null_or_wrong_direction			
PTPN2_TCPTP_restoration	genetics_restoration	PTPN2	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.0059418057306839	0.9843569990044077	8.0	4.0	0.900806963443756	AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	5.0	1.0	model_and_gse162463_screen_align_relative_to_ctsh	triage_only_gse162463_not_promotion_grade	CHEMBL3807	Tyrosine-protein phosphatase non-receptor type 2	SINGLE PROTEIN	Homo sapiens	100	3.0	3.0	2.0	0.0							
SH2B3_LNK_restoration	genetics_restoration	SH2B3	1.0	0.0	ulcerative colitis	-0.150958184932211	0.5634203150143879	10.0	9.0	0.9461422562599182	AITD;AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;T1D;UC	2.0	1.0	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model					0											
TNFAIP3_A20_restoration	genetics_restoration	TNFAIP3	3.0	1.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.328353196360478	0.3606610619177491	7.0	7.0	0.953155279159546	AS;Crohn;Psoriasis;RA;SLE;Sjogren;UC	2.0	1.0	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	CHEMBL4523200	Tumor necrosis factor alpha-induced protein 3	SINGLE PROTEIN	Homo sapiens	0											
CLEC16A_mitophagy_restoration	genetics_restoration	CLEC16A	1.0	0.0	Crohn disease	0.1097171053941039	0.5873801680223918	7.0	0.0	0.7454372644424438	Crohn;MS;PBC;Psoriasis;RA;SLE;T1D	0.0	0.0	no_rescue	do_not_promote					0											
ATG16L1_xenophagy_restoration	genetics_restoration	ATG16L1	0.0	0.0		-0.0960188702877271	0.748415654224524	8.0	8.0	0.8641783595085144	AITD;AS;Celiac;Crohn;Psoriasis;SLE;T1D;UC									0											
IL10_augmentation	genetics_restoration	IL10	0.0	0.0		0.5386340709389863	0.0920894843746553	7.0	7.0	0.9671173095703124	AS;Crohn;Psoriasis;RA;SLE;T1D;UC					CHEMBL3712920	Interleukin-10	SINGLE PROTEIN	Homo sapiens	0											
IL10_augmentation	genetics_restoration	IL10RA	1.0	1.0	Sjogren syndrome	-0.3174369158890311	0.0985691833215868	0.0	0.0	0.0						CHEMBL4804254	IL-10 receptor	PROTEIN COMPLEX	Homo sapiens	0											
IL10_augmentation	genetics_restoration	IL10RB	1.0	0.0	type 1 diabetes mellitus	-0.1026085231641591	0.5115088891402128									CHEMBL4804251	IL22 Receptor	PROTEIN COMPLEX	Homo sapiens	0											
IRF5_CARD9_myeloid_program	genetics_restoration	IRF5	0.0	0.0		-0.160335979633075	0.5711412387155418	9.0	9.0	0.9188385009765624	AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC	0.0	0.0	no_rescue	do_not_promote					0						Mixscale_CRISPRi	-0.0036262518537249	null_or_wrong_direction			
IRF5_CARD9_myeloid_program	genetics_restoration	CARD9	2.0	0.0	psoriasis;type 1 diabetes mellitus	-0.4691972101237329	0.13197995180624	4.0	4.0	0.8789491653442383	AS;Crohn;Psoriasis;UC									0											
baseline_module_response_biomarker	treatment_response_stratification	CD74	4.0	1.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0.2553907019006836	0.2187160729350419	0.0	0.0	0.0		2.0	1.0	model_and_gse162463_screen_align_relative_to_ctsh	triage_only_gse162463_not_promotion_grade	CHEMBL4692	HLA class II histocompatibility antigen gamma chain	SINGLE PROTEIN	Homo sapiens	25	410.0	4.0	2.0	0.0							
baseline_module_response_biomarker	treatment_response_stratification	IFI30	3.0	0.0	psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.21016237009791	0.379946954952182					1.0	1.0	model_with_readout_concordance_only	triage_only_no_direct_candidate_perturbation					0		1.0	0.0	0.0							
baseline_module_response_biomarker	treatment_response_stratification	CTSS	1.0	0.0	type 1 diabetes mellitus	0.189873422640673	0.1407159118865243	0.0	0.0	0.0620631612837314		3.0	1.0	model_with_readout_concordance_only	triage_only_no_direct_candidate_perturbation	CHEMBL2954	Cathepsin S	SINGLE PROTEIN	Homo sapiens	100	0.1	2.0	0.0	0.0					CHEMBL2954	1000.0	0.1
baseline_module_response_biomarker	treatment_response_stratification	LIPA	3.0	1.0	Crohn disease;psoriasis;type 1 diabetes mellitus	0.4580110941773352	0.2725305004844303					2.0	2.0	model_contradicted_by_gse162463_screen	do_not_promote	CHEMBL4184	Lysosomal acid lipase/cholesteryl ester hydrolase	SINGLE PROTEIN	Homo sapiens	12	68.0	2.0	2.0	0.0							
baseline_module_response_biomarker	treatment_response_stratification	APOE	0.0	1.0		0.3729255468001433	0.120208663256457					0.0	0.0	no_rescue	do_not_promote	CHEMBL4549	Apolipoprotein B-100	SINGLE PROTEIN	Homo sapiens	49	0.7										
baseline_module_response_biomarker	treatment_response_stratification	C1QA	1.0	1.0	Sjogren syndrome	-0.6196742601671481	0.0106910547297546													0											
baseline_module_response_biomarker	treatment_response_stratification	C1QB	1.0	0.0	Sjogren syndrome	-0.6194027951632819	0.0267818944347562													0											
baseline_module_response_biomarker	treatment_response_stratification	C1QC	0.0	2.0		-0.5091140011096105	0.1227617549928257													0											
baseline_module_response_biomarker	treatment_response_stratification	GPNMB	1.0	2.0	type 1 diabetes mellitus	1.4339584334150557	0.0049097425501504					0.0	0.0	no_rescue	do_not_promote	CHEMBL3712919	Transmembrane glycoprotein NMB	SINGLE PROTEIN	Homo sapiens	0		0.0	0.0	0.0							
baseline_module_response_biomarker	treatment_response_stratification	SPP1	2.0	0.0	type 1 diabetes mellitus;ulcerative colitis	0.0019111874426158	0.994792495277153									CHEMBL1741309	Osteopontin	SINGLE PROTEIN	Homo sapiens	0		0.0	0.0	0.0							
