gene	contrast	timepoint	case	control	log2fc	note
LAMP3	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	4.369793839364811	single CPM column per condition; descriptive only
NLRC5	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	1.264518379071161	single CPM column per condition; descriptive only
RFX5	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	-0.047627297253177936	single CPM column per condition; descriptive only
STAT1	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	0.4029758755231292	single CPM column per condition; descriptive only
TAP1	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	2.331801406906889	single CPM column per condition; descriptive only
TAP2	D0_IFNy_8H_vs_D0_unstim	unstim	D0_IFNy_8H	D0_unstim	1.5036174473986126	single CPM column per condition; descriptive only
B2M	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	1.2638124617835391	single CPM column per condition; descriptive only
CD74	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.8141669986063143	single CPM column per condition; descriptive only
CIITA	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	1.558428544767776	single CPM column per condition; descriptive only
CTSB	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	-0.4005734773176517	single CPM column per condition; descriptive only
CTSD	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	-0.12960157802555017	single CPM column per condition; descriptive only
CTSL	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	-0.01158638722329286	single CPM column per condition; descriptive only
CTSS	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.07454796654251972	single CPM column per condition; descriptive only
CXCL10	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	3.8088492290674836	single CPM column per condition; descriptive only
CXCL9	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	6.563564545265914	single CPM column per condition; descriptive only
GBP1	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	4.80107409135781	single CPM column per condition; descriptive only
GBP2	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	2.9583440924061755	single CPM column per condition; descriptive only
HLA-DMA	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.91036632853125	single CPM column per condition; descriptive only
HLA-DMB	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	1.1030462139284953	single CPM column per condition; descriptive only
HLA-DPA1	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.7331532158232932	single CPM column per condition; descriptive only
HLA-DPB1	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.7426891792082326	single CPM column per condition; descriptive only
HLA-DRA	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.6262573320958111	single CPM column per condition; descriptive only
HLA-DRB1	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.7685998447501685	single CPM column per condition; descriptive only
IFI30	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.510451596426007	single CPM column per condition; descriptive only
IFIT1	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	3.1348045562003852	single CPM column per condition; descriptive only
IFIT2	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	4.651364652277748	single CPM column per condition; descriptive only
IRF1	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	3.9956914298493222	single CPM column per condition; descriptive only
ISG15	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	2.84037017337574	single CPM column per condition; descriptive only
LAMP1	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	-0.7219937473841238	single CPM column per condition; descriptive only
LAMP2	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.06397603415428499	single CPM column per condition; descriptive only
LAMP3	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	1.0544278653152968	single CPM column per condition; descriptive only
NLRC5	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	1.6880454197324797	single CPM column per condition; descriptive only
RFX5	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.6491052554289469	single CPM column per condition; descriptive only
STAT1	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	3.3491840910985804	single CPM column per condition; descriptive only
TAP1	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	2.9891522573450597	single CPM column per condition; descriptive only
TAP2	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	2.1902009737888184	single CPM column per condition; descriptive only
B2M	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	1.2638124617835391	single CPM column per condition; descriptive only
CD74	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.8141669986063143	single CPM column per condition; descriptive only
CIITA	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	1.558428544767776	single CPM column per condition; descriptive only
CTSB	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	-0.4005734773176517	single CPM column per condition; descriptive only
CTSD	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	-0.12960157802555017	single CPM column per condition; descriptive only
CTSL	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	-0.01158638722329286	single CPM column per condition; descriptive only
CTSS	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.07454796654251972	single CPM column per condition; descriptive only
CXCL10	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	3.8088492290674836	single CPM column per condition; descriptive only
CXCL9	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	6.563564545265914	single CPM column per condition; descriptive only
GBP1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	4.80107409135781	single CPM column per condition; descriptive only
GBP2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	2.9583440924061755	single CPM column per condition; descriptive only
HLA-DMA	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.91036632853125	single CPM column per condition; descriptive only
HLA-DMB	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	1.1030462139284953	single CPM column per condition; descriptive only
HLA-DPA1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.7331532158232932	single CPM column per condition; descriptive only
HLA-DPB1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.7426891792082326	single CPM column per condition; descriptive only
HLA-DRA	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.6262573320958111	single CPM column per condition; descriptive only
HLA-DRB1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.7685998447501685	single CPM column per condition; descriptive only
IFI30	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.510451596426007	single CPM column per condition; descriptive only
IFIT1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	3.1348045562003852	single CPM column per condition; descriptive only
IFIT2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	4.651364652277748	single CPM column per condition; descriptive only
IRF1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	3.9956914298493222	single CPM column per condition; descriptive only
ISG15	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	2.84037017337574	single CPM column per condition; descriptive only
LAMP1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	-0.7219937473841238	single CPM column per condition; descriptive only
LAMP2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.06397603415428499	single CPM column per condition; descriptive only
LAMP3	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	1.0544278653152968	single CPM column per condition; descriptive only
NLRC5	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	1.6880454197324797	single CPM column per condition; descriptive only
RFX5	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	0.6491052554289469	single CPM column per condition; descriptive only
STAT1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	3.3491840910985804	single CPM column per condition; descriptive only
TAP1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	2.9891522573450597	single CPM column per condition; descriptive only
TAP2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	D4_IFNy_LPS0H	D4_PBS_LPS0H	2.1902009737888184	single CPM column per condition; descriptive only
B2M	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	1.154932610573585	single CPM column per condition; descriptive only
CD74	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	0.7540942221604361	single CPM column per condition; descriptive only
CIITA	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	1.5410498351587378	single CPM column per condition; descriptive only
CTSB	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	-0.4104795812110975	single CPM column per condition; descriptive only
CTSD	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	-0.07894508762880292	single CPM column per condition; descriptive only
CTSL	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	0.453141458424124	single CPM column per condition; descriptive only
CTSS	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	-0.02612020406350979	single CPM column per condition; descriptive only
CXCL10	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	5.115376852811902	single CPM column per condition; descriptive only
CXCL9	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	7.424291206426315	single CPM column per condition; descriptive only
GBP1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	4.869192937868436	single CPM column per condition; descriptive only
GBP2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	2.933565011109489	single CPM column per condition; descriptive only
HLA-DMA	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	0.8218152022578806	single CPM column per condition; descriptive only
HLA-DMB	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	1.1219359753486273	single CPM column per condition; descriptive only
HLA-DPA1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	0.6442262760257726	single CPM column per condition; descriptive only
HLA-DPB1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	0.5697793289714603	single CPM column per condition; descriptive only
HLA-DRA	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	0.5021018649153941	single CPM column per condition; descriptive only
HLA-DRB1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	0.6832521203147071	single CPM column per condition; descriptive only
IFI30	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	0.6660441679172333	single CPM column per condition; descriptive only
IFIT1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	3.4810409338070816	single CPM column per condition; descriptive only
IFIT2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	2.5057093637930485	single CPM column per condition; descriptive only
IRF1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	2.5815932551965757	single CPM column per condition; descriptive only
ISG15	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	3.288874278544503	single CPM column per condition; descriptive only
LAMP1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	-0.6528559553051814	single CPM column per condition; descriptive only
LAMP2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	0.007874562237454086	single CPM column per condition; descriptive only
LAMP3	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	1.567878130270807	single CPM column per condition; descriptive only
NLRC5	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	1.7106280208186018	single CPM column per condition; descriptive only
RFX5	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	0.6553172215159009	single CPM column per condition; descriptive only
STAT1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	3.293589929268787	single CPM column per condition; descriptive only
TAP1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	3.3079615721386597	single CPM column per condition; descriptive only
TAP2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	D4_IFNy_LPS1H	D4_PBS_LPS1H	2.1151435128722404	single CPM column per condition; descriptive only
B2M	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	1.2825114800065087	single CPM column per condition; descriptive only
CD74	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.7644246435565147	single CPM column per condition; descriptive only
CIITA	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	1.4305120523130483	single CPM column per condition; descriptive only
CTSB	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	-0.21136150383537888	single CPM column per condition; descriptive only
CTSD	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	-0.042853589205897435	single CPM column per condition; descriptive only
CTSL	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.08001299728011269	single CPM column per condition; descriptive only
CTSS	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.25849204855758856	single CPM column per condition; descriptive only
CXCL10	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.42730149836216924	single CPM column per condition; descriptive only
CXCL9	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	1.5386080502701365	single CPM column per condition; descriptive only
GBP1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.639015928228174	single CPM column per condition; descriptive only
GBP2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.7917157122418903	single CPM column per condition; descriptive only
HLA-DMA	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	1.1189411480832074	single CPM column per condition; descriptive only
HLA-DMB	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	1.2580149778378962	single CPM column per condition; descriptive only
HLA-DPA1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.9019143138834931	single CPM column per condition; descriptive only
HLA-DPB1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.7272277701026955	single CPM column per condition; descriptive only
HLA-DRA	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.7500942996103834	single CPM column per condition; descriptive only
HLA-DRB1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.8048373075344166	single CPM column per condition; descriptive only
IFI30	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.1879375684755269	single CPM column per condition; descriptive only
IFIT1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.08382042110707033	single CPM column per condition; descriptive only
IFIT2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.6582810444703711	single CPM column per condition; descriptive only
IRF1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.7224794281092368	single CPM column per condition; descriptive only
ISG15	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.6930787271710255	single CPM column per condition; descriptive only
LAMP1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	-0.7508479914420736	single CPM column per condition; descriptive only
LAMP2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.005039850637889032	single CPM column per condition; descriptive only
LAMP3	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.3986817615303586	single CPM column per condition; descriptive only
NLRC5	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.19577173793475477	single CPM column per condition; descriptive only
RFX5	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.5676930571541297	single CPM column per condition; descriptive only
STAT1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	1.4502499129096105	single CPM column per condition; descriptive only
TAP1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	1.0626363970636934	single CPM column per condition; descriptive only
TAP2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	D4_IFNy_LPS3H	D4_PBS_LPS3H	0.9103727015522356	single CPM column per condition; descriptive only
B2M	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	1.167537728321566	single CPM column per condition; descriptive only
CD74	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.8009372284727174	single CPM column per condition; descriptive only
CIITA	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.23102699592301956	single CPM column per condition; descriptive only
CTSB	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	-0.3122768131581175	single CPM column per condition; descriptive only
CTSD	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	-0.01846135733112142	single CPM column per condition; descriptive only
CTSL	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	-0.15417251425638945	single CPM column per condition; descriptive only
CTSS	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.12020608321719273	single CPM column per condition; descriptive only
CXCL10	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	-1.4272164028835626	single CPM column per condition; descriptive only
CXCL9	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	1.600938895851753	single CPM column per condition; descriptive only
GBP1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.39301812131725455	single CPM column per condition; descriptive only
GBP2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.37084356612349545	single CPM column per condition; descriptive only
HLA-DMA	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	1.0566786947069025	single CPM column per condition; descriptive only
HLA-DMB	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	1.2962231891322205	single CPM column per condition; descriptive only
