seed	analysis_window	n_requested	event_probability_before_censoring	effect_pattern	early_hazard_ratio_per_latent_sd	late_hazard_ratio_per_latent_sd	censoring_mechanism	dropout_target	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_score_z	median_one_step_log_hr	median_usable_n	median_observed_events	median_assigned_dropout	median_observed_pre_event_dropout
54901	early_window_diagnostic	120	0.15	late_only	1.0	2.2	independent	0.25	500	72	0.144	6	0.012	0.005510995174027703	0.025930361116447292	0.006	0.006	0.07062153229588723	0.024055131476865853	108.0	7.0	0.25225225225225223	0.22972314687017942
54901	late_landmark_diagnostic	120	0.15	late_only	1.0	2.2	independent	0.25	500	112	0.224	44	0.088	0.06620598447492893	0.11607647206539012	0.088	0.0	1.6426031134065897	0.561410624166786	89.0	7.0	0.14971264367816092	0.1404807084123972
54901	whole_followup	120	0.15	late_only	1.0	2.2	score_dependent	0.25	500	414	0.828	50	0.1	0.07667756273730172	0.1294219096319401	0.096	0.004	0.7642338738521014	0.2344041828541184	108.0	12.0	0.25	0.22325762829403606
54901	early_window_diagnostic	120	0.15	late_only	1.0	2.2	score_dependent	0.25	500	64	0.128	4	0.008	0.00311531518006224	0.020387035834105168	0.002	0.006	-0.24005806826513726	-0.08000177320897406	108.0	6.0	0.25	0.22325762829403606
54901	late_landmark_diagnostic	120	0.15	late_only	1.0	2.2	score_dependent	0.25	500	44	0.088	12	0.024	0.013781314655496986	0.041477057463900756	0.024	0.0	1.3063880916617978	0.4865599397663255	90.0	6.0	0.14772727272727273	0.1411764705882353
54901	whole_followup	120	0.15	late_only	1.0	2.2	event_risk_dependent	0.25	500	22	0.044	3	0.006	0.0020425962719602363	0.01749025210405338	0.006	0.0	1.1588122426942082	0.3743708185722976	108.0	5.0	0.25	0.25
54901	early_window_diagnostic	120	0.15	late_only	1.0	2.2	event_risk_dependent	0.25	500	0	0.0	0	0.0	4.336808689942018e-19	0.007624340461552241	0.0	0.0			108.0	1.0	0.25	0.25
54901	late_landmark_diagnostic	120	0.15	late_only	1.0	2.2	event_risk_dependent	0.25	500	4	0.008	1	0.002	0.00035313639455927456	0.011240706705146758	0.002	0.0	1.2839267308052498	0.398471343588814	89.0	4.0	0.10204081632653061	0.10204081632653061
54901	whole_followup	120	0.15	late_only	1.0	2.2	joint_score_event_risk	0.25	500	82	0.164	11	0.022	0.012328008269927582	0.03896086121131637	0.0	0.022	-0.7396838239187595	-0.2569257681733219	108.0	7.0	0.25	0.25
54901	early_window_diagnostic	120	0.15	late_only	1.0	2.2	joint_score_event_risk	0.25	500	2	0.004	0	0.0	4.336808689942018e-19	0.007624340461552241	0.0	0.0	-1.4452536740572515	-0.5420857612531998	108.0	4.0	0.25	0.25
54901	late_landmark_diagnostic	120	0.15	late_only	1.0	2.2	joint_score_event_risk	0.25	500	2	0.004	0	0.0	4.336808689942018e-19	0.007624340461552241	0.0	0.0	0.12649852204430878	0.04787097492610294	87.0	3.0	0.1125	0.1125
54901	whole_followup	120	0.15	crossing	2.0	0.5	administrative_only	0.0	500	491	0.982	42	0.084	0.06274413680383038	0.1115993144601811	0.062	0.022	0.2861441269314456	0.0859917850996153	108.0	16.0	0.0	0.0
54901	early_window_diagnostic	120	0.15	crossing	2.0	0.5	administrative_only	0.0	500	206	0.412	88	0.176	0.1451264013297259	0.21181417128935995	0.174	0.002	1.6662333851563509	0.5612144673090722	108.0	9.0	0.0	0.0
54901	late_landmark_diagnostic	120	0.15	crossing	2.0	0.5	administrative_only	0.0	500	93	0.186	23	0.046	0.030845108370816204	0.06807779276827323	0.0	0.046	-1.2329251670730095	-0.4086247875058327	99.0	7.0	0.0	0.0
54901	whole_followup	120	0.15	crossing	2.0	0.5	independent	0.25	500	461	0.922	34	0.068	0.04906650742490687	0.0935209227338743	0.056	0.012	0.48139576835729975	0.14594727705065907	108.0	14.0	0.24545454545454545	0.22595264520902703
54901	early_window_diagnostic	120	0.15	crossing	2.0	0.5	independent	0.25	500	188	0.376	70	0.14	0.11232266018786358	0.17316686494445405	0.14	0.0	1.7008119247750186	0.566505084353843	108.0	8.5	0.24545454545454545	0.22595264520902703
54901	late_landmark_diagnostic	120	0.15	crossing	2.0	0.5	independent	0.25	500	29	0.058	7	0.014	0.00679778979084349	0.02861306913778529	0.0	0.014	-1.1768895045122358	-0.4025379965082076	87.0	6.0	0.14606741573033707	0.14124040920716113
54901	whole_followup	120	0.15	crossing	2.0	0.5	score_dependent	0.25	500	461	0.922	36	0.072	0.0524580314181262	0.09806840401696253	0.052	0.02	0.3669532811317507	0.1018526635369071	108.0	14.0	0.25	0.2169811320754717
54901	early_window_diagnostic	120	0.15	crossing	2.0	0.5	score_dependent	0.25	500	134	0.268	52	0.104	0.08019420676989107	0.1338442708756583	0.104	0.0	1.7401167368233765	0.5629021812770223	108.0	8.0	0.25	0.2169811320754717
54901	late_landmark_diagnostic	120	0.15	crossing	2.0	0.5	score_dependent	0.25	500	64	0.128	17	0.034	0.02133451980853219	0.053771365501634506	0.0	0.034	-1.2719351940884884	-0.4198972180952363	88.0	6.0	0.1348314606741573	0.13095238095238096
54901	whole_followup	120	0.15	crossing	2.0	0.5	event_risk_dependent	0.25	500	10	0.02	1	0.002	0.00035313639455927456	0.011240706705146758	0.002	0.0	-0.500910761577288	-0.18316368472839348	108.0	4.0	0.25	0.25
