dataset	therapy_class	therapy	disease	tissue_or_compartment	design	analysis_scope	module	n_responder	n_nonresponder	mean_responder	mean_nonresponder	delta_responder_minus_nonresponder	hedges_g	welch_t	p	auc_responder_high	confounders	generic_adjusted_delta	generic_adjusted_p	generic_adjusted_hedges_g	generic_adjustment_covariates	module_generic_max_abs_r	fdr	min_group_n	effect_claim_allowed	kill_reason	global_baseline_fdr	global_generic_adjusted_fdr	direction	independent_nominal_same_module_direction_count	independent_nominal_same_module_direction_datasets	strict_claim_allowed	strict_kill_reason
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	hif_nampt_metabolic	17	23	0.0128589741742269	-0.0913405468881363	0.1041995210623633	0.1550858865689245	0.4831852103174393	0.6323197628489764	0.5294117647058824	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.0339901757948305	0.763682435182151	0.0940606716663396	inflammatory_nfkb,ifn_apc	0.8190890897052489	0.8129825522343982	17	False	not_corrected_significant	0.9567680810732627	0.9998367398099568	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	inflammatory_nfkb	17	23	-0.0121641219362007	-0.0360016848758045	0.0238375629396037	0.0284263652112711	0.0885844382268496	0.9299747568626974	0.4987212276214833	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.0576342483500587	0.8312958330879102	0.0691271739335518	ifn_apc	0.1021553645359366	0.9448813683950952	17	False	not_corrected_significant	0.9845637352824658	0.9998367398099568	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	ifn_apc	19	18	0.2116142838300608	-0.374047366972802	0.5856616508028629	0.9132196701158988	2.8335813423172813	0.0076281896179902	0.7514619883040935	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.430444205627581	0.0243500526659389	0.7555632274753079	inflammatory_nfkb	0.5073774865152948	0.0686537065619125	18	True	not_killed_by_current_filters	0.7737944846856722	0.9717298280037758	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	hla_ii_apc	19	18	0.0751860691157006	-0.4204447570647887	0.4956308261804893	0.5649068526662431	1.7423639159369408	0.0911298870694611	0.6812865497076024	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.1446901907007869	0.3165354644538463	-0.3302697571832791	inflammatory_nfkb,ifn_apc	0.8459143675085069	0.1595154402330606	18	False	not_corrected_significant	0.9473413372095744	0.9717298280037758	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	lysosomal_apc	19	18	0.048351416258029	-0.1991378571037921	0.2474892733618212	0.4969673084750041	1.5352657930988207	0.1343333860042196	0.6403508771929824	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.0889146751845759	0.3223532141836191	-0.3256143270214207	inflammatory_nfkb,ifn_apc	0.7886318849796953	0.1727143534339966	18	False	not_corrected_significant	0.9473413372095744	0.9717298280037758	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	mif_cd74_receptor_state	19	18	0.0695555416803367	-0.3017422977900319	0.3712978394703687	0.5365913463229124	1.6597005743997095	0.1063436268220403	0.6578947368421053	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.0811411727300492	0.500120327613847	-0.2209655621372296	inflammatory_nfkb,ifn_apc	0.7573215367860235	0.1595154402330606	18	False	not_corrected_significant	0.9473413372095744	0.9956027053275534	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	mixscale_validated_ifng_readout	19	18	0.0978699414028236	-0.2427271300803238	0.3405970714831475	0.702582933399791	2.1825381434562603	0.0358983378939875	0.7280701754385964	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.0201262632962497	0.8362558311805222	0.0672871571845667	inflammatory_nfkb,ifn_apc	0.7475536513460151	0.1595154402330606	18	False	not_corrected_significant	0.9288694930069266	0.9998367398099568	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	lipid_loader_repair	19	18	0.0769171646406115	-0.1709325637138924	0.247849728354504	0.5380878164443204	1.6698122730328515	0.1039723861865524	0.6549707602339181	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.0223990482641712	0.8018764999776943	-0.0811438072297582	inflammatory_nfkb,ifn_apc	0.7363513853751122	0.1595154402330606	18	False	not_corrected_significant	0.9473413372095744	0.9998367398099568	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	complement_phagocytosis	19	18	0.0706885183580725	-0.2713661892280875	0.34205470758616	0.3821326332024196	1.1832139519714375	0.2449629657669867	0.6169590643274853	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.2641460258733662	0.0788634294132064	-0.582050552510595	inflammatory_nfkb,ifn_apc	0.801246797763335	0.2449629657669867	18	False	not_corrected_significant	0.9473413372095744	0.9717298280037758	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	hif_nampt_metabolic	19	18	0.1086650145265578	-0.1830125575600824	0.2916775720866402	0.5435425331060393	1.69227605020352	0.0994808680691806	0.6374269005847953	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.1164953157664543	0.2937541152627301	0.3444232961480471	inflammatory_nfkb,ifn_apc	0.7870291681479561	0.1595154402330606	18	False	not_corrected_significant	0.9473413372095744	0.9717298280037758	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	inflammatory_nfkb	19	18	0.0531563859706287	-0.2172786940191176	0.2704350799897463	0.4415171208019078	1.3635650158483543	0.1820622412696766	0.6461988304093567	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.007752261117641	0.9648863546430289	0.0143081179394172	ifn_apc	0.5073774865152948	0.2048200214283862	18	False	not_corrected_significant	0.9473413372095744	0.9998367398099568	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	ifn_apc	18	23	-0.0208347481158325	0.1342263773401799	-0.1550611254560125	-0.2232704026264584	-0.7493283011664578	0.4581615355601202	0.4468599033816424	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.1756618661229773	0.3810457410183367	-0.2660468127331316	inflammatory_nfkb	0.3018710343582449	0.9546990158962646	18	False	not_corrected_significant	0.9473413372095744	0.9956027053275534	lower_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	hla_ii_apc	18	23	0.1392141601200627	0.1579832796437667	-0.0187691195237039	-0.0204410450564504	-0.0687594510918443	0.945533531528008	0.4855072463768116	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.1028186419245635	0.4529723706731409	0.2204166455551225	inflammatory_nfkb,ifn_apc	0.8132489921171627	0.9546990158962646	18	False	not_corrected_significant	0.9845637352824658	0.9956027053275534	lower_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	lysosomal_apc	18	23	0.0210888379093064	0.0994002363738334	-0.0783113984645269	-0.1278209545865624	-0.4119468237728665	0.6828294794203037	0.4975845410628019	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.0001487449777032	0.9992287338016674	0.0003112682754134	inflammatory_nfkb,ifn_apc	0.6248074019105386	0.9546990158962646	18	False	not_corrected_significant	0.9567680810732627	0.9998367398099568	lower_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	mif_cd74_receptor_state	18	23	0.1074066637091032	0.0946298313708886	0.0127768323382146	0.0172703665151382	0.0571756233693065	0.9546990158962646	0.4903381642512077	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.0759633946125508	0.5367264252496406	0.1829649680055557	inflammatory_nfkb,ifn_apc	0.711543353122428	0.9546990158962646	18	False	not_corrected_significant	0.9845637352824658	0.9956027053275534	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	mixscale_validated_ifng_readout	18	23	-0.0093993122023989	0.1164672641058867	-0.1258665763082856	-0.2609428354962824	-0.8261133848758688	0.4146999325198434	0.4782608695652174	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.0743183647841312	0.4949182894480366	-0.2293693019325737	inflammatory_nfkb,ifn_apc	0.6899857935838989	0.9546990158962646	18	False	not_corrected_significant	0.9473413372095744	0.9956027053275534	lower_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	lipid_loader_repair	18	23	0.0522724349294142	0.0293241821717	0.0229482527577142	0.0561607519984831	0.189192213494416	0.8509279492575662	0.5483091787439613	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.0571174565071093	0.5206988312165481	0.1879583586354778	inflammatory_nfkb,ifn_apc	0.5999754389749253	0.9546990158962646	18	False	not_corrected_significant	0.9845637352824658	0.9956027053275534	higher_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;no_independent_same_module_direction_replication;
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	complement_phagocytosis	18	23	0.01894542602291	0.139151821256079	-0.120206395233169	-0.1401121531925247	-0.4864751763366183	0.6296585992997821	0.5024154589371981	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.0006763182553625	0.9964674343222442	0.0013642031618101	inflammatory_nfkb,ifn_apc	0.791602699078152	0.9546990158962646	18	False	not_corrected_significant	0.9567680810732627	0.9998367398099568	lower_in_responders_or_post	0		False	global_baseline_fdr>0.10;global_generic_adjusted_fdr>0.10;generic_module_collinearity>0.70;no_independent_same_module_direction_replication;
