gene	source	query	hit_count	url	notes
CD24	EuropePMC	"(""CD24"" OR ""CD24Fc"") autoimmune"	5154	https://europepmc.org/search?query=%28%22CD24%22+OR+%22CD24Fc%22%29+autoimmune	"[{""doi"": ""10.32604/or.2025.059327"", ""id"": ""40486886"", ""journal"": ""Oncol Res"", ""source"": ""MED"", ""title"": ""Decoding CD24: Roles of chemoradiotherapy resistance and potential as therapeutic targets."", ""year"": ""2025""}, {""doi"": ""10.3389/fimmu.2023.1334922"", ""id"": ""38313430"", ""journal"": ""Front Immunol"", ""source"": ""MED"", ""title"": ""Surprising magic of CD24 beyond cancer."", ""year"": ""2023""}, {""doi"": ""10.1186/s12967-026-08020-5"", ""id"": ""41857569"", ""journal"": ""J Transl Med"", ""source"": ""MED"", ""title"": ""Antibody-dependent cellular phagocytosis in cancer immunotherapy: research and perspectives."", ""year"": ""2026""}]"
CD24	ClinicalTrials.gov	CD24Fc autoimmune	1	https://clinicaltrials.gov/search?term=CD24Fc+autoimmune	"[{""conditions"": ""Advanced Malignant Solid Neoplasm"", ""interventions"": ""CD24 Extracellular Domain-IgG1 Fc Domain Recombinant Fusion Protein CD24Fc;Placebo Administration"", ""nct_id"": ""NCT04552704"", ""phase"": ""PHASE1;PHASE2"", ""status"": ""TERMINATED"", ""title"": ""CD24Fc for the Treatment of Immune Related Adverse Events in Patients With Advanced Solid Tumors, TIRAEC Study""}]"
CD24	ChEMBL	CD24		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD24	"{""best_target"": {}, ""n_search_hits"": 0}"
CD24	Google Patents	CD24Fc autoimmune disease Siglec-10	NA_browser	https://patents.google.com/?q=CD24Fc+autoimmune+disease+Siglec-10	query URL recorded; no unauthenticated count API used
CD24	OpenTargets	CD24	0	https://platform.opentargets.org/search?q=CD24	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
CD47	EuropePMC	"(""CD47"" OR SIRPA) autoimmune"	5542	https://europepmc.org/search?query=%28%22CD47%22+OR+SIRPA%29+autoimmune	"[{""doi"": ""10.1073/pnas.2426546122"", ""id"": ""40956886"", ""journal"": ""Proc Natl Acad Sci U S A"", ""source"": ""MED"", ""title"": ""Humanization of CD47 enables development of functional human neutrophils via postirradiation remodeling of the bone marrow."", ""year"": ""2025""}, {""doi"": ""10.26508/lsa.202403150"", ""id"": ""40759533"", ""journal"": ""Life Sci Alliance"", ""source"": ""MED"", ""title"": ""Integrative transcriptomic analysis reveals oligodendrocyte lineage switching in multiple sclerosis."", ""year"": ""2025""}, {""doi"": ""10.3389/fimmu.2025.1668361"", ""id"": ""41357240"", ""journal"": ""Front Immunol"", ""source"": ""MED"", ""title"": ""Enhancement of activation-induced T cell proliferation by SIRPG in a CD47-independent manner."", ""year"": ""2025""}]"
CD47	ClinicalTrials.gov	CD47 autoimmune	0	https://clinicaltrials.gov/search?term=CD47+autoimmune	[]
CD47	ChEMBL	CD47	25	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3714583	"{""best_target"": {""accessions"": ""Q08722"", ""gene_symbols"": ""CD47"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Leukocyte surface antigen CD47"", ""target_chembl_id"": ""CHEMBL3714583"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 1}"
CD47	Google Patents	CD47 SIRPA autoimmune disease	NA_browser	https://patents.google.com/?q=CD47+SIRPA+autoimmune+disease	query URL recorded; no unauthenticated count API used
CD47	OpenTargets	CD47	0	https://platform.opentargets.org/search?q=CD47	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
SIRPA	EuropePMC	"(""SIRPA"" OR ""SIRP alpha"") autoimmune"	872	https://europepmc.org/search?query=%28%22SIRPA%22+OR+%22SIRP+alpha%22%29+autoimmune	"[{""doi"": ""10.1159/000547047"", ""id"": ""40562021"", ""journal"": ""Med Princ Pract"", ""source"": ""MED"", ""title"": ""Red Blood Cells and Their Immunoregulatory Role."", ""year"": ""2025""}, {""doi"": ""10.1016/j.bbi.2025.106101"", ""id"": ""40930268"", ""journal"": ""Brain Behav Immun"", ""source"": ""MED"", ""title"": ""Decoding NMDAR encephalitis: proteomic markers and computational identification of potential therapeutic pathways."", ""year"": ""2025""}, {""doi"": ""10.1186/s13018-025-06171-7"", ""id"": ""40775344"", ""journal"": ""J Orthop Surg Res"", ""source"": ""MED"", ""title"": ""SIRPA, BTN3A1, and TDO2 in osteosarcoma: a prognostic triad with therapeutic implications from integrated genomic and pharmacogenomic data."", ""year"": ""2025""}]"
SIRPA	ClinicalTrials.gov	SIRPA autoimmune	0	https://clinicaltrials.gov/search?term=SIRPA+autoimmune	[]
SIRPA	ChEMBL	SIRPA		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SIRPA	"{""best_target"": {}, ""n_search_hits"": 0}"
SIRPA	Google Patents	SIRPA autoimmune disease antibody	NA_browser	https://patents.google.com/?q=SIRPA+autoimmune+disease+antibody	query URL recorded; no unauthenticated count API used
SIRPA	OpenTargets	SIRPA	0	https://platform.opentargets.org/search?q=SIRPA	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
LILRB1	EuropePMC	"(""LILRB1"" OR ILT2) autoimmune"	1026	https://europepmc.org/search?query=%28%22LILRB1%22+OR+ILT2%29+autoimmune	"[{""doi"": ""10.3389/fonc.2026.1761266"", ""id"": ""41800033"", ""journal"": ""Front Oncol"", ""source"": ""MED"", ""title"": ""The non-classical immune checkpoint HLA-G: a regulatory master switch governing tolerance, evasion, and translational frontiers."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2026.1786277"", ""id"": ""41766907"", ""journal"": ""Front Immunol"", ""source"": ""MED"", ""title"": ""Editorial: HLA-G in health and disease: comprehensive insights and future therapeutic directions."", ""year"": ""2026""}, {""doi"": ""10.1002/mco2.70742"", ""id"": ""42027260"", ""journal"": ""MedComm (2020)"", ""source"": ""MED"", ""title"": ""Nonclassical MHC-I Molecules: Emerging Therapeutic Targets in Next-Generation Immunotherapy."", ""year"": ""2026""}]"
LILRB1	ClinicalTrials.gov	LILRB1 autoimmune	1	https://clinicaltrials.gov/search?term=LILRB1+autoimmune	"[{""conditions"": ""Relapsing-remitting Multiple Sclerosis;Secondary Progressive Multiple Sclerosis"", ""interventions"": """", ""nct_id"": ""NCT01044576"", ""phase"": """", ""status"": ""COMPLETED"", ""title"": ""Patient Research Cohort: Rapidly Evolving Multiple Sclerosis""}]"
LILRB1	ChEMBL	LILRB1		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LILRB1	"{""best_target"": {}, ""n_search_hits"": 0}"
LILRB1	Google Patents	LILRB1 ILT2 autoimmune antibody	NA_browser	https://patents.google.com/?q=LILRB1+ILT2+autoimmune+antibody	query URL recorded; no unauthenticated count API used
LILRB1	OpenTargets	LILRB1	0	https://platform.opentargets.org/search?q=LILRB1	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
LILRB2	EuropePMC	"(""LILRB2"" OR ILT4) autoimmune"	898	https://europepmc.org/search?query=%28%22LILRB2%22+OR+ILT4%29+autoimmune	"[{""doi"": ""10.3389/fonc.2026.1761266"", ""id"": ""41800033"", ""journal"": ""Front Oncol"", ""source"": ""MED"", ""title"": ""The non-classical immune checkpoint HLA-G: a regulatory master switch governing tolerance, evasion, and translational frontiers."", ""year"": ""2026""}, {""doi"": ""10.1002/mco2.70742"", ""id"": ""42027260"", ""journal"": ""MedComm (2020)"", ""source"": ""MED"", ""title"": ""Nonclassical MHC-I Molecules: Emerging Therapeutic Targets in Next-Generation Immunotherapy."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2026.1696874"", ""id"": ""42039175"", ""journal"": ""Front Immunol"", ""source"": ""MED"", ""title"": ""Human leukocyte antigen-G in solid tumors: from immunotolerance to immunotherapy."", ""year"": ""2026""}]"
LILRB2	ClinicalTrials.gov	LILRB2 autoimmune	0	https://clinicaltrials.gov/search?term=LILRB2+autoimmune	[]
LILRB2	ChEMBL	LILRB2		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LILRB2	"{""best_target"": {}, ""n_search_hits"": 0}"
LILRB2	Google Patents	LILRB2 ILT4 autoimmune antibody	NA_browser	https://patents.google.com/?q=LILRB2+ILT4+autoimmune+antibody	query URL recorded; no unauthenticated count API used
LILRB2	OpenTargets	LILRB2	0	https://platform.opentargets.org/search?q=LILRB2	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
CHI3L1	EuropePMC	"(""CHI3L1"" OR ""YKL-40"") autoimmune"	1833	https://europepmc.org/search?query=%28%22CHI3L1%22+OR+%22YKL-40%22%29+autoimmune	"[{""doi"": null, ""id"": ""PMC13192653"", ""journal"": ""bioRxiv"", ""source"": ""PMC"", ""title"": ""Stage-specific CHI3L1/YKL-40 signaling controls generation of oligodendrocyte precursor cells through IL13R\u03b12-mediated ferroptosis"", ""year"": ""2026""}, {""doi"": ""10.1002/npr2.70076"", ""id"": ""41277171"", ""journal"": ""Neuropsychopharmacol Rep"", ""source"": ""MED"", ""title"": ""Vitamin D3 Supplementation Modulates Inflammatory Protein CHI3L1/YKL-40 and Oxidative Stress Status in Multiple Sclerosis."", ""year"": ""2025""}, {""doi"": ""10.3389/fnagi.2025.1730319"", ""id"": ""41425914"", ""journal"": ""Front Aging Neurosci"", ""source"": ""MED"", ""title"": ""Peripheral &lt;i&gt;CHI3L1&lt;/i&gt; expression is associated with APOE \u03b54 status in early-onset Alzheimer's disease."", ""year"": ""2025""}]"
CHI3L1	ClinicalTrials.gov	CHI3L1 autoimmune	9	https://clinicaltrials.gov/search?term=CHI3L1+autoimmune	"[{""conditions"": ""Relapsing Remitting Multiple Sclerosis (RRMS)"", ""interventions"": ""Placebo;Indole-3-propionic acid (IPA)"", ""nct_id"": ""NCT07318129"", ""phase"": ""NA"", ""status"": ""RECRUITING"", ""title"": ""Indole-3-PROpionic Acid Clinical Trials - Multiple Sclerosis""}, {""conditions"": ""Multiple Sclerosis"", ""interventions"": ""Neurofilament Light Chain ,Chitinase-3 Like-1 Protein Levels and Tolerogenic plasmacytoid Dendritic Cells"", ""nct_id"": ""NCT05451069"", ""phase"": """", ""status"": ""UNKNOWN"", ""title"": ""Neurofilament Light Chain ,Chitinase-3 Like-1 Proteins and Plasmacytoid Dendritic Cells in Multiple Sclerosis""}, {""conditions"": ""Primary Progressive Multiple Sclerosis"", ""interventions"": ""Dimethyl fumarate;Placebo"", ""nct_id"": ""NCT02959658"", ""phase"": ""PHASE2"", ""status"": ""COMPLETED"", ""title"": ""Dimethyl Fumarate Treatment of Primary Progressive Multiple Sclerosis""}, {""conditions"": ""Multiple Sclerosis"", ""interventions"": ""Measurement of concentrations of orally-used DMDs;Genetic testing;Parameters for routine use of DMDs;Side effects of orally used DMDs"", ""nct_id"": ""NCT05112484"", ""phase"": """", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""Therapeutic Monitoring of Drugs Used in the Treatment of Multiple Sclerosis""}, {""conditions"": ""Radiologically Isolated Syndrome;Multiple Sclerosis"", ""interventions"": ""Observational"", ""nct_id"": ""NCT06395662"", ""phase"": """", ""status"": ""ACTIVE_NOT_RECRUITING"", ""title"": ""Stratification of Risks of Conversion of Radiologically Isolated Syndromes (RIS) by Identifying Biomarkers in Serum and Cerebrospinal Fluid.""}, {""conditions"": ""Arthritis, Rheumatoid"", ""interventions"": ""GSK3196165;Placebo;MTX;Folic (or folinic) acid"", ""nct_id"": ""NCT02799472"", ""phase"": ""PHASE2"", ""status"": ""COMPLETED"", ""title"": ""Mechanistic Study of GSK3196165 Plus Methotrexate (MTX) in Subjects With Active Rheumatoid Arthritis""}, {""conditions"": ""Multiple Sclerosis"", ""interventions"": """", ""nct_id"": ""NCT04300543"", ""phase"": """", ""status"": ""UNKNOWN"", ""title"": ""MicroRNA-150 and microRNA-155 in Multiple Sclerosis""}, {""conditions"": ""Multiple Sclerosis"", ""interventions"": ""Interferon-Beta"", ""nct_id"": ""NCT04289675"", ""phase"": """", ""status"": ""COMPLETED"", ""title"": ""Multiple Sclerosis: Chi3L1 and Treatment Efficacy""}, {""conditions"": ""Primary Progressive Multiple Sclerosis"", ""interventions"": ""Tolebrutinib;Placebo"", ""nct_id"": ""NCT04458051"", ""phase"": ""PHASE3"", ""status"": ""COMPLETED"", ""title"": ""Primary Progressive Multiple Sclerosis (PPMS) Study of Bruton's Tyrosine Kinase (BTK) Inhibitor Tolebrutinib (SAR442168) (PERSEUS)""}]"
CHI3L1	ChEMBL	CHI3L1	39	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5724768	"{""best_target"": {""accessions"": ""P36222"", ""gene_symbols"": ""CHI3L1"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Chitinase-3-like protein 1"", ""target_chembl_id"": ""CHEMBL5724768"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 2}"
CHI3L1	Google Patents	CHI3L1 YKL-40 antibody autoimmune disease	NA_browser	https://patents.google.com/?q=CHI3L1+YKL-40+antibody+autoimmune+disease	query URL recorded; no unauthenticated count API used
CHI3L1	OpenTargets	CHI3L1	0	https://platform.opentargets.org/search?q=CHI3L1	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
GPNMB	EuropePMC	"(""GPNMB"" OR osteoactivin) autoimmune"	782	https://europepmc.org/search?query=%28%22GPNMB%22+OR+osteoactivin%29+autoimmune	"[{""doi"": ""10.1016/j.heliyon.2024.e36574"", ""id"": ""39263169"", ""journal"": ""Heliyon"", ""source"": ""MED"", ""title"": ""Biofluid GPNMB/osteoactivin as a potential biomarker of ageing: A cross-sectional study."", ""year"": ""2024""}, {""doi"": ""10.1016/j.jbc.2025.108299"", ""id"": ""39947468"", ""journal"": ""J Biol Chem"", ""source"": ""MED"", ""title"": ""The glycoprotein GPNMB protects against oxidative stress through enhanced PI3K/AKT signaling in epidermal keratinocytes."", ""year"": ""2025""}, {""doi"": ""10.1096/fj.202504363r"", ""id"": ""41800647"", ""journal"": ""FASEB J"", ""source"": ""MED"", ""title"": ""Lack of GPNMB Is Associated With Altered Lipid and Glucose Metabolism and Disrupted Diurnal Hepatic Glycogen Regulation."", ""year"": ""2026""}]"
GPNMB	ClinicalTrials.gov	GPNMB autoimmune	1	https://clinicaltrials.gov/search?term=GPNMB+autoimmune	"[{""conditions"": ""Pemphigus Disease;Pemphigus Vulgaris (PV)"", ""interventions"": ""CM313 (SC);Glucocorticoids"", ""nct_id"": ""NCT06663943"", ""phase"": ""PHASE1;PHASE2"", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""A Randomized Study on Pemphigus Treatment With Humanized CD38 Antibody CM313.""}]"
GPNMB	ChEMBL	GPNMB	0	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3712919	"{""best_target"": {""accessions"": ""Q14956"", ""gene_symbols"": ""GPNMB"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Transmembrane glycoprotein NMB"", ""target_chembl_id"": ""CHEMBL3712919"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 1}"
GPNMB	Google Patents	GPNMB autoimmune antibody osteoactivin	NA_browser	https://patents.google.com/?q=GPNMB+autoimmune+antibody+osteoactivin	query URL recorded; no unauthenticated count API used
GPNMB	OpenTargets	GPNMB	0	https://platform.opentargets.org/search?q=GPNMB	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
