analysis	disease_name	compartment	role	gene
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CHUK
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CIITA
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CSF1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CSF2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CSF3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CXCL1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CXCL10
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CXCL11
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CXCL12
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CXCL13
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CXCL2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CXCL3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CXCL8
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CXCL9
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CXCR3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CXCR4
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	DDT
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	EGF
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	EREG
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	FCER1G
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	FPR2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	GAS6
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	GPR65
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	HBEGF
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	HIF1A
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	HLA-DRA
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	HLA-DRB1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	HMGB1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ICAM1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IFI30
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IFNG
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IFNGR1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IFNGR2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IL10
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IL12A
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IL12B
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IL18
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IL1A
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IL1B
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IL23A
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IL33
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IL34
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IL6
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IL6ST
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IRF1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IRF5
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ITGAM
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ITGAV
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ITGB1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ITGB2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ITGB3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	JAK1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	JAK2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	LGALS1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	LGALS3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	LIF
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	LILRB1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	LILRB2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	LILRB3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	LILRB4
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	LIPA
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	LRP1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	MARCO
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	MERTK
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	MIF
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	MMP12
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	MMP14
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	MMP3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	MMP9
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	MSR1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	MYD88
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	NAMPT
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	NFKB1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	NFKBIA
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	NPC1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	NPC2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	OSM
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	OSMR
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	P2RX7
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	PDCD1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	PDCD1LG2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	PLA2G7
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	PROS1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	PTGER4
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	PTGS2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	PTPN2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	RELA
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	S100A12
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	S100A8
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	S100A9
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SCARB1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SCARB2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SEMA4D
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SEMA7A
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SERPINE1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SIGLEC10
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SLC15A4
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SOCS3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SPP1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	STAT1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	STAT3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SYK
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TBXAS1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TGFB1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TGFB2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TGFB3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TIMP1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TLR7
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TLR9
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TNF
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TNFRSF1A
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TNFRSF1B
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TNFSF10
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TNFSF13B
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TNFSF14
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TRAF2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TRAF3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TRAF6
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TREM1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TREM2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TYRO3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TYROBP
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	UNC93B1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	VCAM1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	VEGFA
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	VEGFB
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ADORA2A
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ADORA2B
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ALOX5
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ANGPT1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ANGPT2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ANXA1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	AREG
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	AXL
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	C1QA
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	C1QB
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	C1QC
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	C1R
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	C1S
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	C2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	C3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	C3AR1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	C5AR1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CALR
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CCL13
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CCL2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CCL20
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CCL3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CCL4
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CCL5
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CCL7
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CCL8
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CCR2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CCR5
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CCR6
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CD200
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CD200R1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CD24
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CD27
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CD274
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CD36
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CD40
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CD40LG
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CD44
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CD70
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CD74
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CFB
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CFD
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CHUK
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CIITA
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CSF1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CSF2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CSF3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CXCL1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CXCL10
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CXCL11
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CXCL12
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CXCL13
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CXCL2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CXCL3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CXCL8
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CXCL9
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CXCR3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	CXCR4
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	DDT
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	EGF
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	EREG
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	FCER1G
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	FPR2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	GAS6
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	GPR65
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	HBEGF
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	HIF1A
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	HLA-DRA
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	HLA-DRB1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	HMGB1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ICAM1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IFI30
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IFNG
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IFNGR1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IFNGR2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IL10
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IL12A
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IL12B
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IL18
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IL1A
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IL1B
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IL23A
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IL33
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IL34
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IL6
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IL6ST
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IRF1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	IRF5
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ITGAM
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ITGAV
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ITGB1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ITGB2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ITGB3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	JAK1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	JAK2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	LGALS1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	LGALS3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	LIF
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	LILRB1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	LILRB2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	LILRB3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	LILRB4
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	LIPA
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	LRP1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	MARCO
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	MERTK
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	MIF
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	MMP12
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	MMP14
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	MMP3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	MMP9
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	MSR1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	MYD88
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	NAMPT
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	NFKB1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	NFKBIA
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	NPC1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	NPC2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	OSM
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	OSMR
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	P2RX7
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	PDCD1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	PDCD1LG2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	PLA2G7
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	PROS1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	PTGER4
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	PTGS2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	PTPN2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	RELA
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	S100A12
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	S100A8
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	S100A9
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	SCARB1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	SCARB2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	SEMA4D
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	SEMA7A
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	SERPINE1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	SIGLEC10
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	SLC15A4
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	SOCS3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	SPP1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	STAT1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	STAT3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	SYK
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TBXAS1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TGFB1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TGFB2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TGFB3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TIMP1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TLR7
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TLR9
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TNF
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TNFRSF1A
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TNFRSF1B
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TNFSF10
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TNFSF13B
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TNFSF14
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TRAF2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TRAF3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TRAF6
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TREM1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TREM2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TYRO3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TYROBP
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	UNC93B1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	VCAM1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	VEGFA
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	VEGFB
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ADORA2A
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ADORA2B
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ALOX5
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ANGPT1
