analysis	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr	tissue_up_trend	tissue_down_trend
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ALOX5	6	6	-0.10112169781969495	-0.005476534013600505	-0.09564516380609445	-0.3931697946855283	-0.7377392320964888	0.4780960816845293	0.757920636319572	False	False
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	ALOX5	9	13	0.039012262634843795	0.09214041241892505	-0.05312814978408126	-0.2731207827757102	-0.6222829839955561	0.5436220406952663	0.7939672351516747	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ALOX5	6	6	0.0062294903712576165	0.045253133201001404	-0.039023642829743785	-0.27666412983380717	-0.5191293569626519	0.6202961864197191	0.8477858732637177	False	False
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	ALOX5	6	6	0.009952332007223182	0.045253133201001404	-0.03530080119377822	-0.2106378017122047	-0.3952383224401703	0.7012994240739459	0.8949922868758938	False	False
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	ALOX5	10	14	0.024293561712193455	0.011777876683570434	0.012515685028623021	0.15517076503079683	0.38267124961901655	0.7063216874350577	0.8973833718850734	False	False
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	ALOX5	5	17	0.11404261172247017	0.06626759043519052	0.047775021287279645	0.13704957904856993	0.3170357106852597	0.7592624295558282	0.931836386999459	False	False
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	ALOX5	11	14	0.06630732524881831	0.08690539834869275	-0.020598073099874437	-0.09420202223355623	-0.26017361050747256	0.7973673247242563	0.9535871475060914	False	False
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	ALOX5	3	19	-0.07436771492820016	-0.04392528591829855	-0.030442429009901607	-0.19990570566537513	-0.22515803777518237	0.840873286710889	0.9749780781259877	False	False
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ALOX5	6	6	-0.0014520186342399898	-0.005476534013600505	0.0040245153793605154	0.017019719594321844	0.031935603990269415	0.9751863543845395	1.0	False	False
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	ALOX5	18	18	-0.015428175062502115	-0.01562601445777061	0.00019783939526849502	0.0020046236788581083	0.006150549923769195	0.9951285525253825	1.0	False	False
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	ANGPT1	6	6	-0.20125454708169474	-0.01491821040808882	-0.1863363366736059	-1.6831066594122421	-3.158161769381157	0.010334819244072365	0.275418721343004	False	False
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	ANGPT1	4	17	-0.038382290169830836	0.08370530545876433	-0.12208759562859517	-0.3981842744296348	-1.5224288752134998	0.14550633905738453	0.5971549110623013	False	False
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	ANGPT1	3	3	0.17348202178142746	0.010147915670139047	0.16333410611128843	0.9841739279302065	1.506702463487295	0.21578181973536892	0.6579126629321873	False	False
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	ANGPT1	5	18	0.011468330429220413	-0.006097606448806866	0.01756593687802728	0.5690581727638071	1.0428809217415542	0.3398408099045382	0.7000024535402347	False	False
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ANGPT1	6	6	0.00028816450839162577	0.0	0.00028816450839162577	0.5329387100211931	1.0	0.3632174676491227	0.7000024535402347	False	False
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ANGPT1	6	6	0.0003785778633782399	0.0	0.0003785778633782399	0.5329387100211931	1.0	0.3632174676491227	0.7000024535402347	False	False
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	ANGPT1	18	18	0.022343539384624238	0.0008329218448140209	0.021510617539810217	0.275948009420162	0.8466586652664064	0.4052000922335794	0.7145177815819466	False	False
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	ANGPT1	9	13	-0.03663923782967665	-0.0031702305382159102	-0.03346900729146074	-0.328620622949282	-0.8462012278680351	0.4074522543401977	0.7155200122211544	False	False
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	ANGPT1	3	19	0.4259862668562903	0.008492166537968419	0.4174941003183219	1.6076698571306867	0.9417533441484974	0.4455516890216197	0.7357828391389754	False	False
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	ANGPT1	11	14	0.07758111469263627	0.11795067535597724	-0.040369560663340964	-0.2742896693941157	-0.7099462661222391	0.48511579270574345	0.7619201861020674	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ANGPT1	6	6	-0.008766591197515767	-0.001809195119069737	-0.006957396078446029	-0.29008280336505576	-0.5443079999828128	0.5984096181117102	0.8313117652547186	False	False
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	ANGPT1	3	3	-0.02689799233612554	0.019351756607076807	-0.04624974894320234	-0.32771383083501227	-0.50170729199909	0.642559550691501	0.8549500782932492	False	False
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	ANGPT1	10	14	0.061110573069418674	0.03892838476250676	0.02218218830691191	0.12948815704607014	0.30659444695791344	0.7632399610917538	0.9334634488445533	False	False
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	ANGPT1	5	17	-0.013378479351699746	-0.00040209009449908837	-0.012976389257200658	-0.10995019595630277	-0.285698008951608	0.7807070647722629	0.9432073064979846	False	False
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	ANGPT1	3	3	0.05106492489623321	0.025547642977831447	0.025517281918401764	0.17238766434188044	0.26391363474236595	0.8070778679700745	0.9595070808653279	False	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	ANGPT1	5	19	0.014647205934997293	0.006208475740689762	0.00843873019430753	0.09200602719806464	0.2475776955244098	0.8094272697355017	0.9611136802356941	False	False
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	ANGPT1	6	6	0.011908739086381829	-0.01491821040808882	0.026826949494470648	0.12768143813118144	0.23957996619555746	0.8177566800067709	0.9667367223891471	False	False
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	ANGPT1	6	6	-0.002138286906367618	-0.001809195119069737	-0.0003290917872978813	-0.009835725152226119	-0.018455640334016997	0.9856984520098171	1.0	False	False
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	ANGPT2	3	3	0.305106092858148	-0.025694605780549704	0.3308006986386977	2.2666321101727447	3.4700575653319548	0.03264178470753648	0.3879638441696216	True	False
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	ANGPT2	6	6	0.4462516700544525	0.03342667813372662	0.41282499192072586	1.1500011196217208	2.157848731941407	0.07914173260203823	0.4982710200986462	True	False
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	ANGPT2	6	6	-0.03207516572130774	0.001003242229570948	-0.033078407950878685	-1.0440070988095367	-1.9589627834840906	0.07942366490284677	0.4985325990887758	False	False
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	ANGPT2	11	14	0.015774132799284933	0.1519757074008928	-0.13620157460160787	-0.6706307477358509	-1.8398358076318242	0.08001092878673942	0.4994775069197509	False	False
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	ANGPT2	3	3	0.20246045005212057	-0.003472477512991128	0.2059329275651117	2.023495456076743	3.097832102642719	0.08796614527763229	0.5113788288340156	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ANGPT2	6	6	0.06481755775529857	0.001003242229570948	0.06381431552572762	0.9057863686845486	1.6996070123120328	0.1408993476908493	0.5971549110623013	False	False
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	ANGPT2	6	6	0.3570825517403431	0.03342667813372662	0.32365587360661646	0.9172527132212595	1.7211223279029289	0.1411099607822275	0.5971549110623013	False	False
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	ANGPT2	4	17	-0.10693403419334696	0.007230301927522047	-0.11416433612086901	-0.3719265455170358	-1.4224872056383713	0.17222445656973445	0.621567406263993	False	False
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	ANGPT2	5	18	0.03997272204799866	-0.0055812095044192	0.04555393155241786	0.5644066570238525	1.1098793435707879	0.3090584788042538	0.6971279160335306	False	False
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	ANGPT2	18	18	-0.02238633936712878	-0.004388342994753668	-0.017997996372375112	-0.27068119810010344	-0.8304991305344084	0.4122984432375299	0.7180642104413484	False	False
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ANGPT2	6	6	0.13485475768391136	-0.011006155450367058	0.14586091313427843	0.45650271901427214	0.8565763950532298	0.42715848409845264	0.7255042896087965	False	False
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ANGPT2	6	6	0.05085709738499872	-0.011006155450367058	0.06186325283536578	0.4376029561360532	0.8211130997008105	0.43488861921090516	0.7283678290310285	False	False
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	ANGPT2	9	13	0.042774569440157034	0.11439147695521173	-0.0716169075150547	-0.2471275284813025	-0.6061965246467218	0.5516878941638523	0.7998258103041838	False	False
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	ANGPT2	3	3	0.024011393172984823	-0.006810193733938527	0.03082158690692335	0.3714788574966157	0.5687085319367338	0.6138108193751712	0.8415275138396294	False	False
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	ANGPT2	5	17	-0.011728247378879886	0.03008835500411604	-0.04181660238299593	-0.14051799844278612	-0.3155141804024599	0.7608222963947588	0.932204213263806	False	False
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	ANGPT2	10	14	0.05491022618276011	0.07561432982093155	-0.02070410363817144	-0.1133970767325041	-0.2831633920351213	0.7800477488810362	0.9432073064979846	False	False
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	ANGPT2	3	19	0.016208648341248636	0.032416813355063245	-0.01620816501381461	-0.07329681424582074	-0.18434582193317012	0.8620293096408106	0.9815669873377227	False	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	ANGPT2	5	19	0.014140768376026774	0.008544374119012137	0.005596394257014636	0.03935815920233245	0.10533441664488273	0.9182017735873017	1.0	False	False
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	ANXA1	3	19	0.016602889035347422	-0.08387524043822002	0.10047812947356743	1.1207863439453027	3.971126954826203	0.0016560100139006988	0.15518906785359785	False	False
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	ANXA1	5	18	0.36332752166589993	-0.02556164674949428	0.3888891684153942	3.4802648692202975	4.195276943557724	0.012136287504607556	0.28006836760007625	True	False
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	ANXA1	6	6	1.042847790504812	0.03628348106537393	1.006564309439438	1.9912625288495198	3.7363818604400767	0.012213328425080418	0.28006836760007625	True	False
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	ANXA1	6	6	-0.4133156256208952	-0.025192560805070957	-0.38812306481582426	-1.3692647536312694	-2.56927246582786	0.02862169218256165	0.36963949511263783	False	True
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ANXA1	6	6	-0.4206441779495052	-4.250888146849439e-05	-0.4206016690680367	-1.3403142382183677	-2.5149500552607043	0.0306638267573271	0.37649071939805345	False	True
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ANXA1	6	6	-0.5437587385497817	-4.250888146849439e-05	-0.5437162296683132	-1.176787729640938	-2.208110815583543	0.058999091288319934	0.46761074344514814	False	True
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ANXA1	6	6	0.22088087533198927	0.03628348106537393	0.18459739426661534	0.7356832031781912	1.380427410027948	0.2150374453617352	0.6579126629321873	False	False
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	ANXA1	5	17	0.22204077857207344	-0.03490112033643554	0.256941898908509	0.6604377195090085	1.3049196521817028	0.23783521033095195	0.6625410644960192	False	False
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	ANXA1	6	6	-0.19912031367209004	-0.025192560805070957	-0.1739277528670191	-0.6691065753202915	-1.2555037994775864	0.2378642841843822	0.6625410644960192	False	False
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	ANXA1	3	3	-0.22835801455931928	0.011664753049206791	-0.2400227676085261	-0.7944392858613059	-1.2162318012382884	0.29806628045545125	0.6912735283538259	False	False
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	ANXA1	3	3	-0.15070122589478063	-0.038796714740862825	-0.11190451115391781	-0.6978188999930395	-1.068312648658244	0.3915596353223265	0.7087469724514041	False	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	ANXA1	5	19	0.04614143843760157	0.11175294422192435	-0.06561150578432277	-0.18108953648953738	-0.6989986067676709	0.49210736203265715	0.7655865847816155	False	False
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	ANXA1	9	13	0.1455189200125021	0.2215308081479981	-0.076011888135496	-0.20771728199832623	-0.5393875726174565	0.595594307559611	0.8290992125766673	False	False
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	ANXA1	4	17	0.05319914688705435	-0.04605906549352642	0.09925821238058077	0.22079479711067723	0.4270378293537014	0.6882144421845896	0.8873318232785189	False	False
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	ANXA1	3	3	-0.14711130067478304	-0.06524914903420838	-0.08186215164057466	-0.2520632109700199	-0.385891406127535	0.7206074452176804	0.9069661549974973	False	False
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	ANXA1	18	18	-0.07002032933252182	-0.039706440601876704	-0.030313888730645118	-0.10625739391034768	-0.32601700404311224	0.7464389571943542	0.9226035398237653	False	False
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	ANXA1	11	14	0.27162050447619646	0.2912529627303389	-0.01963245825414245	-0.042466607547589165	-0.10792894375595195	0.9150891095508705	1.0	False	False
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	ANXA1	10	14	0.18190744492723834	0.19069487526988266	-0.008787430342644315	-0.02952967888603428	-0.08485943831873335	0.9333731598257591	1.0	False	False
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	AREG	6	6	0.5174008953549202	-0.03059216251955141	0.5479930578744716	1.3216987074025288	2.4800200896458984	0.033130374623575355	0.3890854528959327	True	False
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	AREG	10	14	0.04813629542856096	-0.01322749509047677	0.06136379051903773	0.862543354131281	2.162083239417254	0.043110093424397374	0.4208510413789967	False	False
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	AREG	4	17	0.031518389351984144	-0.03177571274385685	0.06329410209584099	0.9741691638643067	2.2675238463538183	0.062418230655493276	0.4711621033408281	False	False
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	AREG	6	6	0.3301197109166497	0.08664600094165557	0.24347370997499412	0.7828996348587721	1.469023773536058	0.17308981674290397	0.6227491501605348	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	AREG	6	6	0.07347525172018442	-0.03892850842374145	0.11240376014392586	0.6768561086343279	1.2700449336986834	0.2473120560265602	0.6636970150841421	False	False
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	AREG	3	3	0.3398178330299689	-0.0003502676742462944	0.34016810070421516	0.8591931776381143	1.3153655473086538	0.2719252533711956	0.6783244622194109	False	False
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	AREG	5	18	-0.0434209611834547	-0.0007369704579723271	-0.04268399072548237	-0.29525092345020987	-0.9536484051293029	0.3530639374730216	0.7000024535402347	False	False
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	AREG	3	3	-0.12195862606996981	-0.03676385191213921	-0.0851947741578306	-0.5994251582553769	-0.9176786104454557	0.4174032628456223	0.7210135754583751	False	False
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	AREG	5	17	-0.01810045109901736	0.04623268263146367	-0.06433313373048102	-0.21916719846818614	-0.7533627533790384	0.46001645685801823	0.7450742039137072	False	False
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	AREG	18	18	0.03345295009301388	-0.009591906900112884	0.04304485699312677	0.24140840849064082	0.7406848896871934	0.4663878062605333	0.749926887997833	False	False
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	AREG	3	3	-0.3243452132152491	-0.133451007764136	-0.19089420545111313	-0.4393213739136	-0.6725707494917352	0.5668006223068898	0.8117923724134012	False	False
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	AREG	6	6	0.03702989944277794	-0.03059216251955141	0.06762206196232935	0.21767425913116023	0.4084414493413401	0.693573335024104	0.8910546363768459	False	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	AREG	5	19	0.1495355981993505	0.10301938422233334	0.04651621397701716	0.13626421161020735	0.3266534209463883	0.7523955061545877	0.9258869796801628	False	False
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	AREG	6	6	0.11550137856291352	0.08664600094165557	0.02885537762125795	0.10729887180305948	0.2013343556875285	0.8445764667015988	0.9762486865475158	False	False
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	AREG	11	14	0.10353326479038939	0.09221337424302499	0.011319890547364403	0.05978309196366061	0.15115495955420583	0.8813503274894808	0.9885830731917585	False	False
