artifact_type	geo_accession	sample_id	url	target_path	required_for
sample_chp	GSE228330	GSM7119007	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119007/suppl/GSM7119007_O20_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119007_O20_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119008	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119008/suppl/GSM7119008_O23_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119008_O23_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119008	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119008/suppl/GSM7119008_O23_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119008_O23_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119009	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119009/suppl/GSM7119009_O26_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119009_O26_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119009	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119009/suppl/GSM7119009_O26_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119009_O26_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119010	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119010/suppl/GSM7119010_O29_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119010_O29_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119010	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119010/suppl/GSM7119010_O29_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119010_O29_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119011	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119011/suppl/GSM7119011_O33_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119011_O33_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119011	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119011/suppl/GSM7119011_O33_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119011_O33_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119012	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119012/suppl/GSM7119012_O36_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119012_O36_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
